county,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,geo,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014
GREGG ,62262,38731,13216,9283,1032,0500000US48183,62900,38236,12869,9857,1938,63364,38273,12990,10127,1974,63539,37696,12948,10807,2088,62262,38731,13216,9283,1032
GRIMES ,12117,7711,1856,2466,84,0500000US48185,12308,7685,1818,2569,236,12437,7742,1820,2634,241,12432,7609,1834,2742,247,12117,7711,1856,2466,84
GUADALUPE ,66771,37112,4357,23685,1617,0500000US48187,69057,37426,4132,24761,2738,70730,38218,4223,25484,2805,73183,39346,4374,26488,2975,66771,37112,4357,23685,1617
HALE ,17536,6823,717,9833,163,0500000US48189,17709,6706,670,10052,281,17719,6629,669,10142,279,17171,6307,660,9924,280,17536,6823,717,9833,163
HALL ,1696,1049,106,529,12,0500000US48191,1729,1047,107,551,24,1741,1043,109,564,25,1680,1002,105,555,18,1696,1049,106,529,12
HAMILTON ,4322,3866,13,406,37,0500000US48193,4329,3854,13,413,49,4358,3870,13,427,48,4251,3755,11,426,59,4322,3866,13,406,37
HANSFORD ,2810,1617,15,1160,18,0500000US48195,2805,1579,14,1179,33,2816,1570,14,1199,33,2735,1504,12,1189,30,2810,1617,15,1160,18
HARDEMAN ,2088,1542,105,429,12,0500000US48197,2049,1487,94,432,36,2063,1490,94,441,38,2004,1424,89,452,39,2088,1542,105,429,12
HARDIN ,27693,24547,1752,1130,264,0500000US48199,28117,24688,1724,1195,510,28277,24810,1742,1210,515,28898,25240,1786,1317,555,27693,24547,1752,1130,264
HARRIS ,2055054,692024,410933,812700,139397,0500000US48201,2095946,675841,407618,844652,167835,2129930,681317,413180,864454,170979,2165229,666304,418276,899104,181545,2055054,692024,410933,812700,139397
