county,births_2013,deaths_2013,rate_2013
Grayson,"1,509",1,0.7
Gregg,"1,876",0,- 
Grimes,326,0,- 
Guadalupe,"1,728",0,- 
Hale,515,0,- 
Hall,31,0,- 
Hamilton,81,0,- 
Hansford,82,0,- 
Hardeman,39,0,- 
Hardin,712,1,1.4
Harris,"68,292",25,0.4
Harrison,846,0,- 
Hartley,69,0,- 
Haskell,45,0,- 
Hays,"2,131",0,- 
Hemphill,65,0,- 
Henderson,877,0,- 
Hidalgo,"16,059",2,0.1
Hill,387,0,- 
Hockley,313,0,- 
Hood,604,0,- 
Hopkins,428,0,- 
Houston,237,0,- 
Howard,446,0,- 
Hudspeth,40,0,- 
Hunt,"1,073",1,0.9
Hutchinson,303,0,- 
Irion,19,0,- 
Jack,97,0,- 
Jackson,191,0,- 
Jasper,452,0,- 
Jeff Davis,10,0,- 
Jefferson,"3,534",1,0.3
Jim Hogg,94,0,- 
Jim Wells,657,0,- 
Johnson,"2,009",2,1.0
Jones,181,0,- 
Karnes,174,0,- 
Kaufman,"1,500",1,0.7
Kendall,316,0,- 
Kenedy,5,0,- 
Kent,12,0,- 
Kerr,496,0,- 
Kimble,41,0,- 
King,0,0,- 
Kinney,33,0,- 
Kleberg,498,0,- 
Knox,47,0,- 
Lamar,652,1,1.5
Lamb,196,0,- 
Lampasas,254,0,- 
La Salle,99,0,- 
Lavaca,198,1,5.1
Lee,182,0,- 
Leon,196,0,- 
Liberty,"1,078",0,- 
Limestone,275,0,- 
Lipscomb,52,0,- 
Live Oak,116,0,- 
Llano,162,0,- 
Loving,0,0,- 
Lubbock,"4,127",1,0.2
Lynn,80,0,- 
Mcculloch,83,0,- 
Mclennan,"3,516",2,0.6
Mcmullen,9,0,- 
Madison,150,1,6.7
Marion,105,0,- 
Martin,99,1,10.1
Mason,38,0,- 
Matagorda,522,0,- 
Maverick,"1,093",1,0.9
Medina,528,1,1.9
Menard,24,0,- 
Midland,"2,702",1,0.4
Milam,302,1,3.3
Mills,49,0,- 
Mitchell,96,0,- 
Montague,222,0,- 
Montgomery,"6,624",2,0.3
Moore,439,0,- 
Morris,157,0,- 
Motley,9,0,- 
Nacogdoches,881,0,- 
Navarro,676,1,1.5
Newton,143,0,- 
Nolan,220,0,- 
Nueces,"4,949",2,0.4
Ochiltree,181,0,- 
Oldham,31,0,- 
Orange,"1,156",1,0.9
Palo Pinto,377,0,- 
Panola,305,1,3.3
Parker,"1,285",3,2.3
Parmer,157,0,- 
Pecos,240,0,- 
Polk,523,0,- 
Potter,"2,072",0,- 
Presidio,131,0,- 
Rains,92,0,- 
Randall,"1,690",1,0.6
Reagan,82,0,- 
Real,32,1,31.3
Red River,157,0,- 
Reeves,194,0,- 
Refugio,77,0,- 
Roberts,9,0,- 
Robertson,207,0,- 
Rockwall,975,0,- 
Runnels,97,1,10.3
Rusk,620,0,- 
Sabine,95,0,- 
San Augustine,99,0,- 
San Jacinto,284,0,- 
San Patricio,974,0,- 
San Saba,59,0,- 
Schleicher,41,0,- 
Scurry,242,0,- 
Shackelford,34,0,- 
Shelby,381,0,- 
Sherman,42,0,- 
Smith,"3,090",0,- 
Somervell,95,0,- 
Starr,"1,366",0,- 
Stephens,112,0,- 
Sterling,17,0,- 
Stonewall,16,0,- 
Sutton,58,0,- 
Swisher,110,0,- 
Tarrant,"27,829",11,0.4
Taylor,"1,998",1,0.5
Terrell,4,0,- 
Terry,205,0,- 
Throckmorton,18,0,- 
Titus,494,0,- 
Tom Green,"1,558",0,- 
Travis,"15,718",3,0.2
Trinity,125,0,- 
Tyler,219,1,4.6
Upshur,489,1,2.0
Upton,59,0,- 
Uvalde,421,0,- 
Val Verde,883,0,- 
Van Zandt,589,1,1.7
Victoria,"1,338",2,1.5
Walker,631,0,- 
Waller,594,0,- 
Ward,194,0,- 
Washington,395,0,- 
Webb,"5,555",1,0.2
Wharton,531,0,- 
Wheeler,78,0,- 
Wichita,"1,764",1,0.6
Wilbarger,163,0,- 
Willacy,314,0,- 
Williamson,"6,049",2,0.3
Wilson,519,1,1.9
Winkler,131,1,7.6
Wise,789,0,- 
Wood,407,1,2.5
Yoakum,193,0,- 
Young,224,0,- 
Zapata,274,0,- 
Zavala,204,0,- 
