County ,Total,"Total 
Male",Total Female,White Male,White Female,"Black 
Male",Black Female,Hispanic Male,Hispanic Female,Other Male,Other Female,,,,,,,,,,,,,,,,,,,,,,,,,,
Freestone ,"20,173","10,631","9,542","7,005","6,771","1,776","1,441","1,682","1,187",168,143,,,,,,,,,,,,,,,,,,,,,,,,,,
Frio ,"17,963","10,449","7,514","1,537","1,330",505,30,"7,979","6,060",428,94,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaines ,"18,081","9,060","9,021","5,392","5,515",132,134,"3,415","3,264",121,108,,,,,,,,,,,,,,,,,,,,,,,,,,
Galveston ,"300,849","149,135","151,714","87,781","88,552","18,883","21,047","35,041","34,239","7,430","7,876",,,,,,,,,,,,,,,,,,,,,,,,,,
Garza ,"6,540","4,136","2,404","1,653","1,302",270,126,"2,193",933,20,43,,,,,,,,,,,,,,,,,,,,,,,,,,
Gillespie ,"25,519","12,314","13,205","9,344","10,423",24,26,"2,774","2,569",172,187,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasscock ,"1,245",659,586,440,396,10,7,205,181,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Goliad ,"7,398","3,687","3,711","2,198","2,233",142,167,"1,288","1,270",59,41,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzales ,"20,299","10,270","10,029","4,314","4,519",719,646,"5,102","4,723",135,141,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray ,"22,915","11,932","10,983","7,701","7,821",779,284,"3,184","2,581",268,297,,,,,,,,,,,,,,,,,,,,,,,,,,
Grayson ,"122,339","59,767","62,572","46,162","48,916","3,403","3,649","7,615","7,150","2,587","2,857",,,,,,,,,,,,,,,,,,,,,,,,,,
Gregg ,"124,225","60,861","63,364","35,642","38,273","11,584","12,990","11,714","10,127","1,921","1,974",,,,,,,,,,,,,,,,,,,,,,,,,,
Grimes ,"27,338","14,901","12,437","8,676","7,742","2,607","1,820","3,380","2,634",238,241,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadalupe ,"139,419","68,689","70,730","37,216","38,218","4,246","4,223","25,015","25,484","2,212","2,805",,,,,,,,,,,,,,,,,,,,,,,,,,
Hale ,"36,712","18,993","17,719","6,774","6,629","1,150",669,"10,780","10,142",289,279,,,,,,,,,,,,,,,,,,,,,,,,,,
Hall ,"3,409","1,668","1,741",952,"1,043",128,109,577,564,11,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton ,"8,644","4,286","4,358","3,697","3,870",26,13,495,427,68,48,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansford ,"5,636","2,820","2,816","1,457","1,570",19,14,"1,317","1,199",27,33,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardeman ,"4,127","2,064","2,063","1,408","1,490",118,94,479,441,59,38,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardin ,"55,820","27,543","28,277","24,118","24,810","1,550","1,742","1,349","1,210",526,515,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris ,"4,245,204","2,115,274","2,129,930","671,962","681,317","364,756","413,180","912,682","864,454","165,874","170,979",,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison ,"67,378","33,168","34,210","21,364","21,993","6,746","7,732","4,260","3,694",798,791,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartley ,"6,166","3,776","2,390","2,277","1,873",411,4,"1,040",465,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,
Haskell ,"5,933","3,124","2,809","2,128","1,992",130,70,782,694,84,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Hays ,"166,718","83,080","83,638","47,954","48,543","2,828","2,379","29,872","30,105","2,426","2,611",,,,,,,,,,,,,,,,,,,,,,,,,,
Hemphill ,"3,938","2,017","1,921","1,360","1,357",0,2,631,525,26,37,,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson ,"79,475","38,940","40,535","30,872","32,740","2,447","2,467","4,709","4,396",912,932,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo ,"811,904","395,576","416,328","30,569","30,175","1,922",948,"358,354","380,073","4,731","5,132",,,,,,,,,,,,,,,,,,,,,,,,,,
Hill ,"35,845","17,626","18,219","12,669","13,394","1,041","1,187","3,590","3,274",326,364,,,,,,,,,,,,,,,,,,,,,,,,,,
Hockley ,"23,111","11,403","11,708","5,696","5,954",407,409,"5,116","5,187",184,158,,,,,,,,,,,,,,,,,,,,,,,,,,
Hood ,"52,396","25,807","26,589","22,112","23,264",147,85,"2,979","2,618",569,622,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkins ,"35,920","17,829","18,091","13,049","13,680","1,215","1,277","3,125","2,657",440,477,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston ,"23,827","12,829","10,998","7,531","7,210","3,490","2,684","1,614",855,194,249,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard ,"35,471","19,971","15,500","10,016","8,761","1,541",575,"7,875","5,792",539,372,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudspeth ,"3,515","1,766","1,749",336,282,21,10,"1,387","1,429",22,28,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunt ,"87,582","43,439","44,143","31,698","32,844","3,488","3,735","6,696","5,923","1,557","1,641",,,,,,,,,,,,,,,,,,,,,,,,,,
Hutchinson ,"22,268","11,143","11,125","8,136","8,262",286,221,"2,343","2,240",378,402,,,,,,,,,,,,,,,,,,,,,,,,,,
Irion ,"1,698",871,827,613,598,7,3,234,211,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack ,"9,129","5,075","4,054","3,900","3,413",301,33,812,532,62,76,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson ,"14,228","7,034","7,194","4,317","4,511",453,505,"2,160","2,075",104,103,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper ,"36,086","17,758","18,328","13,223","13,851","2,919","3,097","1,206",918,410,462,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Davis ,"2,419","1,220","1,199",767,763,8,4,420,406,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson ,"254,112","130,017","124,095","55,431","55,072","41,970","43,083","25,798","19,750","6,818","6,190",,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hogg ,"5,370","2,647","2,723",182,160,12,2,"2,436","2,537",17,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Wells ,"42,160","20,712","21,448","3,976","4,135",95,69,"16,456","17,049",185,195,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson ,"155,690","77,907","77,783","57,849","59,697","2,221","1,785","15,548","14,007","2,289","2,294",,,,,,,,,,,,,,,,,,,,,,,,,,
Jones ,"20,411","12,497","7,914","6,819","5,740","2,007",296,"3,485","1,695",186,183,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnes ,"15,683","9,326","6,357","3,366","2,885","1,298",104,"4,589","3,294",73,74,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaufman ,"106,914","52,604","54,310","36,169","37,639","5,245","5,756","9,741","9,298","1,449","1,617",,,,,,,,,,,,,,,,,,,,,,,,,,
Kendall ,"35,477","17,325","18,152","13,071","14,026",78,67,"3,820","3,673",356,386,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenedy ,444,223,221,43,51,0,1,177,162,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent ,835,403,432,328,360,1,7,69,57,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerr ,"50,289","24,386","25,903","17,094","18,785",441,299,"6,298","6,189",553,630,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimble ,"4,707","2,337","2,370","1,722","1,793",10,4,573,541,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,
King ,298,149,149,124,130,0,0,24,14,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinney ,"3,725","2,034","1,691",761,762,21,16,"1,212",886,40,27,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleberg ,"32,362","16,492","15,870","3,939","3,516",621,452,"11,339","11,443",593,459,,,,,,,,,,,,,,,,,,,,,,,,,,
Knox ,"4,845","2,384","2,461","1,475","1,545",124,148,745,733,40,35,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar ,"50,461","24,416","26,045","18,436","19,561","3,152","3,645","1,803","1,681","1,025","1,158",,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb ,"14,108","7,028","7,080","2,887","3,029",283,277,"3,788","3,668",70,106,,,,,,,,,,,,,,,,,,,,,,,,,,
Lampasas ,"20,171","9,975","10,196","7,406","7,638",304,290,"1,889","1,789",376,479,,,,,,,,,,,,,,,,,,,,,,,,,,
La Salle ,"7,291","4,320","2,971",482,448,19,1,"3,789","2,496",30,26,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavaca ,"19,766","9,679","10,087","7,226","7,684",639,652,"1,681","1,617",133,134,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee ,"16,873","8,535","8,338","5,361","5,483",946,844,"2,067","1,850",161,161,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon ,"17,429","8,717","8,712","6,688","6,779",578,619,"1,319","1,141",132,173,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty ,"76,905","37,856","39,049","25,604","26,804","3,865","4,310","7,566","7,014",821,921,,,,,,,,,,,,,,,,,,,,,,,,,,
Limestone ,"23,966","12,436","11,530","7,420","7,192","2,083","2,037","2,703","2,062",230,239,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipscomb ,"3,411","1,729","1,682","1,117","1,123",2,5,572,510,38,44,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Oak ,"11,993","6,444","5,549","3,580","3,397",452,21,"2,277","2,045",135,86,,,,,,,,,,,,,,,,,,,,,,,,,,
Llano ,"19,801","9,571","10,230","8,545","9,131",65,42,790,857,171,200,,,,,,,,,,,,,,,,,,,,,,,,,,
Loving ,82,47,35,35,24,0,0,8,10,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Lubbock ,"287,659","142,352","145,307","79,483","82,670","10,238","10,359","47,048","46,936","5,583","5,342",,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn ,"5,955","2,973","2,982","1,427","1,541",65,47,"1,444","1,355",37,39,,,,,,,,,,,,,,,,,,,,,,,,,,
Mcculloch ,"8,370","4,130","4,240","2,682","2,875",74,61,"1,314","1,253",60,51,,,,,,,,,,,,,,,,,,,,,,,,,,
Mclennan ,"240,970","117,316","123,654","67,469","71,746","16,237","18,567","30,075","29,165","3,535","4,176",,,,,,,,,,,,,,,,,,,,,,,,,,
Mcmullen ,869,452,417,267,262,7,4,177,145,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison ,"13,792","7,948","5,844","4,249","3,778","1,752",948,"1,805",984,142,134,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion ,"10,707","5,257","5,450","3,838","3,814","1,071","1,290",171,170,177,176,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin ,"5,010","2,519","2,491","1,319","1,335",35,33,"1,127","1,091",38,32,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason ,"4,130","2,033","2,097","1,531","1,641",6,6,478,428,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,
Matagorda ,"37,132","18,596","18,536","8,554","8,689","1,946","2,138","7,484","7,126",612,583,,,,,,,,,,,,,,,,,,,,,,,,,,
Maverick ,"55,892","27,301","28,591",852,720,44,32,"26,032","27,466",373,373,,,,,,,,,,,,,,,,,,,,,,,,,,
Medina ,"47,087","24,231","22,856","10,849","10,799",783,128,"12,151","11,534",448,395,,,,,,,,,,,,,,,,,,,,,,,,,,
Menard ,"2,310","1,176","1,134",745,716,5,3,422,402,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Midland ,"145,822","71,773","74,049","37,082","38,640","4,424","4,692","28,167","28,622","2,100","2,095",,,,,,,,,,,,,,,,,,,,,,,,,,
Milam ,"25,240","12,477","12,763","7,997","8,301","1,157","1,273","3,117","3,002",206,187,,,,,,,,,,,,,,,,,,,,,,,,,,
Mills ,"5,038","2,500","2,538","1,993","2,086",14,13,453,409,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell ,"9,484","5,789","3,695","2,511","2,227",923,126,"2,283","1,285",72,57,,,,,,,,,,,,,,,,,,,,,,,,,,
Montague ,"20,000","9,811","10,189","8,566","8,905",29,10,"1,032","1,034",184,240,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery ,"482,744","239,629","243,115","166,455","171,697","9,591","10,296","54,298","50,815","9,285","10,307",,,,,,,,,,,,,,,,,,,,,,,,,,
Moore ,"22,117","11,436","10,681","3,981","4,173",202,86,"6,174","5,659","1,079",763,,,,,,,,,,,,,,,,,,,,,,,,,,
Morris ,"13,133","6,352","6,781","4,207","4,484","1,392","1,614",572,511,181,172,,,,,,,,,,,,,,,,,,,,,,,,,,
Motley ,"1,227",615,612,509,504,15,13,87,89,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Nacogdoches ,"65,753","31,470","34,283","18,990","20,788","5,253","6,574","6,271","5,875",956,"1,046",,,,,,,,,,,,,,,,,,,,,,,,,,
Navarro ,"48,510","24,090","24,420","13,958","14,545","3,159","3,359","6,276","5,818",697,698,,,,,,,,,,,,,,,,,,,,,,,,,,
Newton ,"14,595","7,517","7,078","5,518","5,347","1,580","1,374",246,173,173,184,,,,,,,,,,,,,,,,,,,,,,,,,,
Nolan ,"15,327","7,616","7,711","4,541","4,571",341,334,"2,606","2,670",128,136,,,,,,,,,,,,,,,,,,,,,,,,,,
Nueces ,"348,513","171,146","177,367","55,709","56,012","6,305","6,018","104,291","109,676","4,841","5,661",,,,,,,,,,,,,,,,,,,,,,,,,,
Ochiltree ,"10,635","5,472","5,163","2,515","2,576",9,10,"2,864","2,497",84,80,,,,,,,,,,,,,,,,,,,,,,,,,,
