Year,Area Code,Area Name,Age,Total Pop,Total Male,Total Female,Anglo Total,Anglo Male,Anglo Female,Black Total,Black Male,Black Female,Hispanic Total,Hispanic Male,Hispanic Female,Other Total,Other Male,Other Female
2011,169,Garza,All (0-85+),"6,537","4,138","2,399","2,973","1,661","1,312",394,271,123,"3,108","2,186",922,62,20,42
2011,171,Gillespie,All (0-85+),"25,201","12,157","13,044","19,635","9,271","10,364",50,24,26,"5,169","2,698","2,471",347,164,183
2011,173,Glasscock,All (0-85+),"1,242",658,584,834,439,395,17,10,7,385,205,180,6,4,2
2011,175,Goliad,All (0-85+),"7,300","3,641","3,659","4,390","2,182","2,208",312,143,169,"2,499","1,258","1,241",99,58,41
2011,177,Gonzales,All (0-85+),"20,157","10,183","9,974","8,844","4,311","4,533","1,370",721,649,"9,670","5,018","4,652",273,133,140
2011,179,Gray,All (0-85+),"22,760","11,843","10,917","15,509","7,688","7,821","1,060",777,283,"5,634","3,117","2,517",557,261,296
2011,181,Grayson,All (0-85+),"121,800","59,450","62,350","95,004","46,076","48,928","7,010","3,385","3,625","14,412","7,434","6,978","5,374","2,555","2,819"
2011,183,Gregg,All (0-85+),"123,239","60,339","62,900","73,783","35,547","38,236","24,333","11,464","12,869","21,290","11,433","9,857","3,833","1,895","1,938"
2011,185,Grimes,All (0-85+),"27,062","14,754","12,308","16,310","8,625","7,685","4,402","2,584","1,818","5,877","3,308","2,569",473,237,236
2011,187,Guadalupe,All (0-85+),"136,116","67,059","69,057","73,894","36,468","37,426","8,292","4,160","4,132","49,052","24,291","24,761","4,878","2,140","2,738"
2011,189,Hale,All (0-85+),"36,664","18,955","17,709","13,549","6,843","6,706","1,819","1,149",670,"20,729","10,677","10,052",567,286,281
2011,191,Hall,All (0-85+),"3,408","1,679","1,729","2,008",961,"1,047",238,131,107,"1,128",577,551,34,10,24
2011,193,Hamilton,All (0-85+),"8,585","4,256","4,329","7,536","3,682","3,854",39,26,13,894,481,413,116,67,49
2011,195,Hansford,All (0-85+),"5,623","2,818","2,805","3,048","1,469","1,579",33,19,14,"2,482","1,303","1,179",60,27,33
2011,197,Hardeman,All (0-85+),"4,101","2,052","2,049","2,894","1,407","1,487",211,117,94,901,469,432,95,59,36
2011,199,Hardin,All (0-85+),"55,492","27,375","28,117","48,684","23,996","24,688","3,264","1,540","1,724","2,522","1,327","1,195","1,022",512,510
2011,201,Harris,All (0-85+),"4,176,764","2,080,818","2,095,946","1,342,077","666,236","675,841","766,888","359,270","407,618","1,737,235","892,583","844,652","330,564","162,729","167,835"
2011,203,Harrison,All (0-85+),"66,527","32,729","33,798","42,923","21,139","21,784","14,352","6,686","7,666","7,732","4,144","3,588","1,520",760,760
2011,205,Hartley,All (0-85+),"6,075","3,714","2,361","4,100","2,242","1,858",413,409,4,"1,469","1,017",452,93,46,47
2011,207,Haskell,All (0-85+),"5,919","3,120","2,799","4,132","2,134","1,998",198,130,68,"1,454",774,680,135,82,53
2011,209,Hays,All (0-85+),"163,839","81,637","82,202","95,178","47,277","47,901","5,137","2,794","2,343","58,588","29,188","29,400","4,936","2,378","2,558"
2011,211,Hemphill,All (0-85+),"3,865","1,968","1,897","2,682","1,332","1,350",2,0,2,"1,120",611,509,61,25,36
2011,213,Henderson,All (0-85+),"79,194","38,829","40,365","63,598","30,895","32,703","4,886","2,434","2,452","8,898","4,604","4,294","1,812",896,916
2011,215,Hidalgo,All (0-85+),"798,286","388,711","409,575","61,072","30,786","30,286","2,845","1,913",932,"724,624","351,343","373,281","9,745","4,669","5,076"
2011,217,Hill,All (0-85+),"35,640","17,511","18,129","26,037","12,646","13,391","2,211","1,032","1,179","6,712","3,510","3,202",680,323,357
2011,219,Hockley,All (0-85+),"23,018","11,357","11,661","11,688","5,718","5,970",814,407,407,"10,175","5,049","5,126",341,183,158
2011,221,Hood,All (0-85+),"52,105","25,663","26,442","45,220","22,041","23,179",226,142,84,"5,489","2,927","2,562","1,170",553,617
2011,223,Hopkins,All (0-85+),"35,489","17,613","17,876","26,505","12,942","13,563","2,468","1,202","1,266","5,617","3,040","2,577",899,429,470
2011,225,Houston,All (0-85+),"23,752","12,792","10,960","14,755","7,544","7,211","6,142","3,473","2,669","2,422","1,587",835,433,188,245
2011,227,Howard,All (0-85+),"35,172","19,830","15,342","18,723","10,005","8,718","2,116","1,541",575,"13,432","7,749","5,683",901,535,366
2011,229,Hudspeth,All (0-85+),"3,500","1,759","1,741",626,338,288,31,21,10,"2,793","1,378","1,415",50,22,28
2011,231,Hunt,All (0-85+),"87,214","43,250","43,964","64,473","31,659","32,814","7,165","3,460","3,705","12,409","6,588","5,821","3,167","1,543","1,624"
2011,233,Hutchinson,All (0-85+),"22,190","11,104","11,086","16,400","8,134","8,266",511,288,223,"4,503","2,304","2,199",776,378,398
2011,235,Irion,All (0-85+),"1,641",835,806,"1,177",594,583,10,7,3,424,218,206,30,16,14
2011,237,Jack,All (0-85+),"9,105","5,055","4,050","7,314","3,891","3,423",333,300,33,"1,323",803,520,135,61,74
2011,239,Jackson,All (0-85+),"14,110","6,973","7,137","8,799","4,306","4,493",945,444,501,"4,163","2,122","2,041",203,101,102
2011,241,Jasper,All (0-85+),"35,918","17,671","18,247","27,001","13,195","13,806","5,977","2,894","3,083","2,082","1,180",902,858,402,456
2011,243,Jeff Davis,All (0-85+),"2,387","1,210","1,177","1,514",764,750,12,8,4,811,413,398,50,25,25
2011,245,Jefferson,All (0-85+),"253,151","129,540","123,611","110,837","55,591","55,246","84,673","41,803","42,870","44,783","25,402","19,381","12,858","6,744","6,114"
2011,247,Jim Hogg,All (0-85+),"5,318","2,625","2,693",339,179,160,14,12,2,"4,925","2,417","2,508",40,17,23
2011,249,Jim Wells,All (0-85+),"41,585","20,471","21,114","8,082","3,982","4,100",162,95,67,"32,968","16,211","16,757",373,183,190
2011,251,Johnson,All (0-85+),"153,383","76,771","76,612","116,133","57,176","58,957","3,958","2,192","1,766","28,801","15,165","13,636","4,491","2,238","2,253"
2011,253,Jones,All (0-85+),"20,289","12,413","7,876","12,512","6,786","5,726","2,287","1,994",293,"5,125","3,449","1,676",365,184,181
2011,255,Karnes,All (0-85+),"15,000","8,936","6,064","6,016","3,246","2,770","1,348","1,250",98,"7,496","4,370","3,126",140,70,70
2011,257,Kaufman,All (0-85+),"105,343","51,826","53,517","72,922","35,730","37,192","10,856","5,176","5,680","18,545","9,493","9,052","3,020","1,427","1,593"
2011,259,Kendall,All (0-85+),"34,622","16,911","17,711","26,542","12,803","13,739",140,79,61,"7,219","3,685","3,534",721,344,377
2011,261,Kenedy,All (0-85+),428,215,213,89,40,49,1,0,1,329,172,157,9,3,6
2011,263,Kent,All (0-85+),809,391,418,670,318,352,7,1,6,121,67,54,11,5,6
2011,265,Kerr,All (0-85+),"49,914","24,229","25,685","35,810","17,089","18,721",738,438,300,"12,200","6,158","6,042","1,166",544,622
2011,267,Kimble,All (0-85+),"4,642","2,304","2,338","3,472","1,701","1,771",14,10,4,"1,093",561,532,63,32,31
2011,269,King,All (0-85+),288,146,142,247,122,125,0,0,0,36,23,13,5,1,4
2011,271,Kinney,All (0-85+),"3,670","1,999","1,671","1,506",753,753,37,21,16,"2,064","1,188",876,63,37,26
2011,273,Kleberg,All (0-85+),"32,190","16,401","15,789","7,448","3,944","3,504","1,075",620,455,"22,622","11,250","11,372","1,045",587,458
2011,275,Knox,All (0-85+),"3,644","1,793","1,851","2,287","1,114","1,173",204,93,111,"1,095",553,542,58,33,25
2011,277,Lamar,All (0-85+),"50,190","24,275","25,915","37,908","18,391","19,517","6,730","3,117","3,613","3,402","1,760","1,642","2,150","1,007","1,143"
2011,279,Lamb,All (0-85+),"14,092","7,031","7,061","5,962","2,908","3,054",564,288,276,"7,392","3,766","3,626",174,69,105
2011,281,Lampasas,All (0-85+),"19,928","9,838","10,090","14,909","7,334","7,575",588,300,288,"3,590","1,835","1,755",841,369,472
2011,283,La Salle,All (0-85+),"7,071","4,198","2,873",905,466,439,19,18,1,"6,095","3,685","2,410",52,29,23
2011,285,Lavaca,All (0-85+),"19,567","9,596","9,971","14,809","7,191","7,618","1,279",633,646,"3,214","1,640","1,574",265,132,133
2011,287,Lee,All (0-85+),"16,680","8,447","8,233","10,769","5,327","5,442","1,778",945,833,"3,816","2,016","1,800",317,159,158
2011,289,Leon,All (0-85+),"17,141","8,574","8,567","13,285","6,606","6,679","1,188",572,616,"2,379","1,274","1,105",289,122,167
2011,291,Liberty,All (0-85+),"75,923","37,350","38,573","51,924","25,356","26,568","8,097","3,819","4,278","14,195","7,372","6,823","1,707",803,904
2011,293,Limestone,All (0-85+),"23,716","12,314","11,402","14,523","7,377","7,146","4,084","2,065","2,019","4,648","2,645","2,003",461,227,234
2011,295,Lipscomb,All (0-85+),"3,351","1,701","1,650","2,221","1,109","1,112",7,2,5,"1,042",552,490,81,38,43
2011,297,Live Oak,All (0-85+),"11,721","6,300","5,421","6,855","3,514","3,341",464,443,21,"4,186","2,211","1,975",216,132,84
2011,299,Llano,All (0-85+),"19,501","9,424","10,077","17,451","8,441","9,010",104,63,41,"1,590",761,829,356,159,197
2011,301,Loving,All (0-85+),83,47,36,60,35,25,0,0,0,18,8,10,5,4,1
2011,303,Lubbock,All (0-85+),"283,151","140,083","143,068","160,361","78,551","81,810","20,250","10,063","10,187","91,848","46,010","45,838","10,692","5,459","5,233"
2011,305,Lynn,All (0-85+),"5,923","2,958","2,965","2,962","1,428","1,534",111,65,46,"2,775","1,429","1,346",75,36,39
2011,307,McCulloch,All (0-85+),"8,323","4,099","4,224","5,556","2,677","2,879",133,73,60,"2,526","1,290","1,236",108,59,49
2011,309,McLennan,All (0-85+),"238,338","115,982","122,356","138,389","67,045","71,344","34,400","16,038","18,362","57,962","29,428","28,534","7,587","3,471","4,116"
2011,311,McMullen,All (0-85+),832,433,399,509,259,250,11,7,4,305,166,139,7,1,6
2011,313,Madison,All (0-85+),"13,745","7,918","5,827","8,042","4,247","3,795","2,690","1,750",940,"2,741","1,783",958,272,138,134
2011,315,Marion,All (0-85+),"10,596","5,215","5,381","7,588","3,816","3,772","2,335","1,058","1,277",329,167,162,344,174,170
2011,317,Martin,All (0-85+),"4,817","2,427","2,390","2,570","1,284","1,286",67,34,33,"2,114","1,072","1,042",66,37,29
2011,319,Mason,All (0-85+),"4,055","1,995","2,060","3,120","1,504","1,616",12,6,6,884,467,417,39,18,21
2011,321,Matagorda,All (0-85+),"36,838","18,451","18,387","17,235","8,546","8,689","4,071","1,942","2,129","14,349","7,357","6,992","1,183",606,577
2011,323,Maverick,All (0-85+),"55,363","27,036","28,327","1,581",857,724,76,44,32,"52,964","25,762","27,202",742,373,369
2011,325,Medina,All (0-85+),"46,391","23,862","22,529","21,428","10,738","10,690",901,776,125,"23,237","11,908","11,329",825,440,385
2011,327,Menard,All (0-85+),"2,270","1,150","1,120","1,442",730,712,8,5,3,804,411,393,16,4,12
2011,329,Midland,All (0-85+),"140,462","69,110","71,352","73,402","35,945","37,457","8,837","4,283","4,554","54,222","26,883","27,339","4,001","1,999","2,002"
2011,331,Milam,All (0-85+),"24,915","12,321","12,594","16,176","7,937","8,239","2,406","1,150","1,256","5,952","3,035","2,917",381,199,182
2011,333,Mills,All (0-85+),"4,969","2,471","2,498","4,035","1,975","2,060",27,14,13,839,442,397,68,40,28
2011,335,Mitchell,All (0-85+),"9,439","5,761","3,678","4,736","2,502","2,234","1,045",921,124,"3,533","2,267","1,266",125,71,54
2011,337,Montague,All (0-85+),"19,795","9,711","10,084","17,330","8,495","8,835",39,29,10,"2,010","1,004","1,006",416,183,233
2011,339,Montgomery,All (0-85+),"471,894","234,200","237,694","331,631","163,237","168,394","19,422","9,352","10,070","101,813","52,602","49,211","19,028","9,009","10,019"
2011,341,Moore,All (0-85+),"21,995","11,383","10,612","8,218","4,017","4,201",285,201,84,"11,692","6,106","5,586","1,800","1,059",741
2011,343,Morris,All (0-85+),"12,964","6,267","6,697","8,605","4,166","4,439","2,967","1,370","1,597","1,047",553,494,345,178,167
2011,345,Motley,All (0-85+),"1,185",599,586,984,497,487,27,14,13,165,84,81,9,4,5
2011,347,Nacogdoches,All (0-85+),"65,260","31,222","34,038","39,700","18,960","20,740","11,742","5,211","6,531","11,853","6,114","5,739","1,965",937,"1,028"
2011,349,Navarro,All (0-85+),"48,304","23,983","24,321","28,570","13,980","14,590","6,502","3,157","3,345","11,860","6,161","5,699","1,372",685,687
2011,351,Newton,All (0-85+),"14,523","7,479","7,044","10,832","5,502","5,330","2,933","1,569","1,364",415,242,173,343,166,177
2011,353,Nolan,All (0-85+),"15,303","7,616","7,687","9,149","4,567","4,582",672,340,332,"5,223","2,583","2,640",259,126,133
2011,355,Nueces,All (0-85+),"346,340","170,075","176,265","111,696","55,712","55,984","12,308","6,304","6,004","211,940","103,277","108,663","10,396","4,782","5,614"
2011,357,Ochiltree,All (0-85+),"10,377","5,344","5,033","5,022","2,482","2,540",17,8,9,"5,178","2,774","2,404",160,80,80
2011,359,Oldham,All (0-85+),"2,079","1,052","1,027","1,722",883,839,55,26,29,249,124,125,53,19,34
2011,361,Orange,All (0-85+),"82,033","40,841","41,192","67,665","33,575","34,090","7,010","3,388","3,622","5,004","2,702","2,302","2,354","1,176","1,178"
2011,363,Palo Pinto,All (0-85+),"28,295","13,940","14,355","21,970","10,720","11,250",595,309,286,"5,153","2,624","2,529",577,287,290
2011,365,Panola,All (0-85+),"24,016","11,949","12,067","17,579","8,718","8,861","3,894","1,865","2,029","2,076","1,133",943,467,233,234
2011,367,Parker,All (0-85+),"119,530","60,503","59,027","101,128","50,350","50,778","1,890","1,372",518,"13,375","7,266","6,109","3,137","1,515","1,622"
