County ,Total,Total Male,Total Female,White Male,White Female,Black Male,Black Female,Hispanic Male,Hispanic Female,Other Male,Other Female
ORANGE ,"81,837","40,708","41,129","34,009","34,550","3,492","3,711","2,566","2,200",641,668
PALO PINTO ,"28,111","13,811","14,300","10,781","11,358",351,331,"2,535","2,450",144,161
PANOLA ,"23,796","11,808","11,988","8,725","8,892","1,889","2,056","1,073",897,121,143
PARKER ,"116,927","59,292","57,635","50,260","50,493","1,516",656,"6,777","5,633",739,853
PARMER ,"10,269","5,259","5,010","1,972","1,995",47,46,"3,213","2,951",27,18
PECOS ,"15,507","8,742","6,765","2,581","1,800",504,39,"5,579","4,851",78,75
POLK ,"45,413","24,288","21,125","16,928","16,189","3,294","2,054","3,606","2,353",460,529
POTTER ,"121,073","61,919","59,154","29,595","30,478","7,266","5,396","22,152","20,540","2,906","2,740"
PRESIDIO ,"7,818","3,818","4,000",620,545,22,10,"3,127","3,394",49,51
RAINS ,"10,914","5,485","5,429","4,822","4,825",149,128,448,391,66,85
RANDALL ,"120,725","58,737","61,988","45,928","49,349","1,794","1,444","9,820","9,955","1,195","1,240"
REAGAN ,"3,367","1,748","1,619",608,630,44,25,"1,091",960,5,4
REAL ,"3,309","1,638","1,671","1,196","1,241",9,11,418,396,15,23
RED RIVER ,"12,860","6,266","6,594","4,712","4,910","1,041","1,223",451,398,62,63
REEVES ,"13,783","8,281","5,502","1,783",908,573,100,"5,812","4,421",113,73
REFUGIO ,"7,383","3,669","3,714","1,675","1,704",242,214,"1,716","1,771",36,25
ROBERTS ,929,469,460,429,421,0,0,39,35,1,4
ROBERTSON ,"16,622","8,230","8,392","4,969","4,960","1,660","1,891","1,522","1,468",79,73
ROCKWALL ,"78,337","38,516","39,821","28,697","29,999","2,317","2,385","6,366","6,104","1,136","1,333"
RUNNELS ,"10,501","5,197","5,304","3,355","3,530",95,82,"1,710","1,651",37,41
RUSK ,"53,330","28,075","25,255","18,070","17,459","5,413","4,239","4,329","3,280",263,277
SABINE ,"10,834","5,301","5,533","4,683","4,900",402,412,177,167,39,54
SAN AUGUSTINE ,"8,865","4,360","4,505","3,102","3,149",957,"1,077",279,253,22,26
SAN JACINTO ,"26,384","13,205","13,179","10,187","10,255","1,397","1,386","1,475","1,405",146,133
SAN PATRICIO ,"64,804","32,163","32,641","13,824","13,859",566,497,"17,395","17,853",378,432
SAN SABA ,"6,131","3,366","2,765","2,159","2,021",182,12,"1,008",707,17,25
SCHLEICHER ,"3,461","1,726","1,735",940,948,17,15,767,769,2,3
SCURRY ,"16,921","9,028","7,893","5,001","4,809",576,225,"3,366","2,783",85,76
SHACKELFORD ,"3,378","1,632","1,746","1,437","1,557",13,11,175,165,7,13
SHELBY ,"25,448","12,591","12,857","8,141","8,449","2,136","2,404","2,244","1,920",70,84
SHERMAN ,"3,034","1,548","1,486",891,886,10,2,638,589,9,9
SMITH ,"209,714","101,425","108,289","63,197","68,184","17,773","20,679","18,670","17,418","1,785","2,008"
SOMERVELL ,"8,490","4,182","4,308","3,280","3,413",31,30,820,806,51,59
STARR ,"60,968","29,440","31,528","1,222","1,253",13,2,"28,135","30,202",70,71
STEPHENS ,"9,630","4,975","4,655","3,679","3,655",144,64,"1,110",901,42,35
STERLING ,"1,143",576,567,372,378,10,3,187,178,7,8
STONEWALL ,"1,490",717,773,589,635,20,19,100,109,8,10
SUTTON ,"4,128","2,029","2,099",790,850,11,4,"1,220","1,239",8,6
SWISHER ,"7,854","4,136","3,718","2,017","2,025",417,194,"1,686","1,463",16,36
TARRANT ,"1,809,034","887,235","921,799","464,400","488,074","128,734","145,742","245,804","237,173","48,297","50,810"
TAYLOR ,"131,506","64,028","67,478","43,066","46,208","5,254","4,926","14,409","14,665","1,299","1,679"
TERRELL ,984,509,475,258,242,5,1,238,229,8,3
TERRY ,"12,651","6,717","5,934","2,979","2,825",383,197,"3,323","2,888",32,24
THROCKMORTON ,"1,641",807,834,733,729,3,6,66,86,5,13
TITUS ,"32,334","15,976","16,358","7,708","8,287","1,453","1,638","6,606","6,193",209,240
TOM GREEN ,"110,224","53,976","56,248","31,497","33,120","2,372","2,142","19,273","20,042",834,944
TRAVIS ,"1,024,266","516,637","507,629","265,662","262,453","42,473","45,453","176,051","166,715","32,451","33,008"
TRINITY ,"14,585","7,100","7,485","5,806","6,136",648,771,613,504,33,74
TYLER ,"21,766","11,731","10,035","8,841","8,814","1,586",860,"1,211",276,93,85
UPSHUR ,"39,309","19,462","19,847","16,162","16,484","1,748","1,896","1,360","1,253",192,214
UPTON ,"3,355","1,675","1,680",826,804,21,28,812,832,16,16
UVALDE ,"26,405","12,909","13,496","3,794","3,976",71,46,"8,944","9,355",100,119
VAL VERDE ,"48,879","24,519","24,360","4,752","3,937",348,246,"19,226","19,973",193,204
VAN ZANDT ,"52,579","25,863","26,716","22,116","23,409",792,803,"2,651","2,196",304,308
VICTORIA ,"86,793","42,349","44,444","20,236","21,642","2,670","2,852","18,834","19,279",609,671
WALKER ,"67,861","40,007","27,854","22,452","17,581","9,944","5,517","7,110","4,279",501,477
WALLER ,"43,205","21,395","21,810","9,522","9,887","4,952","5,859","6,693","5,843",228,221
WARD ,"10,658","5,151","5,507","2,365","2,629",254,247,"2,487","2,587",45,44
WASHINGTON ,"33,718","16,580","17,138","10,901","11,605","2,959","3,077","2,466","2,175",254,281
WEBB ,"250,304","121,488","128,816","4,724","3,785",357,166,"115,600","124,053",807,812
WHARTON ,"41,280","20,291","20,989","9,502","10,259","2,778","3,052","7,893","7,552",118,126
WHEELER ,"5,410","2,661","2,749","1,887","2,009",57,67,697,647,20,26
WICHITA ,"131,500","67,438","64,062","45,867","45,400","7,787","6,517","11,817","10,042","1,967","2,103"
WILBARGER ,"13,535","6,736","6,799","4,271","4,431",586,515,"1,776","1,732",103,121
WILLACY ,"22,134","12,030","10,104","1,243","1,031",354,43,"10,308","8,989",125,41
WILLIAMSON ,"422,679","208,032","214,647","134,426","139,508","13,451","13,903","49,062","48,972","11,093","12,264"
WILSON ,"42,918","21,372","21,546","12,718","12,737",383,332,"8,143","8,269",128,208
WINKLER ,"7,110","3,550","3,560","1,511","1,547",67,73,"1,923","1,901",49,39
WISE ,"59,127","29,803","29,324","23,765","23,906",449,244,"5,282","4,830",307,344
WOOD ,"41,964","20,622","21,342","17,484","18,425","1,050","1,052","1,906","1,645",182,220
YOAKUM ,"7,879","3,899","3,980","1,520","1,613",26,36,"2,318","2,304",35,27
YOUNG ,"18,550","9,148","9,402","7,287","7,803",146,122,"1,655","1,390",60,87
ZAPATA ,"14,018","7,044","6,974",465,408,7,4,"6,553","6,531",19,31
ZAVALA ,"11,677","5,760","5,917",328,335,19,16,"5,405","5,556",8,10
