county,total_number_2010,total_percent_2010,white_number_2010,white_percent_2010,black_number_2010,black_percent_2010,hispanic_number_2010,hispanic_percent_2010,geo,geo_two,GISJOIN,Geographic Area,total_number_2011,total_percent_2011,white_number_2011,white_percent_2011,black_number_2011,black_percent_2011,hispanic_number_2011,hispanic_percent_2011,geo_two2,GISJOIN2,geo_two2_2,GISJOIN2_2,Geographic Area2,total_number_2012,total_percent_2012,white_number_2012,white_percent_2012,black_number_2012,black_percent_2012,hispanic_number_2012,hispanic_percent_2012,geo_two2_3,GISJOIN2_3,geo_two2_4,GISJOIN2_4,Geographic Area2_2,total_number_2013,total_percent_2013,white_number_2013,white_percent_2013,black_number_2013,black_percent_2013,hispanic_number_2013,hispanic_percent_2013,geo_two2_5,GISJOIN2_5,geo_two2_6,GISJOIN2_6,Geographic Area2_3,total_number_2014,total_percent_2014,white_number_2014,white_percent_2014,black_number_2014,black_percent_2014,hispanic_number_2014,hispanic_percent_2014,geo_two2_7,GISJOIN2_7,total_sum_2010_2014,white_sum_2010_2014,black_sum_2010_2014,hispanic_sum_2010_2014
IRION,7,*,5,*,0,-,2,*,0500000US48235,48235,G4802350,IRION,11,*,8,*,0,-,3,*,48235,G4802350,48235,G4802350,IRION,13,*,8,*,0,-,5,*,48235,G4802350,48235,G4802350,IRION,10,*,7,*,0,-,3,*,48235,G4802350,48235,G4802350,IRION,5,*,5,*,0,-,0,-,48235,G4802350,46,33,0,13
JACK,73,68.9,59,72,0,-,14,58.3,0500000US48237,48237,G4802370,JACK,72,68.6,55,68.8,0,-,17,68,48237,G4802370,48237,G4802370,JACK,66,74.2,57,81.4,0,-,9,*,48237,G4802370,48237,G4802370,JACK,68,70.1,55,69.6,0,-,13,*,48237,G4802370,48237,G4802370,JACK,57,58.2,48,64.9,1,*,8,34.8,48237,G4802370,336,274,1,61
JACKSON,144,75,84,81.6,9,*,51,69.9,0500000US48239,48239,G4802390,JACKSON,140,78.2,78,84.8,8,*,54,73,48239,G4802390,48239,G4802390,JACKSON,135,72.2,75,76.5,9,*,51,68.9,48239,G4802390,48239,G4802390,JACKSON,139,78.5,80,85.1,7,*,52,72.2,48239,G4802390,48239,G4802390,JACKSON,141,70.1,86,80.4,9,*,46,60.5,48239,G4802390,699,403,42,254
JASPER,302,64.7,233,68.9,47,53.4,22,53.7,0500000US48241,48241,G4802410,JASPER,298,65.1,238,69,48,60,12,36.4,48241,G4802410,48241,G4802410,JASPER,270,64.6,209,70.1,41,48.2,20,57.1,48241,G4802410,48241,G4802410,JASPER,288,65.2,229,69.6,39,56.5,20,45.5,48241,G4802410,48241,G4802410,JASPER,232,61.1,170,63,40,52.6,22,64.7,48241,G4802410,1390,1079,215,96
JEFF DAVIS,11,*,3,*,0,-,8,*,0500000US48243,48243,G4802430,JEFF DAVIS,11,50,8,*,0,-,3,*,48243,G4802430,48243,G4802430,JEFF DAVIS,8,*,5,*,0,-,3,*,48243,G4802430,48243,G4802430,JEFF DAVIS,6,*,4,*,0,-,2,*,48243,G4802430,48243,G4802430,JEFF DAVIS,9,*,5,*,0,-,4,*,48243,G4802430,45,25,0,20
JEFFERSON,2064,68.7,895,75.8,744,66.4,425,60.3,0500000US48245,48245,G4802450,JEFFERSON,2052,69.9,875,76.9,702,67.3,475,63,48245,G4802450,48245,G4802450,JEFFERSON,1902,64.8,826,70.7,668,65.6,408,54.6,48245,G4802450,48245,G4802450,JEFFERSON,1969,65.5,827,74.4,699,64.1,443,55.3,48245,G4802450,48245,G4802450,JEFFERSON,1804,59.4,794,69.2,639,57.1,371,48.1,48245,G4802450,9791,4217,3452,2122
JIM HOGG,57,67.1,4,*,0,-,53,67.1,0500000US48247,48247,G4802470,JIM HOGG,58,65.2,2,*,0,-,56,67.5,48247,G4802470,48247,G4802470,JIM HOGG,61,71.8,5,*,0,-,56,70.9,48247,G4802470,48247,G4802470,JIM HOGG,64,81,4,*,0,-,60,81.1,48247,G4802470,48247,G4802470,JIM HOGG,57,75,5,*,0,-,52,75.4,48247,G4802470,297,20,0,277
JIM WELLS,342,52.1,76,66.1,1,*,265,49.3,0500000US48249,48249,G4802490,JIM WELLS,294,49.7,60,66.7,0,-,234,46.8,48249,G4802490,48249,G4802490,JIM WELLS,252,48.5,49,63.6,0,-,203,45.9,48249,G4802490,48249,G4802490,JIM WELLS,311,58.1,53,63.9,1,*,257,57.2,48249,G4802490,48249,G4802490,JIM WELLS,289,52.2,47,54,0,-,242,52,48249,G4802490,1488,285,2,1201
JOHNSON,1204,61.1,957,65.6,25,59.5,222,47.3,0500000US48251,48251,G4802510,JOHNSON,1260,65.9,975,70.3,24,70.6,261,53.3,48251,G4802510,48251,G4802510,JOHNSON,1218,63.6,964,70.4,25,59.5,229,45.5,48251,G4802510,48251,G4802510,JOHNSON,1236,63.8,993,69.9,31,73.8,212,44.7,48251,G4802510,48251,G4802510,JOHNSON,1302,64.7,1005,68.3,32,69.6,265,53.6,48251,G4802510,6220,4894,137,1189
JONES,102,60.7,73,65.8,5,*,24,48,0500000US48253,48253,G4802530,JONES,98,60.9,74,64.3,4,*,20,51.3,48253,G4802530,48253,G4802530,JONES,121,65.8,89,71.8,6,*,26,52,48253,G4802530,48253,G4802530,JONES,109,60.2,81,68.1,3,*,25,43.1,48253,G4802530,48253,G4802530,JONES,114,61.6,79,63.2,4,*,31,59.6,48253,G4802530,544,396,22,126
KARNES,88,62,23,69.7,3,*,62,61.4,0500000US48255,48255,G4802550,KARNES,94,65.7,31,70.5,2,*,61,62.9,48255,G4802550,48255,G4802550,KARNES,96,60.8,34,73.9,1,*,61,55,48255,G4802550,48255,G4802550,KARNES,87,55.1,31,64.6,0,-,56,51.4,48255,G4802550,48255,G4802550,KARNES,106,57.6,41,70.7,1,*,64,52.9,48255,G4802550,471,160,7,304
KAUFMAN,863,60.8,593,64,91,62.3,179,51.7,0500000US48257,48257,G4802570,KAUFMAN,798,59.6,530,62.7,77,51.3,191,55.4,48257,G4802570,48257,G4802570,KAUFMAN,863,60.4,633,66.1,66,51.2,164,48,48257,G4802570,48257,G4802570,KAUFMAN,902,61.9,634,66.5,88,56.1,180,51.7,48257,G4802570,48257,G4802570,KAUFMAN,891,59.3,611,64.2,96,55.8,184,48.7,48257,G4802570,4317,3001,418,898
KENDALL,179,68.1,123,75.9,1,*,55,55,0500000US48259,48259,G4802590,KENDALL,199,68.6,143,79,1,*,55,50.9,48259,G4802590,48259,G4802590,KENDALL,222,67.9,166,77.6,1,*,55,49.1,48259,G4802590,48259,G4802590,KENDALL,202,66.2,155,76.4,0,-,47,46.1,48259,G4802590,48259,G4802590,KENDALL,242,70.3,180,76.9,1,*,61,56,48259,G4802590,1044,767,4,273
KENEDY,1,*,0,-,0,-,1,*,0500000US48261,48261,G4802610,KENEDY,1,*,1,*,0,-,0,-,48261,G4802610,48261,G4802610,KENEDY,3,*,2,*,0,-,1,*,48261,G4802610,48261,G4802610,KENEDY,3,*,0,-,0,-,3,*,48261,G4802610,48261,G4802610,KENEDY,4,*,2,*,0,-,2,*,48261,G4802610,12,5,0,7
KENT,3,*,3,*,0,-,0,-,0500000US48263,48263,G4802630,KENT,3,*,1,*,0,-,2,*,48263,G4802630,48263,G4802630,KENT,5,*,5,*,0,-,0,-,48263,G4802630,48263,G4802630,KENT,9,*,7,*,0,-,2,*,48263,G4802630,48263,G4802630,KENT,7,*,7,*,0,-,0,-,48263,G4802630,27,23,0,4
KERR,252,50.3,177,59.4,5,*,70,36.1,0500000US48265,48265,G4802650,KERR,244,52.2,164,59.6,5,*,75,40.8,48265,G4802650,48265,G4802650,KERR,226,46.2,152,52.4,4,*,70,36.3,48265,G4802650,48265,G4802650,KERR,215,44.1,140,49.3,1,*,74,37.8,48265,G4802650,48265,G4802650,KERR,248,46.2,148,47.1,4,*,96,45.1,48265,G4802650,1185,781,19,385
KIMBLE,25,64.1,20,74.1,0,-,5,*,0500000US48267,48267,G4802670,KIMBLE,22,56.4,17,63,0,-,5,*,48267,G4802670,48267,G4802670,KIMBLE,24,55.8,18,66.7,0,-,6,*,48267,G4802670,48267,G4802670,KIMBLE,21,52.5,15,51.7,0,-,6,*,48267,G4802670,48267,G4802670,KIMBLE,19,41.3,16,45.7,0,-,3,*,48267,G4802670,111,86,0,25
KING,2,*,2,*,0,-,0,-,0500000US48269,48269,G4802690,KING,6,*,6,*,0,-,0,-,48269,G4802690,48269,G4802690,KING,1,*,0,-,0,-,1,*,48269,G4802690,48269,G4802690,KING,0,-,0,-,0,-,0,-,48269,G4802690,48269,G4802690,KING,0,-,0,-,0,-,0,-,48269,G4802690,9,8,0,1
KINNEY,15,51.7,4,*,0,-,11,47.8,0500000US48271,48271,G4802710,KINNEY,20,52.6,8,*,0,-,12,50,48271,G4802710,48271,G4802710,KINNEY,17,48.6,10,*,0,-,7,*,48271,G4802710,48271,G4802710,KINNEY,20,62.5,5,*,0,-,15,57.7,48271,G4802710,48271,G4802710,KINNEY,14,60.9,4,*,0,-,10,*,48271,G4802710,86,31,0,55
KLEBERG,296,63,71,74.7,12,*,213,59,0500000US48273,48273,G4802730,KLEBERG,291,64.8,80,74.8,5,*,206,62,48273,G4802730,48273,G4802730,KLEBERG,290,63.6,62,57.9,5,*,223,65.2,48273,G4802730,48273,G4802730,KLEBERG,306,64,80,70.8,5,*,221,62.3,48273,G4802730,48273,G4802730,KLEBERG,265,56.6,72,69.9,8,*,185,52.9,48273,G4802730,1448,365,35,1048
KNOX,34,70.8,17,70.8,3,*,14,66.7,0500000US48275,48275,G4802750,KNOX,35,72.9,19,79.2,0,-,16,66.7,48275,G4802750,48275,G4802750,KNOX,34,64.2,19,76,2,*,13,54.2,48275,G4802750,48275,G4802750,KNOX,34,73.9,17,73.9,1,*,16,76.2,48275,G4802750,48275,G4802750,KNOX,40,58,24,75,2,*,14,40,48275,G4802750,177,96,8,73
LA SALLE,58,68.2,11,*,0,-,47,68.1,0500000US48283,48283,G4802830,LA SALLE,61,67.8,4,*,0,-,57,67.1,48283,G4802830,48283,G4802830,LA SALLE,54,54,5,*,0,-,49,55.1,48283,G4802830,48283,G4802830,LA SALLE,55,57.9,8,*,0,-,47,54.7,48283,G4802830,48283,G4802830,LA SALLE,44,48.9,11,*,0,-,33,45.2,48283,G4802830,272,39,0,233
LAMAR,401,62,305,66.2,61,52.6,35,50,0500000US48277,48277,G4802770,LAMAR,433,65.5,335,69.8,72,65.5,26,36.6,48277,G4802770,48277,G4802770,LAMAR,407,63.2,322,67.9,53,51.5,32,47.8,48277,G4802770,48277,G4802770,LAMAR,417,64.4,340,69.1,51,55.4,26,40.6,48277,G4802770,48277,G4802770,LAMAR,416,58.1,328,62.6,58,47.5,30,42.9,48277,G4802770,2074,1630,295,149
LAMB,115,52.8,41,68.3,3,*,71,46.7,0500000US48279,48279,G4802790,LAMB,105,48.8,45,60,1,*,59,42.8,48279,G4802790,48279,G4802790,LAMB,106,59.6,42,68.9,4,*,60,54.1,48279,G4802790,48279,G4802790,LAMB,101,52.1,39,66.1,0,-,62,48.8,48279,G4802790,48279,G4802790,LAMB,108,54.5,36,62.1,3,*,69,52.7,48279,G4802790,535,203,11,321
LAMPASAS,138,61.6,90,64.3,1,*,47,58.8,0500000US48281,48281,G4802810,LAMPASAS,128,65.3,95,68.8,1,*,32,56.1,48281,G4802810,48281,G4802810,LAMPASAS,130,66.7,98,68.5,0,-,32,65.3,48281,G4802810,48281,G4802810,LAMPASAS,166,72.8,116,73.9,4,*,46,68.7,48281,G4802810,48281,G4802810,LAMPASAS,158,67.8,124,72.9,5,*,29,53.7,48281,G4802810,720,523,11,186
LAVACA,141,70.1,91,76.5,11,*,39,61.9,0500000US48285,48285,G4802850,LAVACA,155,73.8,111,82.8,11,*,33,55.9,48285,G4802850,48285,G4802850,LAVACA,166,73.8,121,79.1,5,*,40,62.5,48285,G4802850,48285,G4802850,LAVACA,123,65.1,87,76.3,2,*,34,52.3,48285,G4802850,48285,G4802850,LAVACA,164,68,128,80,11,*,25,38.5,48285,G4802850,749,538,40,171
LEE,132,68,77,77,12,57.1,43,58.9,0500000US48287,48287,G4802870,LEE,124,69.7,71,80.7,6,*,47,58.8,48287,G4802870,48287,G4802870,LEE,131,69.3,84,75.7,12,*,35,58.3,48287,G4802870,48287,G4802870,LEE,113,64.2,59,64.8,5,*,49,63.6,48287,G4802870,48287,G4802870,LEE,133,61.6,60,57.1,13,56.5,60,68.2,48287,G4802870,633,351,48,234
LEON,103,56,77,59.7,3,*,23,47.9,0500000US48289,48289,G4802890,LEON,103,59.5,85,64.9,5,*,13,43.3,48289,G4802890,48289,G4802890,LEON,132,63.5,104,65.8,5,*,23,53.5,48289,G4802890,48289,G4802890,LEON,108,59,83,64.8,5,*,20,44.4,48289,G4802890,48289,G4802890,LEON,116,60.4,94,70.1,4,*,18,36,48289,G4802890,562,443,22,97
LIBERTY,493,47,333,48.3,41,42.7,119,45.2,0500000US48291,48291,G4802910,LIBERTY,462,47.7,303,48.8,45,52.9,114,43.3,48291,G4802910,48291,G4802910,LIBERTY,521,50.4,351,53.2,33,44,137,46,48291,G4802910,48291,G4802910,LIBERTY,564,53.6,398,57.6,36,51.4,130,44.7,48291,G4802910,48291,G4802910,LIBERTY,497,47.1,343,51.2,36,43.9,118,38.9,48291,G4802910,2537,1728,191,618
LIMESTONE,148,51.4,92,60.1,23,44.2,33,39.8,0500000US48293,48293,G4802930,LIMESTONE,141,49.1,90,58.8,20,45.5,31,34.4,48293,G4802930,48293,G4802930,LIMESTONE,176,57.9,130,68.8,18,47.4,28,36.4,48293,G4802930,48293,G4802930,LIMESTONE,135,50.8,83,57.6,11,45.8,41,41.8,48293,G4802930,48293,G4802930,LIMESTONE,176,55.2,104,65.4,22,53.7,50,42,48293,G4802930,776,499,94,183
LIPSCOMB,32,54.2,24,64.9,0,-,8,36.4,0500000US48295,48295,G4802950,LIPSCOMB,20,46.5,15,71.4,0,-,5,22.7,48295,G4802950,48295,G4802950,LIPSCOMB,12,36.4,8,*,0,-,4,*,48295,G4802950,48295,G4802950,LIPSCOMB,19,42.2,11,52.4,0,-,8,33.3,48295,G4802950,48295,G4802950,LIPSCOMB,20,58.8,12,*,0,-,8,*,48295,G4802950,103,70,0,33
LIVE OAK,67,60.4,32,65.3,1,*,34,56.7,0500000US48297,48297,G4802970,LIVE OAK,73,60.3,29,63,0,-,44,58.7,48297,G4802970,48297,G4802970,LIVE OAK,80,66.7,41,80.4,0,-,39,56.5,48297,G4802970,48297,G4802970,LIVE OAK,72,64.3,39,68.4,0,-,33,60,48297,G4802970,48297,G4802970,LIVE OAK,73,55.3,35,63.6,0,-,38,50,48297,G4802970,365,176,1,188
LLANO,102,65.4,74,64.3,1,*,27,67.5,0500000US48299,48299,G4802990,LLANO,89,64,70,68,3,*,16,48.5,48299,G4802990,48299,G4802990,LLANO,108,71.1,91,73.4,2,*,15,57.7,48299,G4802990,48299,G4802990,LLANO,101,68.2,84,69.4,0,-,17,65.4,48299,G4802990,48299,G4802990,LLANO,100,64.9,85,66.4,1,*,14,58.3,48299,G4802990,500,404,7,89
LOVING,0,-,0,-,0,-,0,-,0500000US48301,48301,G4803010,LOVING,0,-,0,-,0,-,0,-,48301,G4803010,48301,G4803010,LOVING,0,-,0,-,0,-,0,-,48301,G4803010,48301,G4803010,LOVING,0,-,0,-,0,-,0,-,48301,G4803010,48301,G4803010,LOVING,0,-,0,-,0,-,0,-,48301,G4803010,0,0,0,0
LUBBOCK,2538,62.4,1419,70.8,163,54,956,54.2,0500000US48303,48303,G4803030,LUBBOCK,2448,63.3,1407,71.2,148,50.3,893,55.9,48303,G4803030,48303,G4803030,LUBBOCK,2494,63.7,1380,69.3,191,57.9,923,57.9,48303,G4803030,48303,G4803030,LUBBOCK,2612,63.5,1489,69.7,173,51.5,950,57.8,48303,G4803030,48303,G4803030,LUBBOCK,2783,65.9,1529,73.1,190,56.4,1064,59.3,48303,G4803030,12875,7224,865,4786
LYNN,41,57.7,15,55.6,1,*,25,59.5,0500000US48305,48305,G4803050,LYNN,48,60,25,67.6,2,*,21,51.2,48305,G4803050,48305,G4803050,LYNN,51,64.6,26,74.3,0,-,25,58.1,48305,G4803050,48305,G4803050,LYNN,49,61.3,20,71.4,0,-,29,55.8,48305,G4803050,48305,G4803050,LYNN,37,57.8,22,68.8,0,-,15,50,48305,G4803050,226,108,3,115
MADISON,72,58.5,41,57.7,14,58.3,17,60.7,0500000US48313,48313,G4803130,MADISON,62,57.4,42,65.6,5,*,15,50,48313,G4803130,48313,G4803130,MADISON,73,52.5,39,54.9,13,48.1,21,51.2,48313,G4803130,48313,G4803130,MADISON,87,64,52,73.2,13,59.1,22,51.2,48313,G4803130,48313,G4803130,MADISON,95,61.7,65,83.3,13,46.4,17,35.4,48313,G4803130,389,239,58,92
MARION,51,54.8,37,62.7,11,37.9,3,*,0500000US48315,48315,G4803150,MARION,52,57.1,42,61.8,7,*,3,*,48315,G4803150,48315,G4803150,MARION,57,53.3,45,59.2,10,41.7,2,*,48315,G4803150,48315,G4803150,MARION,52,55.3,34,54,13,54.2,5,*,48315,G4803150,48315,G4803150,MARION,45,52.3,32,50,11,*,2,*,48315,G4803150,257,190,52,15
MARTIN,53,63.9,28,71.8,0,-,25,56.8,0500000US48317,48317,G4803170,MARTIN,39,52.7,20,60.6,0,-,19,46.3,48317,G4803170,48317,G4803170,MARTIN,42,48.3,21,58.3,1,*,20,40,48317,G4803170,48317,G4803170,MARTIN,47,47.5,19,48.7,0,-,28,46.7,48317,G4803170,48317,G4803170,MARTIN,64,53.8,34,54.8,0,-,30,52.6,48317,G4803170,245,122,1,122
MASON,18,60,14,58.3,0,-,4,*,0500000US48319,48319,G4803190,MASON,27,69.2,22,73.3,0,-,5,*,48319,G4803190,48319,G4803190,MASON,28,70,20,83.3,0,-,8,*,48319,G4803190,48319,G4803190,MASON,18,48.6,13,52,0,-,5,*,48319,G4803190,48319,G4803190,MASON,15,55.6,9,*,0,-,6,*,48319,G4803190,106,78,0,28
MATAGORDA,240,46.2,108,57.4,28,42.4,104,39.2,0500000US48321,48321,G4803210,MATAGORDA,263,51.8,98,52.1,23,52.3,142,51.4,48321,G4803210,48321,G4803210,MATAGORDA,265,55,114,62,25,53.2,126,50.2,48321,G4803210,48321,G4803210,MATAGORDA,282,56.6,126,66,18,42.9,138,52.1,48321,G4803210,48321,G4803210,MATAGORDA,304,54.7,129,69,20,33.9,155,50,48321,G4803210,1354,575,114,665
MAVERICK,816,82.7,19,76,0,-,797,82.9,0500000US48323,48323,G4803230,MAVERICK,837,81.3,18,62.1,0,-,819,81.8,48323,G4803230,48323,G4803230,MAVERICK,848,78.2,19,79.2,1,*,828,78.1,48323,G4803230,48323,G4803230,MAVERICK,855,79.2,22,68.8,1,*,832,79.5,48323,G4803230,48323,G4803230,MAVERICK,881,75.8,38,86.4,0,-,843,75.3,48323,G4803230,4237,116,2,4119
MCCULLOCH,67,63.8,47,75.8,1,*,19,45.2,0500000US48307,48307,G4803070,MCCULLOCH,67,62.6,42,65.6,1,*,24,58.5,48307,G4803070,48307,G4803070,MCCULLOCH,60,61.9,37,68.5,0,-,23,54.8,48307,G4803070,48307,G4803070,MCCULLOCH,58,69.9,39,75,0,-,19,61.3,48307,G4803070,48307,G4803070,MCCULLOCH,58,70.7,39,79.6,1,*,18,56.3,48307,G4803070,310,204,3,103
MCLENNAN,2058,62.5,1114,68.4,301,58.1,643,56.1,0500000US48309,48309,G4803090,MCLENNAN,1944,59.5,1080,64.9,230,51.1,634,55,48309,G4803090,48309,G4803090,MCLENNAN,2054,64.2,1137,69.3,303,58.8,614,58.8,48309,G4803090,48309,G4803090,MCLENNAN,2068,62.2,1117,68.5,286,52.6,665,57.9,48309,G4803090,48309,G4803090,MCLENNAN,2161,64.6,1234,72.2,251,54.2,676,57.7,48309,G4803090,10285,5682,1371,3232
MCMULLEN,5,*,4,*,0,-,1,*,0500000US48311,48311,G4803110,MCMULLEN,6,*,3,*,0,-,3,*,48311,G4803110,48311,G4803110,MCMULLEN,2,*,0,-,0,-,2,*,48311,G4803110,48311,G4803110,MCMULLEN,8,*,6,*,0,-,2,*,48311,G4803110,48311,G4803110,MCMULLEN,4,*,4,*,0,-,0,-,48311,G4803110,25,17,0,8
MEDINA,341,71.6,154,78.6,0,-,187,67.5,0500000US48325,48325,G4803250,MEDINA,312,70.9,139,79.9,3,*,170,64.6,48325,G4803250,48325,G4803250,MEDINA,323,69.5,147,77.4,0,-,176,64,48325,G4803250,48325,G4803250,MEDINA,331,66.6,147,73.5,0,-,184,62,48325,G4803250,48325,G4803250,MEDINA,367,65.4,175,72,1,*,191,60.8,48325,G4803250,1674,762,4,908
MENARD,5,*,4,*,0,-,1,*,0500000US48327,48327,G4803270,MENARD,11,*,7,*,0,-,4,*,48327,G4803270,48327,G4803270,MENARD,13,61.9,6,*,0,-,7,*,48327,G4803270,48327,G4803270,MENARD,16,66.7,8,*,1,*,7,*,48327,G4803270,48327,G4803270,MENARD,15,65.2,8,*,0,-,7,*,48327,G4803270,60,33,1,26
MIDLAND,1333,59.1,686,68.6,60,47.6,587,51.9,0500000US48329,48329,G4803290,MIDLAND,1307,56.7,694,67.2,63,52.9,550,47.7,48329,G4803290,48329,G4803290,MIDLAND,1466,58.6,787,68.3,74,55.2,605,49.8,48329,G4803290,48329,G4803290,MIDLAND,1803,67,927,73.9,77,57.9,799,61.3,48329,G4803290,48329,G4803290,MIDLAND,1772,62.9,910,73,69,45.4,793,55.9,48329,G4803290,7681,4004,343,3334
MILAM,123,59.1,75,67.6,7,*,41,50,0500000US48331,48331,G4803310,MILAM,105,58.7,76,70.4,3,*,26,41.9,48331,G4803310,48331,G4803310,MILAM,133,66.8,71,70.3,13,*,49,61.3,48331,G4803310,48331,G4803310,MILAM,130,58.3,91,72.8,5,*,34,43,48331,G4803310,48331,G4803310,MILAM,166,65.4,103,73.6,12,57.1,51,54.8,48331,G4803310,657,416,40,201
MILLS,31,62,20,58.8,0,-,11,*,0500000US48333,48333,G4803330,MILLS,26,68.4,18,64.3,0,-,8,*,48333,G4803330,48333,G4803330,MILLS,18,56.3,15,62.5,0,-,3,*,48333,G4803330,48333,G4803330,MILLS,31,63.3,28,70,0,-,3,*,48333,G4803330,48333,G4803330,MILLS,37,66.1,29,70.7,0,-,8,*,48333,G4803330,143,110,0,33
MITCHELL,55,55.6,29,52.7,0,-,26,60.5,0500000US48335,48335,G4803350,MITCHELL,64,59.8,42,68.9,1,*,21,50,48335,G4803350,48335,G4803350,MITCHELL,59,57.8,29,54.7,1,*,29,60.4,48335,G4803350,48335,G4803350,MITCHELL,48,51.1,29,63,1,*,18,39.1,48335,G4803350,48335,G4803350,MITCHELL,65,70.7,36,70.6,0,-,29,72.5,48335,G4803350,291,165,3,123
MONTAGUE,148,57.8,133,61.6,0,-,15,37.5,0500000US48337,48337,G4803370,MONTAGUE,123,58.9,103,59.5,1,*,19,54.3,48337,G4803370,48337,G4803370,MONTAGUE,138,61.6,127,66.8,0,-,11,33.3,48337,G4803370,48337,G4803370,MONTAGUE,134,62,119,65.4,1,*,14,42.4,48337,G4803370,48337,G4803370,MONTAGUE,136,62.7,117,65,0,-,19,51.4,48337,G4803370,679,599,2,78
MONTGOMERY,3864,61.5,2735,65.6,131,48.2,998,54.2,0500000US48339,48339,G4803390,MONTGOMERY,4011,63.8,2887,67.8,143,53,981,55.7,48339,G4803390,48339,G4803390,MONTGOMERY,4020,64,2841,68.1,141,57.3,1038,55.6,48339,G4803390,48339,G4803390,MONTGOMERY,4022,61.6,2927,66.4,134,49.3,961,52.1,48339,G4803390,48339,G4803390,MONTGOMERY,4274,62.9,3020,67.7,171,55.5,1083,53.5,48339,G4803390,20191,14410,720,5061
MOORE,177,45.2,65,45.1,1,*,111,45.3,0500000US48341,48341,G4803410,MOORE,198,50.3,80,51.3,3,*,115,49.6,48341,G4803410,48341,G4803410,MOORE,221,53.8,78,52.7,3,*,140,54.5,48341,G4803410,48341,G4803410,MOORE,226,52.2,86,51.5,5,*,135,52.5,48341,G4803410,48341,G4803410,MOORE,213,50.8,90,56.6,1,*,122,47.5,48341,G4803410,1035,399,13,623
MORRIS,89,58.9,62,65.3,16,48.5,11,47.8,0500000US48343,48343,G4803430,MORRIS,108,67.1,68,65.4,27,71.1,13,*,48343,G4803430,48343,G4803430,MORRIS,91,55.5,61,57.5,16,47.1,14,58.3,48343,G4803430,48343,G4803430,MORRIS,90,57.3,65,65.7,17,44.7,8,*,48343,G4803430,48343,G4803430,MORRIS,75,52.8,53,59.6,13,44.8,9,37.5,48343,G4803430,453,309,89,55
MOTLEY,4,*,4,*,0,-,0,-,0500000US48345,48345,G4803450,MOTLEY,4,*,3,*,0,-,1,*,48345,G4803450,48345,G4803450,MOTLEY,6,*,6,*,0,-,0,-,48345,G4803450,48345,G4803450,MOTLEY,7,*,7,*,0,-,0,-,48345,G4803450,48345,G4803450,MOTLEY,1,*,1,*,0,-,0,-,48345,G4803450,22,21,0,1
NACOGDOCHES,580,62.8,297,68.4,111,49.3,172,64.9,0500000US48347,48347,G4803470,NACOGDOCHES,582,64.2,305,67.6,89,52.7,188,65.7,48347,G4803470,48347,G4803470,NACOGDOCHES,570,64.2,314,74.2,91,46.9,165,60.9,48347,G4803470,48347,G4803470,NACOGDOCHES,480,55.1,286,64.4,80,47.3,114,44.2,48347,G4803470,48347,G4803470,NACOGDOCHES,508,57.8,282,63.2,82,49.4,144,53.9,48347,G4803470,2720,1484,453,783
NAVARRO,305,45.8,170,51.4,29,34.5,106,42.2,0500000US48349,48349,G4803490,NAVARRO,304,45.6,179,57.9,33,33.3,92,35.7,48349,G4803490,48349,G4803490,NAVARRO,338,48.6,206,59.7,43,43,89,35.6,48349,G4803490,48349,G4803490,NAVARRO,333,49.9,180,56.3,50,49.5,103,41.7,48349,G4803490,48349,G4803490,NAVARRO,371,48.6,228,58.8,48,47.5,95,34.7,48349,G4803490,1651,963,203,485
NEWTON,67,51.5,49,59,18,38.3,0,-,0500000US48351,48351,G4803510,NEWTON,92,63.4,74,66.7,15,53.6,3,*,48351,G4803510,48351,G4803510,NEWTON,89,65.9,74,66.7,14,63.6,1,*,48351,G4803510,48351,G4803510,NEWTON,84,60.9,67,60.9,16,66.7,1,*,48351,G4803510,48351,G4803510,NEWTON,84,62.7,69,63.9,11,50,4,*,48351,G4803510,416,333,74,9
NOLAN,115,58.4,68,66.7,9,*,38,46.9,0500000US48353,48353,G4803530,NOLAN,127,69,75,75,7,*,45,61.6,48353,G4803530,48353,G4803530,NOLAN,129,67.9,77,72.6,5,*,47,60.3,48353,G4803530,48353,G4803530,NOLAN,149,68.3,79,76.7,10,*,60,60,48353,G4803530,48353,G4803530,NOLAN,160,69.9,82,68.3,9,*,69,71.1,48353,G4803530,680,381,40,259
NUECES,2994,64.7,912,72.4,77,58.8,2005,62,0500000US48355,48355,G4803550,NUECES,2962,67,896,70.7,89,63.1,1977,65.6,48355,G4803550,48355,G4803550,NUECES,3057,68.3,969,73.8,82,65.1,2006,66.1,48355,G4803550,48355,G4803550,NUECES,3002,63.8,924,67.6,80,58.8,1998,62.4,48355,G4803550,48355,G4803550,NUECES,2775,55.3,839,62,60,49.2,1876,52.9,48355,G4803550,14790,4540,388,9862
OCHILTREE,92,57.9,47,73.4,0,-,45,47.4,0500000US48357,48357,G4803570,OCHILTREE,98,53.6,52,74.3,0,-,46,40.7,48357,G4803570,48357,G4803570,OCHILTREE,85,51.2,49,68.1,1,*,35,38,48357,G4803570,48357,G4803570,OCHILTREE,85,49.1,43,66.2,1,*,41,38.3,48357,G4803570,48357,G4803570,OCHILTREE,87,47.5,40,62.5,0,-,47,39.5,48357,G4803570,447,231,2,214
