county,total_number_2010,total_percent_2010,white_number_2010,white_percent_2010,black_number_2010,black_percent_2010,hispanic_number_2010,hispanic_percent_2010,geo,geo_two,GISJOIN,Geographic Area,total_number_2011,total_percent_2011,white_number_2011,white_percent_2011,black_number_2011,black_percent_2011,hispanic_number_2011,hispanic_percent_2011,geo_two2,GISJOIN2,geo_two2_2,GISJOIN2_2,Geographic Area2,total_number_2012,total_percent_2012,white_number_2012,white_percent_2012,black_number_2012,black_percent_2012,hispanic_number_2012,hispanic_percent_2012,geo_two2_3,GISJOIN2_3,geo_two2_4,GISJOIN2_4,Geographic Area2_2,total_number_2013,total_percent_2013,white_number_2013,white_percent_2013,black_number_2013,black_percent_2013,hispanic_number_2013,hispanic_percent_2013,geo_two2_5,GISJOIN2_5,geo_two2_6,GISJOIN2_6,Geographic Area2_3,total_number_2014,total_percent_2014,white_number_2014,white_percent_2014,black_number_2014,black_percent_2014,hispanic_number_2014,hispanic_percent_2014,geo_two2_7,GISJOIN2_7,total_sum_2010_2014,white_sum_2010_2014,black_sum_2010_2014,hispanic_sum_2010_2014
CALDWELL,279,57.4,118,67,11,*,150,51.4,0500000US48055,48055,G4800550,CALDWELL,296,62.1,123,66.1,5,*,168,60,48055,G4800550,48055,G4800550,CALDWELL,282,60.8,113,72.4,5,*,164,56.4,48055,G4800550,48055,G4800550,CALDWELL,282,61.3,112,70.4,3,*,167,56.8,48055,G4800550,48055,G4800550,CALDWELL,284,55.5,114,62.3,6,*,164,51.3,48055,G4800550,1423,580,30,813
CALHOUN,174,59.6,78,66.1,4,*,92,54.8,0500000US48057,48057,G4800570,CALHOUN,180,67.7,70,71.4,1,*,109,65.3,48057,G4800570,48057,G4800570,CALHOUN,169,68.1,71,76.3,4,*,94,63.1,48057,G4800570,48057,G4800570,CALHOUN,208,71.7,91,76.5,2,*,115,68.9,48057,G4800570,48057,G4800570,CALHOUN,212,70.9,87,76.3,1,*,124,68.1,48057,G4800570,943,397,12,534
CALLAHAN,84,69.4,79,69.3,0,-,5,*,0500000US48059,48059,G4800590,CALLAHAN,86,76.8,77,78.6,0,-,9,*,48059,G4800590,48059,G4800590,CALLAHAN,95,69.9,83,70.9,1,*,11,*,48059,G4800590,48059,G4800590,CALLAHAN,90,70.9,81,71.7,1,*,8,*,48059,G4800590,48059,G4800590,CALLAHAN,93,58.9,82,60.3,0,-,11,*,48059,G4800590,448,402,2,44
CAMERON,4983,64.3,226,67.5,7,*,4750,64.1,0500000US48061,48061,G4800610,CAMERON,5185,69,208,65.2,10,*,4967,69.2,48061,G4800610,48061,G4800610,CAMERON,5094,69.8,184,67.6,10,*,4900,69.9,48061,G4800610,48061,G4800610,CAMERON,5400,73.8,237,69.7,12,*,5151,74,48061,G4800610,48061,G4800610,CAMERON,5005,69.8,249,73.2,10,*,4746,69.7,48061,G4800610,25667,1104,49,24514
CAMP,124,62.6,66,75.9,23,54.8,35,50.7,0500000US48063,48063,G4800630,CAMP,93,62,52,77.6,16,53.3,25,47.2,48063,G4800630,48063,G4800630,CAMP,107,56.9,55,66.3,23,53.5,29,46.8,48063,G4800630,48063,G4800630,CAMP,124,59.9,67,66.3,22,64.7,35,48.6,48063,G4800630,48063,G4800630,CAMP,107,49.5,58,60.4,16,43.2,33,39.8,48063,G4800630,555,298,100,157
CARSON,44,71,40,76.9,0,-,4,*,0500000US48065,48065,G4800650,CARSON,53,82.8,49,83.1,0,-,4,*,48065,G4800650,48065,G4800650,CARSON,46,70.8,41,70.7,0,-,5,*,48065,G4800650,48065,G4800650,CARSON,42,80.8,40,83.3,1,*,1,*,48065,G4800650,48065,G4800650,CARSON,48,69.6,44,69.8,0,-,4,*,48065,G4800650,233,214,1,18
CASS,187,53.3,144,55.4,31,44.3,12,57.1,0500000US48067,48067,G4800670,CASS,162,53.6,136,59.1,21,36.8,5,*,48067,G4800670,48067,G4800670,CASS,176,52.2,138,55.6,30,40.5,8,*,48067,G4800670,48067,G4800670,CASS,188,53.4,142,56.3,32,43.8,14,51.9,48067,G4800670,48067,G4800670,CASS,188,55.1,148,61.4,33,39.3,7,*,48067,G4800670,901,708,147,46
CASTRO,63,48.5,20,62.5,3,*,40,43.5,0500000US48069,48069,G4800690,CASTRO,67,48.9,21,84,3,*,43,40.2,48069,G4800690,48069,G4800690,CASTRO,82,59.4,20,87,0,-,62,54.4,48069,G4800690,48069,G4800690,CASTRO,68,57.6,22,78.6,0,-,46,52.3,48069,G4800690,48069,G4800690,CASTRO,73,62.4,19,76,1,*,53,58.2,48069,G4800690,353,102,7,244
CHAMBERS,286,62.6,197,65.9,21,50,68,58.6,0500000US48071,48071,G4800710,CHAMBERS,278,64.2,177,64.4,15,62.5,86,64.2,48071,G4800710,48071,G4800710,CHAMBERS,256,58.6,173,59.7,16,50,67,58.3,48071,G4800710,48071,G4800710,CHAMBERS,299,68,216,71.3,11,45.8,72,63.7,48071,G4800710,48071,G4800710,CHAMBERS,259,57.4,197,61.9,14,51.9,48,45.3,48071,G4800710,1378,960,77,341
CHEROKEE,402,57.8,217,61.1,51,54.3,134,54.3,0500000US48073,48073,G4800730,CHEROKEE,360,53.7,235,63.2,35,47.3,90,40.2,48073,G4800730,48073,G4800730,CHEROKEE,347,50.2,224,57.7,39,44.3,84,39.1,48073,G4800730,48073,G4800730,CHEROKEE,355,48.9,199,55.4,51,50,105,39.6,48073,G4800730,48073,G4800730,CHEROKEE,355,51,229,59.3,42,53.8,84,36.2,48073,G4800730,1819,1104,218,497
CHILDRESS,49,59,36,64.3,2,*,11,47.8,0500000US48075,48075,G4800750,CHILDRESS,48,56.5,23,62.2,4,*,21,47.7,48075,G4800750,48075,G4800750,CHILDRESS,44,64.7,30,71.4,1,*,13,52,48075,G4800750,48075,G4800750,CHILDRESS,45,66.2,31,75.6,1,*,13,50,48075,G4800750,48075,G4800750,CHILDRESS,52,63.4,38,73.1,4,*,10,43.5,48075,G4800750,238,158,12,68
CLAY,68,70.8,64,71.1,1,*,3,*,0500000US48077,48077,G4800770,CLAY,56,76.7,54,77.1,0,-,2,*,48077,G4800770,48077,G4800770,CLAY,80,84.2,77,83.7,0,-,3,*,48077,G4800770,48077,G4800770,CLAY,71,71.7,65,75.6,0,-,6,*,48077,G4800770,48077,G4800770,CLAY,60,73.2,58,74.4,0,-,2,*,48077,G4800770,335,318,1,16
COCHRAN,33,62.3,12,*,1,*,20,55.6,0500000US48079,48079,G4800790,COCHRAN,27,49.1,10,*,0,-,17,45.9,48079,G4800790,48079,G4800790,COCHRAN,24,50,9,*,0,-,15,41.7,48079,G4800790,48079,G4800790,COCHRAN,15,37.5,4,*,0,-,11,36.7,48079,G4800790,48079,G4800790,COCHRAN,22,47.8,7,*,0,-,15,53.6,48079,G4800790,121,42,1,78
COKE,13,50,10,*,0,-,3,*,0500000US48081,48081,G4800810,COKE,14,50,7,*,0,-,7,*,48081,G4800810,48081,G4800810,COKE,21,72.4,18,78.3,0,-,3,*,48081,G4800810,48081,G4800810,COKE,18,60,14,60.9,0,-,4,*,48081,G4800810,48081,G4800810,COKE,19,63.3,15,68.2,0,-,4,*,48081,G4800810,85,64,0,21
COLEMAN,64,63.4,50,67.6,2,*,12,52.2,0500000US48083,48083,G4800830,COLEMAN,56,58.3,43,57.3,0,-,13,61.9,48083,G4800830,48083,G4800830,COLEMAN,55,57.9,40,57.1,0,-,15,62.5,48083,G4800830,48083,G4800830,COLEMAN,48,55.8,39,57.4,0,-,9,*,48083,G4800830,48083,G4800830,COLEMAN,54,65.1,46,68.7,1,*,7,*,48083,G4800830,277,218,3,56
COLLIN,7630,72.5,5957,78.4,597,61.1,1076,55.3,0500000US48085,48085,G4800850,COLLIN,7673,74.7,5902,79.7,622,66,1149,59.4,48085,G4800850,48085,G4800850,COLLIN,7606,74.3,5947,79.7,555,63.6,1104,58.3,48085,G4800850,48085,G4800850,COLLIN,7643,72.8,5962,78.4,591,61.6,1090,56.4,48085,G4800850,48085,G4800850,COLLIN,7376,68.6,5642,72.7,570,59.1,1164,57.3,48085,G4800850,37928,29410,2935,5583
COLLINGSWORTH,30,52.6,17,70.8,0,-,13,40.6,0500000US48087,48087,G4800870,COLLINGSWORTH,26,48.1,13,44.8,1,*,12,50,48087,G4800870,48087,G4800870,COLLINGSWORTH,20,48.8,12,54.5,0,-,8,*,48087,G4800870,48087,G4800870,COLLINGSWORTH,23,54.8,15,*,3,*,5,*,48087,G4800870,48087,G4800870,COLLINGSWORTH,19,67.9,11,*,1,*,7,*,48087,G4800870,118,68,5,45
COLORADO,168,63.6,91,79.1,26,59.1,51,48.6,0500000US48089,48089,G4800890,COLORADO,148,63,83,79.8,13,48.1,52,50,48089,G4800890,48089,G4800890,COLORADO,143,62.2,68,72.3,20,58.8,55,53.9,48089,G4800890,48089,G4800890,COLORADO,138,56.8,67,67,14,53.8,57,48.7,48089,G4800890,48089,G4800890,COLORADO,153,58.6,77,68.1,18,52.9,58,50.9,48089,G4800890,750,386,91,273
COMAL,599,55,419,63.6,6,*,174,41,0500000US48091,48091,G4800910,COMAL,677,59,471,66.3,9,*,197,46.4,48091,G4800910,48091,G4800910,COMAL,759,61.2,536,66.1,7,*,216,51.7,48091,G4800910,48091,G4800910,COMAL,831,62.1,567,67.8,11,*,253,52,48091,G4800910,48091,G4800910,COMAL,817,58.1,570,64.6,9,*,238,46.8,48091,G4800910,3683,2563,42,1078
COMANCHE,99,58.6,63,67,0,-,36,48,0500000US48093,48093,G4800930,COMANCHE,101,59.8,68,68,0,-,33,47.8,48093,G4800930,48093,G4800930,COMANCHE,92,59.4,61,61,0,-,31,56.4,48093,G4800930,48093,G4800930,COMANCHE,97,63.8,61,66.3,0,-,36,60,48093,G4800930,48093,G4800930,COMANCHE,83,61.5,44,67.7,1,*,38,55.9,48093,G4800930,472,297,1,174
CONCHO,11,42.3,7,*,1,*,3,*,0500000US48095,48095,G4800950,CONCHO,19,54.3,16,72.7,0,-,3,*,48095,G4800950,48095,G4800950,CONCHO,13,56.5,9,*,0,-,4,*,48095,G4800950,48095,G4800950,CONCHO,14,*,9,*,0,-,5,*,48095,G4800950,48095,G4800950,CONCHO,18,72,12,*,0,-,6,*,48095,G4800950,75,53,1,21
COOKE,271,54,213,62.3,8,*,50,34.2,0500000US48097,48097,G4800970,COOKE,275,56.9,222,62.7,11,*,42,37.2,48097,G4800970,48097,G4800970,COOKE,324,57.5,263,67.3,10,*,51,33.3,48097,G4800970,48097,G4800970,COOKE,298,57.9,239,68.1,8,*,51,34.7,48097,G4800970,48097,G4800970,COOKE,340,61.7,272,68,9,*,59,43.4,48097,G4800970,1508,1209,46,253
CORYELL,619,68,455,69.6,73,66.4,91,62.3,0500000US48099,48099,G4800990,CORYELL,629,70.3,468,71.9,69,66.3,92,65.7,48099,G4800990,48099,G4800990,CORYELL,591,71.2,424,71.1,62,77.5,105,68.2,48099,G4800990,48099,G4800990,CORYELL,712,74.5,512,75.2,79,73.1,121,72.5,48099,G4800990,48099,G4800990,CORYELL,712,71.6,522,73.4,68,64.2,122,68.9,48099,G4800990,3263,2381,351,531
COTTLE,11,*,9,*,0,-,2,*,0500000US48101,48101,G4801010,COTTLE,8,*,5,*,1,*,2,*,48101,G4801010,48101,G4801010,COTTLE,7,*,5,*,1,*,1,*,48101,G4801010,48101,G4801010,COTTLE,9,*,5,*,1,*,3,*,48101,G4801010,48101,G4801010,COTTLE,16,*,10,*,3,*,3,*,48101,G4801010,51,34,6,11
CRANE,45,72.6,13,*,1,*,31,72.1,0500000US48103,48103,G4801030,CRANE,38,63.3,11,*,0,-,27,61.4,48103,G4801030,48103,G4801030,CRANE,56,70,22,84.6,0,-,34,64.2,48103,G4801030,48103,G4801030,CRANE,65,80.2,20,87,0,-,45,77.6,48103,G4801030,48103,G4801030,CRANE,59,75.6,20,90.9,1,*,38,69.1,48103,G4801030,263,86,2,175
CROCKETT,36,56.3,15,*,0,-,21,47.7,0500000US48105,48105,G4801050,CROCKETT,30,47.6,13,59.1,0,-,17,41.5,48105,G4801050,48105,G4801050,CROCKETT,27,50,11,*,0,-,16,45.7,48105,G4801050,48105,G4801050,CROCKETT,25,50,7,*,0,-,18,47.4,48105,G4801050,48105,G4801050,CROCKETT,29,47.5,12,*,0,-,17,40.5,48105,G4801050,147,58,0,89
CROSBY,46,52.3,10,*,1,*,35,50,0500000US48107,48107,G4801070,CROSBY,43,58.1,16,59.3,0,-,27,57.4,48107,G4801070,48107,G4801070,CROSBY,46,64.8,13,*,0,-,33,63.5,48107,G4801070,48107,G4801070,CROSBY,34,53.1,11,52.4,0,-,23,53.5,48107,G4801070,48107,G4801070,CROSBY,52,58.4,15,57.7,2,*,35,57.4,48107,G4801070,221,65,3,153
CULBERSON,11,40.7,3,*,0,-,8,36.4,0500000US48109,48109,G4801090,CULBERSON,19,76,4,*,0,-,15,*,48109,G4801090,48109,G4801090,CULBERSON,17,56.7,3,*,0,-,14,53.8,48109,G4801090,48109,G4801090,CULBERSON,22,71,2,*,0,-,20,76.9,48109,G4801090,48109,G4801090,CULBERSON,14,51.9,3,*,0,-,11,50,48109,G4801090,83,15,0,68
DALLAM,76,55.9,47,59.5,1,*,28,50,0500000US48111,48111,G4801110,DALLAM,85,63.4,46,69.7,0,-,39,60,48111,G4801110,48111,G4801110,DALLAM,89,61.8,56,71.8,0,-,33,50.8,48111,G4801110,48111,G4801110,DALLAM,90,64.7,55,77.5,0,-,35,51.5,48111,G4801110,48111,G4801110,DALLAM,79,62.7,44,72.1,1,*,34,54,48111,G4801110,419,248,2,169
