county,percent_2014,percent_2013,percent_2012,percent_2011,percent_2010,number_2014,number_2013,number_2012,number_2011,number_2010,white_number_2014,white_percent_2014,black_number_2014,black_percent_2014,hispanic_number_2014,hispanic_percent_2014,white_number_2013,white_percent_2013,black_number_2013,black_percent_2013,hispanic_number_2013,hispanic_percent_2013,white_number_2012,white_percent_2012,black_number_2012,black_percent_2012,hispanic_number_2012,hispanic_percent_2012,white_number_2011,white_percent_2011,black_number_2011,black_percent_2011,hispanic_number_2011,hispanic_percent_2011,white_number_2010,white_percent_2010,black_number_2010,black_percent_2010,hispanic_number_2010,hispanic_percent_2010
LIMESTONE,55.2,50.8,57.9,49.1,51.4,176,135,176,141,148,104,65.4,22,53.7,50,42,83,57.6,11,45.8,41,41.8,130,68.8,18,47.4,28,36.4,90,58.8,20,45.5,31,34.4,92,60.1,23,44.2,33,39.8
LIVE OAK,55.3,64.3,66.7,60.3,60.4,73,72,80,73,67,35,63.6,0,-,38,50,39,68.4,0,-,33,60,41,80.4,0,-,39,56.5,29,63,0,-,44,58.7,32,65.3,1,*,34,56.7
NUECES,55.3,63.8,68.3,67,64.7,"2,775","3,002","3,057","2,962","2,994",839,62,60,49.2,"1,876",52.9,924,67.6,80,58.8,"1,998",62.4,969,73.8,82,65.1,"2,006",66.1,896,70.7,89,63.1,"1,977",65.6,912,72.4,77,58.8,"2,005",62
PANOLA,55.3,53.8,55.5,62.9,55.6,152,155,151,205,130,124,62.3,16,43.2,12,30.8,122,62.2,17,37.8,16,34,117,60.3,20,51.3,14,35.9,158,69.6,20,48.8,27,46.6,96,60.4,23,51.1,11,36.7
PECOS,55.3,69.4,54.2,57.6,62.7,121,161,109,132,133,31,62,1,*,89,53.3,42,75,2,*,117,67.2,29,65.9,0,-,80,51,26,54.2,1,*,105,58.3,25,61,1,*,107,63.3
REAGAN,55.3,58.5,54.9,46,42.3,26,48,28,23,22,4,*,1,*,21,58.3,19,82.6,1,*,28,48.3,11,*,0,-,17,47.2,10,*,1,*,12,36.4,10,*,0,-,12,35.3
SHERMAN,55.3,58.5,71.4,67.3,43.3,21,24,25,33,13,9,*,0,-,12,48,9,*,0,-,15,55.6,13,*,0,-,12,*,22,84.6,0,-,11,47.8,5,*,1,*,7,*
CALDWELL,55.5,61.3,60.8,62.1,57.4,284,282,282,296,279,114,62.3,6,*,164,51.3,112,70.4,3,*,167,56.8,113,72.4,5,*,164,56.4,123,66.1,5,*,168,60,118,67,11,*,150,51.4
MASON,55.6,48.6,70,69.2,60,15,18,28,27,18,9,*,0,-,6,*,13,52,0,-,5,*,20,83.3,0,-,8,*,22,73.3,0,-,5,*,14,58.3,0,-,4,*
HUNT,55.7,54.3,56.4,56.9,50.3,628,578,588,595,546,470,61.2,54,50.9,104,41.1,443,61.3,49,46.2,86,36.4,460,63.1,55,55.6,73,34.1,445,61.4,55,52.4,95,44,420,55.4,54,45,72,34.6
ANGELINA,55.8,60.2,62,60.3,58.4,646,736,732,736,688,389,60.9,84,45.9,173,51.5,460,66.4,112,59.9,164,47.8,439,68,105,57.4,188,53.6,426,64.7,123,58.9,187,53,391,60.7,89,50.9,208,57.8
ATASCOSA,55.8,48.4,64.1,67.6,71.2,365,282,387,400,426,130,60.7,0,-,235,53.5,88,50.9,1,*,193,47.2,139,66.8,0,-,248,62.6,110,65.9,3,*,287,68.3,116,71.6,0,-,310,71.4
RAINS,55.8,63.3,68.5,58.2,59.8,48,57,76,57,61,45,58.4,0,-,3,*,49,63.6,1,*,7,*,64,69.6,1,*,11,*,51,61.4,0,-,6,*,52,61.2,1,*,8,*
