county,percent_2015,percent_2014,percent_2013,percent_2012,percent_2011,number_2015,number_2014,number_2013,number_2012,number_2011
NACOGDOCHES,57.9,57.8,55.1,64.2,64.2,494,508,480,570,582
NAVARRO,52.4,48.6,49.9,48.6,45.6,344,371,333,338,304
NEWTON,62.4,62.7,60.9,65.9,63.4,78,84,84,89,92
NOLAN,63.2,69.9,68.3,67.9,69,129,160,149,129,127
NUECES,58.8,55.3,63.8,68.3,67,"2,942","2,775","3,002","3,057","2,962"
OCHILTREE,47.4,47.5,49.1,51.2,53.6,83,87,85,85,98
OLDHAM,60.9,81.8,77.4,*,*,14,18,24,13,16
ORANGE,65.3,62.9,65.8,70.4,71.9,652,611,637,701,670
PALO PINTO,59.3,71.7,70.4,71.8,65.7,208,259,262,270,241
PANOLA,64.1,55.3,53.8,55.5,62.9,168,152,155,151,205
PARKER,70.6,73,69.2,72.2,70.5,"1,044","1,037",887,969,911
PARMER,46.7,53.4,49.3,53,54.9,64,63,69,79,90
PECOS,58.4,55.3,69.4,54.2,57.6,118,121,161,109,132
POLK,57.7,59.5,53.2,57.4,57.4,317,276,274,275,268
POTTER,55,57.8,57.5,58.8,57.8,"1,066","1,194","1,187","1,233","1,168"
PRESIDIO,44.3,51.1,42,47.6,34.3,47,71,55,50,37
RAINS,66.7,55.8,63.3,68.5,58.2,68,48,57,76,57
RANDALL,71.1,72.1,74.3,73.9,76.3,"1,177","1,269","1,251","1,192","1,257"
REAGAN,58.6,55.3,58.5,54.9,46,41,26,48,28,23
REAL,58.5,52.8,46.9,51.6,54.5,24,19,15,16,18
RED RIVER,65.8,54,63.6,56.7,67.5,73,67,98,72,83
REEVES,68.7,65.2,76.2,65,67.1,138,129,147,106,104
REFUGIO,67.4,53.8,62.9,67.9,82.2,64,49,44,55,74
ROBERTS,*,*,*,*,*,6,7,6,6,7
ROBERTSON,63.1,56.8,52.2,57.7,60.7,125,126,95,94,108
ROCKWALL,67.3,65.1,67.2,66.8,69.5,677,631,647,633,666
RUNNELS,61.3,63.3,54.2,63.3,68.8,68,62,52,62,88
RUSK,63.1,58.6,59,55.2,61.8,403,334,363,378,400
SABINE,53.8,74.4,51.6,62.8,61.8,57,61,48,49,55
SAN AUGUSTINE,61.5,56.5,57.7,55.9,66.4,48,52,56,62,73
SAN JACINTO,51.1,54.2,55.8,53.1,58.7,143,149,154,144,149
SAN PATRICIO,56.5,51,57.1,63.9,61.7,564,520,525,547,531
SAN SABA,56.2,70.8,69.8,58.9,58,41,46,37,43,40
SCHLEICHER,65.2,57.5,56.1,55.3,69.7,15,23,23,21,23
SCURRY,53.7,56.4,43.8,45.5,40.4,123,146,105,122,99
SHACKELFORD,67.4,47.8,70.6,63.4,76.7,29,11,24,26,23
SHELBY,57.7,60.1,54.7,55.2,58.7,209,200,193,201,193
SHERMAN,64.9,55.3,58.5,71.4,67.3,24,21,24,25,33
SMITH,59.2,50.1,45.3,54.3,57.3,"1,801","1,540","1,359","1,456","1,409"
SOMERVELL,69.3,60,75.8,64.9,56.5,52,51,69,61,39
STARR,48,52.6,56.1,53.6,57.3,522,391,417,411,505
STEPHENS,67.2,64.6,68.8,76.5,60.8,80,62,77,75,59
STERLING,*,*,*,*,*,12,13,10,8,5
STONEWALL,*,*,*,*,*,12,10,9,7,8
SUTTON,60,60.4,56.9,48.1,48.2,30,32,33,26,27
SWISHER,53.2,55.8,66.4,57.9,53.5,59,53,73,55,68
TARRANT,59.7,57.7,57.2,55.1,55.5,"16,810","16,187","15,667","15,079","15,041"
TAYLOR,61.4,65.2,67.3,71.7,71.1,"1,282","1,378","1,342","1,465","1,437"
TERRELL,*,*,*,*,*,8,12,2,8,7
TERRY,42.2,48.1,42.9,49.2,54.2,79,100,87,97,103
THROCKMORTON,*,*,*,*,*,6,10,14,12,8
TITUS,59.7,43.7,59.9,51.1,63.1,296,234,296,256,311
TOM GREEN,69,65.8,64.6,63.1,59.4,"1,181","1,089","1,004",937,905
TRAVIS,73.9,73,73.9,71.7,68.9,"11,971","11,893","11,545","11,285","10,641"
TRINITY,55.6,58.3,68.1,60,65.9,80,88,81,66,91
TYLER,56.9,62.6,61.4,62.5,63.1,116,132,132,150,130
UPSHUR,65.8,58.2,50.2,54.6,56.6,293,284,245,249,266
UPTON,63.3,59.2,74.1,63.5,61.5,38,29,43,33,32
UVALDE,64.9,62.7,66.5,63.5,61.8,275,252,276,233,239
VAL VERDE,31.1,37.8,35.4,40.3,34.7,279,325,310,344,296
VAN ZANDT,62,57,56.1,54.5,57.3,368,315,325,302,286
VICTORIA,72.8,73,73,70.2,67.5,983,951,877,852,813
WALKER,66.5,65.4,62.2,67.8,71.2,438,430,387,390,423
WALLER,66.8,64.8,71.2,65.6,55.8,385,415,405,362,290
WARD,64.6,67.7,87.4,73.2,62,128,126,167,123,101
WASHINGTON,64.2,60.7,54.7,57.3,58.6,244,236,199,205,231
WEBB,75.6,68.5,75.1,77.7,81.7,"3,667","3,391","3,968","4,146","4,355"
WHARTON,65.8,62.4,53.8,61.6,56.9,379,340,278,319,300
WHEELER,51.4,52.6,63,59.7,63.3,38,50,46,43,38
WICHITA,72.7,76.1,75.1,78.6,76.5,"1,256","1,371","1,319","1,386","1,403"
WILBARGER,64.7,64.2,77.8,71.8,70.9,108,97,123,122,122
WILLACY,65.9,63.2,64.7,57.1,59.2,191,180,196,181,173
WILLIAMSON,80.3,80.8,79.6,81.4,79.3,"5,049","5,000","4,646","4,868","4,658"
WILSON,60.9,56.8,65.4,69.9,71.3,319,271,321,316,298
WINKLER,69.7,65.7,78.5,62.1,63.6,92,88,102,82,68
WISE,63.3,57.1,60.2,60.4,61.8,522,427,465,443,423
WOOD,58,52.4,58.4,60.7,64.1,238,217,233,239,234
YOAKUM,58.4,48.3,60.2,56.8,60.9,94,70,115,71,81
YOUNG,73.7,68.3,71,75.1,71,157,157,159,184,154
ZAPATA,73.4,66.7,80.6,78.9,85,177,178,208,217,244
ZAVALA,72.4,64.9,69.2,66.5,64.8,139,126,139,139,125
