county,percent_2014,percent_2013,percent_2012,percent_2011,percent_2010,number_2014,number_2013,number_2012,number_2011,number_2010,prenatal_percent_2010_2014
DAWSON,67.1,62.6,62.2,54.5,50.8,110,117,117,97,94,61
ELLIS,58.9,58.7,60.6,59.6,55.7,"1,218","1,187","1,098","1,144","1,119",61
ERATH,61.5,59,60.5,58.2,61.2,322,286,296,287,275,61
GILLESPIE,56.7,54.8,60,62.3,63.8,143,132,147,144,166,61
HARRIS,57.9,59.2,58.5,58.2,55.6,"38,750","38,294","37,055","36,202","35,703",61
KENT,*,*,*,*,*,7,9,5,3,3,61
KINNEY,60.9,62.5,48.6,52.6,51.7,14,20,17,20,15,61
MADISON,61.7,64,52.5,57.4,58.5,95,87,73,62,72,61
MORRIS,52.8,57.3,55.5,67.1,58.9,75,90,91,108,89,61
SHERMAN,55.3,58.5,71.4,67.3,43.3,21,24,25,33,13,61
COMAL,58.1,62.1,61.2,59,55,817,831,759,677,599,60.6
PANOLA,55.3,53.8,55.5,62.9,55.6,152,155,151,205,130,60.5
CULBERSON,51.9,71,56.7,76,40.7,14,22,17,19,11,60
DALLAS,57.5,56.3,55.7,58.1,56.1,"22,373","21,301","21,034","21,856","21,694",60
SAN AUGUSTINE,56.5,57.7,55.9,66.4,57.4,52,56,62,73,54,60
UPSHUR,58.2,50.2,54.6,56.6,52.7,284,245,249,266,261,60
MITCHELL,70.7,51.1,57.8,59.8,55.6,65,48,59,64,55,59.8
WOOD,52.4,58.4,60.7,64.1,56.4,217,233,239,234,225,59.8
BANDERA,47.4,54.1,65.4,61.9,62.3,72,85,102,91,101,59.7
WHARTON,62.4,53.8,61.6,56.9,54.9,340,278,319,300,284,59.6
WHEELER,52.6,63,59.7,63.3,55.3,50,46,43,38,42,59.5
CAMP,49.5,59.9,56.9,62,62.6,107,124,107,93,124,59.4
CONCHO,72,*,56.5,54.3,42.3,18,14,13,19,11,59.1
CROSBY,58.4,53.1,64.8,58.1,52.3,52,34,46,43,46,59.1
BLANCO,59.6,56.1,56.5,60.9,54.1,59,37,48,53,46,59
BOSQUE,59.9,59.6,62,59.3,49.7,94,112,111,102,97,59
COKE,63.3,60,72.4,50,50,19,18,21,14,13,59
COOKE,61.7,57.9,57.5,56.9,54,340,298,324,275,271,59
FANNIN,57.9,63.6,60.4,53.8,51.9,186,204,192,182,176,59
GRAYSON,59.7,59,57.4,54.9,57.9,920,876,853,808,878,59
HARRISON,56,52.2,55.1,61,54.5,460,424,448,526,446,59
TARRANT,57.7,57.2,55.1,55.5,52.1,"16,187","15,667","15,079","15,041","14,413",59
WASHINGTON,60.7,54.7,57.3,58.6,57.5,236,199,205,231,223,59
HOCKLEY,58.3,55.9,53.6,59.6,60.5,179,175,195,186,207,58.6
DUVAL,45.6,50.4,46,42.4,45.5,68,64,69,75,75,58.5
POLK,59.5,53.2,57.4,57.4,58.9,276,274,275,268,285,58.5
