county,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,geo,geo_two,GISJOIN,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,geo_two2,GISJOIN2,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,geo2_2,geo_two2_2,GISJOIN2_2,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,geo2_3,geo2,geo_two2_3,GISJOIN2_3,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014,geo2_4
FAYETTE ,12473,9269,902,2218,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISHER ,2016,1441,71,492,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLOYD ,3270,1445,116,1694,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOARD ,699,572,30,93,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORT BEND ,298007,108519,66866,69684,52938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKLIN ,5390,4470,238,612,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FREESTONE ,9379,6771,1434,1103,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIO ,7185,1319,35,5771,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAINES ,8728,5432,136,3119,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALVESTON ,147075,87947,21407,32265,5456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARZA ,2369,1310,132,902,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GILLESPIE ,12869,10358,29,2369,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLASSCOCK ,577,389,8,177,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLIAD ,3614,2200,165,1229,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GONZALES ,9848,4587,675,4505,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY ,10832,7977,329,2394,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAYSON ,61960,49801,4011,6633,1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREGG ,62262,38731,13216,9283,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIMES ,12117,7711,1856,2466,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUADALUPE ,66771,37112,4357,23685,1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALE ,17536,6823,717,9833,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALL ,1696,1049,106,529,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMILTON ,4322,3866,13,406,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANSFORD ,2810,1617,15,1160,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDEMAN ,2088,1542,105,429,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDIN ,27693,24547,1752,1130,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARRIS ,2055054,692024,410933,812700,139397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARRISON ,33407,21832,7855,3363,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARTLEY ,2362,1883,6,442,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HASKELL ,2795,2030,79,664,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAYS ,78852,47043,2555,27805,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEMPHILL ,1879,1357,2,499,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENDERSON ,40064,32950,2576,4100,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIDALGO ,397825,30355,1022,362088,4360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILL ,17881,13392,1247,3062,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOCKLEY ,11638,6076,428,5042,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOOD ,26001,23074,125,2435,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPKINS ,17740,13686,1366,2462,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUSTON ,10963,7287,2716,813,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOWARD ,15292,8826,627,5594,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUDSPETH ,1726,301,12,1398,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNT ,43429,33173,3828,5517,911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUTCHINSON ,11073,8431,278,2141,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRION ,792,574,5,200,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACK ,4014,3433,42,502,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACKSON ,7128,4564,511,2002,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASPER ,18167,13877,3198,874,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEFF DAVIS ,1155,749,7,392,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEFFERSON ,123327,56636,43534,18511,4646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIM HOGG ,2684,168,3,2500,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIM WELLS ,20731,4117,63,16405,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOHNSON ,75415,59246,1982,12918,1269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JONES ,7819,5802,321,1610,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNES ,5982,2747,101,3075,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAUFMAN ,52539,37239,5838,8573,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENDALL ,17111,13475,69,3349,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENEDY ,204,46,2,152,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENT ,416,353,4,56,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KERR ,25557,18940,352,5896,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIMBLE ,2326,1773,4,527,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KING ,145,130,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINNEY ,1643,757,18,851,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEBERG ,15724,3581,474,11312,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNOX ,1884,1208,124,542,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMAR ,25749,19884,3767,1562,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMB ,7013,3134,288,3542,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMPASAS ,9972,7700,325,1684,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA SALLE ,2797,438,1,2345,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
