county,prenatal_percent_2010_2014,Border Status
PECOS,64.2,Border
TOM GREEN,64.2,Non-Border
MILLS,64.1,Non-Border
EL PASO,64,Border
GUADALUPE,64,Non-Border
MCLENNAN,64,Non-Border
MILAM,64,Non-Border
MONTGOMERY,64,Non-Border
RED RIVER,64,Non-Border
UVALDE,64,Border
KARNES,63.9,Non-Border
HAMILTON,63.8,Non-Border
LAMAR,63.8,Non-Border
MENARD,63.8,Non-Border
JONES,63.6,Non-Border
TYLER,63.4,Non-Border
GRAY,63,Non-Border
HEMPHILL,63,Non-Border
LA SALLE,63,Border
NEWTON,63,Non-Border
RUNNELS,63,Non-Border
SAN SABA,63,Non-Border
SCHLEICHER,63,Non-Border
RAINS,62.9,Non-Border
CHILDRESS,62.8,Non-Border
DALLAM,62.7,Non-Border
HOWARD,62.6,Non-Border
JEFF DAVIS,62.5,Border
ANDERSON,62.2,Non-Border
EASTLAND,62,Non-Border
HILL,62,Non-Border
HOUSTON,62,Non-Border
MASON,62,Non-Border
MONTAGUE,62,Non-Border
NACOGDOCHES,62,Non-Border
SABINE,62,Non-Border
KAUFMAN,61.7,Non-Border
LEON,61.7,Non-Border
LYNN,61.7,Non-Border
COLEMAN,61.6,Non-Border
COLORADO,61.6,Non-Border
GRIMES,61.6,Non-Border
ANGELINA,61.5,Non-Border
HALE,61.2,Non-Border
RUSK,61.2,Non-Border
WISE,61.2,Non-Border
BURLESON,61,Non-Border
CALDWELL,61,Non-Border
COMANCHE,61,Non-Border
DAWSON,61,Non-Border
ELLIS,61,Non-Border
ERATH,61,Non-Border
GILLESPIE,61,Non-Border
HARRIS,61,Non-Border
KENT,61,Non-Border
KINNEY,61,Border
MADISON,61,Non-Border
MORRIS,61,Non-Border
SHERMAN,61,Non-Border
COMAL,60.6,Non-Border
PANOLA,60.5,Non-Border
CULBERSON,60,Border
DALLAS,60,Non-Border
SAN AUGUSTINE,60,Non-Border
UPSHUR,60,Non-Border
MITCHELL,59.8,Non-Border
WOOD,59.8,Non-Border
BANDERA,59.7,Non-Border
WHARTON,59.6,Non-Border
WHEELER,59.5,Non-Border
CAMP,59.4,Non-Border
CONCHO,59.1,Non-Border
CROSBY,59.1,Non-Border
BLANCO,59,Non-Border
BOSQUE,59,Non-Border
COKE,59,Non-Border
COOKE,59,Non-Border
FANNIN,59,Non-Border
GRAYSON,59,Non-Border
HARRISON,59,Non-Border
TARRANT,59,Non-Border
WASHINGTON,59,Non-Border
HOCKLEY,58.6,Non-Border
DUVAL,58.5,Border
POLK,58.5,Non-Border
ARANSAS,58.4,Non-Border
ROBERTSON,58.3,Non-Border
HALL,58.1,Non-Border
DEAF SMITH,58,Non-Border
IRION,58,Non-Border
POTTER,58,Non-Border
SHELBY,58,Non-Border
YOAKUM,57.9,Non-Border
AUSTIN,57.8,Non-Border
SWISHER,57.7,Non-Border
FREESTONE,57.6,Non-Border
VAN ZANDT,57.3,Non-Border
STARR,57.2,Border
BOWIE,57,Non-Border
FLOYD,57,Non-Border
HASKELL,57,Non-Border
HENDERSON,57,Non-Border
MARION,57,Non-Border
MARTIN,56.8,Non-Border
CASTRO,56,Non-Border
DONLEY,56,Non-Border
GREGG,56,Non-Border
HANSFORD,56,Non-Border
HUNT,56,Non-Border
TITUS,56,Non-Border
GARZA,55.8,Non-Border
HARDEMAN,55.3,Non-Border
CASS,55,Non-Border
LAMB,55,Non-Border
REAGAN,55,Non-Border
SAN JACINTO,55,Non-Border
FRIO,54.4,Border
COLLINGSWORTH,54.1,Non-Border
BRISCOE,54,Non-Border
CHEROKEE,54,Non-Border
KIMBLE,54,Non-Border
LIMESTONE,54,Non-Border
MATAGORDA,54,Non-Border
MOTLEY,54,Non-Border
PARMER,54,Non-Border
OCHILTREE,53,Non-Border
SMITH,53,Non-Border
REAL,52.8,Border
BROOKS,52.4,Border
FALLS,52.3,Non-Border
SUTTON,52.3,Border
HUDSPETH,52,Border
MOORE,52,Non-Border
COCHRAN,51.3,Non-Border
CROCKETT,51,Border
PRESIDIO,51,Border
LIBERTY,50.7,Non-Border
LIPSCOMB,50,Non-Border
TERRY,49.2,Non-Border
EDWARDS,49.1,Border
NAVARRO,49,Non-Border
KERR,48.9,Non-Border
GAINES,48,Non-Border
GONZALES,48,Non-Border
SCURRY,47,Non-Border
DICKENS,46.5,Non-Border
BAILEY,44.7,Non-Border
VAL VERDE,42,Border
