county,white_percent,white_number,black_percent,black_number,hispanic_percent,hispanic_number,other_percent,other_number,geo,county2,county2_2,Urbanization Status,Border Status,county22
Foard,81.6,31,*,**,*,10,--,0,0500000US48155,Foard,FOARD,Rural,Non-Border,FOARD
Fort Bend,75.1,"10,008",53.7,"4,386",59.4,"6,695",67,"6,005",0500000US48157,Fort Bend,FORT BEND,Urban,Non-Border,FORT BEND
Franklin,68.7,277,*,12,39.2,40,*,**,0500000US48159,Franklin,FRANKLIN,Rural,Non-Border,FRANKLIN
Freestone,67,404,53.5,83,41.4,116,*,10,0500000US48161,Freestone,FREESTONE,Rural,Non-Border,FREESTONE
Frio,56.5,109,*,**,47.1,463,*,**,0500000US48163,Frio,FRIO,Rural,Border,FRIO
Gaines,49.1,532,*,10,45.6,356,*,13,0500000US48165,Gaines,GAINES,Rural,Non-Border,GAINES
Galveston Cnty,63.5,"6,802",56.3,"1,479",61.7,"3,448",59.4,542,0500000US48167,Galveston Cnty,GALVESTON,Urban,Non-Border,GALVESTON
Garza,65,89,*,13,44.2,68,*,**,0500000US48169,Garza,GARZA,Rural,Non-Border,GARZA
Gillespie,68.2,476,*,**,46.8,234,*,**,0500000US48171,Gillespie,GILLESPIE,Rural,Non-Border,GILLESPIE
Glasscock,75.6,34,--,0,*,**,*,**,0500000US48173,Glasscock,GLASSCOCK,Rural,Non-Border,GLASSCOCK
Goliad,77.8,130,*,**,65.5,91,*,**,0500000US48175,Goliad,GOLIAD,Urban,Non-Border,GOLIAD
Gonzales,65.1,293,55.2,37,40.9,387,*,11,0500000US48177,Gonzales,GONZALES,Rural,Non-Border,GONZALES
Gray,66.3,641,68.8,22,58.6,378,*,14,0500000US48179,Gray,GRAY,Rural,Non-Border,GRAY
Grayson,64.2,"3,290",51.8,234,39.8,643,52.3,170,0500000US48181,Grayson,GRAYSON,Urban,Non-Border,GRAYSON
Gregg,61,"2,740",47.9,962,45.7,"1,204",53.8,163,0500000US48183,Gregg,GREGG,Urban,Non-Border,GREGG
Grimes,64.4,471,57.2,95,55.5,242,*,10,0500000US48185,Grimes,GRIMES,Rural,Non-Border,GRIMES
Guadalupe,70.2,"2,869",62.5,223,54.5,"1,945",60.2,160,0500000US48187,Guadalupe,GUADALUPE,Urban,Non-Border,GUADALUPE
Hale,67.8,447,58.1,50,57.9,"1,023",63.4,26,0500000US48189,Hale,HALE,Rural,Non-Border,HALE
Hall,69,40,*,12,51.9,40,--,0,0500000US48191,Hall,HALL,Rural,Non-Border,HALL
Hamilton,69.9,239,--,0,46.1,41,*,**,0500000US48193,Hamilton,HAMILTON,Rural,Non-Border,HAMILTON
Hansford,74.2,112,--,0,45.3,107,*,**,0500000US48195,Hansford,HANSFORD,Rural,Non-Border,HANSFORD
Hardeman,58.9,73,*,**,49.3,37,*,**,0500000US48197,Hardeman,HARDEMAN,Rural,Non-Border,HARDEMAN
Hardin,70.6,"2,033",55.5,117,63.1,111,72.7,56,0500000US48199,Hardin,HARDIN,Urban,Non-Border,HARDIN
Harris,69.5,"54,571",52.5,"30,492",54.4,"87,842",63.5,"17,436",0500000US48201,Harris,HARRIS,Urban,Non-Border,HARRIS
