county,Urbanization Status,Border Status,geo,geo_two,GISJOIN
HUNT,Urban,Non-Border,0500000US48231,48231,G4802310
HUTCHINSON,Rural,Non-Border,0500000US48233,48233,G4802330
IRION,Urban,Non-Border,0500000US48235,48235,G4802350
JACK,Rural,Non-Border,0500000US48237,48237,G4802370
JACKSON,Rural,Non-Border,0500000US48239,48239,G4802390
JASPER,Rural,Non-Border,0500000US48241,48241,G4802410
JEFF DAVIS,Rural,Border,0500000US48243,48243,G4802430
JEFFERSON,Urban,Non-Border,0500000US48245,48245,G4802450
JIM HOGG,Rural,Border,0500000US48247,48247,G4802470
JIM WELLS,Rural,Non-Border,0500000US48249,48249,G4802490
JOHNSON,Urban,Non-Border,0500000US48251,48251,G4802510
JONES,Urban,Non-Border,0500000US48253,48253,G4802530
KARNES,Rural,Non-Border,0500000US48255,48255,G4802550
KAUFMAN,Urban,Non-Border,0500000US48257,48257,G4802570
KENDALL,Urban,Non-Border,0500000US48259,48259,G4802590
KENEDY,Rural,Border,0500000US48261,48261,G4802610
KENT,Rural,Non-Border,0500000US48263,48263,G4802630
KERR,Rural,Non-Border,0500000US48265,48265,G4802650
KIMBLE,Rural,Non-Border,0500000US48267,48267,G4802670
KING,Rural,Non-Border,0500000US48269,48269,G4802690
KINNEY,Rural,Border,0500000US48271,48271,G4802710
KLEBERG,Rural,Non-Border,0500000US48273,48273,G4802730
KNOX,Rural,Non-Border,0500000US48275,48275,G4802750
LA SALLE,Rural,Border,0500000US48283,48283,G4802830
LAMAR,Rural,Non-Border,0500000US48277,48277,G4802770
LAMB,Rural,Non-Border,0500000US48279,48279,G4802790
LAMPASAS,Urban,Non-Border,0500000US48281,48281,G4802810
LAVACA,Rural,Non-Border,0500000US48285,48285,G4802850
LEE,Rural,Non-Border,0500000US48287,48287,G4802870
LEON,Rural,Non-Border,0500000US48289,48289,G4802890
LIBERTY,Urban,Non-Border,0500000US48291,48291,G4802910
LIMESTONE,Rural,Non-Border,0500000US48293,48293,G4802930
LIPSCOMB,Rural,Non-Border,0500000US48295,48295,G4802950
LIVE OAK,Rural,Non-Border,0500000US48297,48297,G4802970
LLANO,Rural,Non-Border,0500000US48299,48299,G4802990
LOVING,Rural,Non-Border,0500000US48301,48301,G4803010
LUBBOCK,Urban,Non-Border,0500000US48303,48303,G4803030
LYNN,Urban,Non-Border,0500000US48305,48305,G4803050
MADISON,Rural,Non-Border,0500000US48313,48313,G4803130
MARION,Rural,Non-Border,0500000US48315,48315,G4803150
MARTIN,Urban,Non-Border,0500000US48317,48317,G4803170
MASON,Rural,Non-Border,0500000US48319,48319,G4803190
MATAGORDA,Rural,Non-Border,0500000US48321,48321,G4803210
MAVERICK,Rural,Border,0500000US48323,48323,G4803230
MCCULLOCH,Rural,Non-Border,0500000US48307,48307,G4803070
MCLENNAN,Urban,Non-Border,0500000US48309,48309,G4803090
MCMULLEN,Rural,Border,0500000US48311,48311,G4803110
MEDINA,Urban,Non-Border,0500000US48325,48325,G4803250
MENARD,Rural,Non-Border,0500000US48327,48327,G4803270
MIDLAND,Urban,Non-Border,0500000US48329,48329,G4803290
MILAM,Rural,Non-Border,0500000US48331,48331,G4803310
MILLS,Rural,Non-Border,0500000US48333,48333,G4803330
MITCHELL,Rural,Non-Border,0500000US48335,48335,G4803350
MONTAGUE,Rural,Non-Border,0500000US48337,48337,G4803370
MONTGOMERY,Urban,Non-Border,0500000US48339,48339,G4803390
MOORE,Rural,Non-Border,0500000US48341,48341,G4803410
MORRIS,Rural,Non-Border,0500000US48343,48343,G4803430
MOTLEY,Rural,Non-Border,0500000US48345,48345,G4803450
NACOGDOCHES,Rural,Non-Border,0500000US48347,48347,G4803470
NAVARRO,Rural,Non-Border,0500000US48349,48349,G4803490
NEWTON,Urban,Non-Border,0500000US48351,48351,G4803510
NOLAN,Rural,Non-Border,0500000US48353,48353,G4803530
NUECES,Urban,Non-Border,0500000US48355,48355,G4803550
OCHILTREE,Rural,Non-Border,0500000US48357,48357,G4803570
OLDHAM,Urban,Non-Border,0500000US48359,48359,G4803590
ORANGE,Urban,Non-Border,0500000US48361,48361,G4803610
PALO PINTO,Rural,Non-Border,0500000US48363,48363,G4803630
PANOLA,Rural,Non-Border,0500000US48365,48365,G4803650
PARKER,Urban,Non-Border,0500000US48367,48367,G4803670
PARMER,Rural,Non-Border,0500000US48369,48369,G4803690
PECOS,Rural,Border,0500000US48371,48371,G4803710
POLK,Rural,Non-Border,0500000US48373,48373,G4803730
POTTER,Urban,Non-Border,0500000US48375,48375,G4803750
PRESIDIO,Rural,Border,0500000US48377,48377,G4803770
RAINS,Rural,Non-Border,0500000US48379,48379,G4803790
RANDALL,Urban,Non-Border,0500000US48381,48381,G4803810
REAGAN,Rural,Non-Border,0500000US48383,48383,G4803830
REAL,Rural,Border,0500000US48385,48385,G4803850
RED RIVER,Rural,Non-Border,0500000US48387,48387,G4803870
REEVES,Rural,Border,0500000US48389,48389,G4803890
REFUGIO,Rural,Non-Border,0500000US48391,48391,G4803910
ROBERTS,Rural,Non-Border,0500000US48393,48393,G4803930
ROBERTSON,Urban,Non-Border,0500000US48395,48395,G4803950
ROCKWALL,Urban,Non-Border,0500000US48397,48397,G4803970
RUNNELS,Rural,Non-Border,0500000US48399,48399,G4803990
RUSK,Urban,Non-Border,0500000US48401,48401,G4804010
SABINE,Rural,Non-Border,0500000US48403,48403,G4804030
SAN AUGUSTINE,Rural,Non-Border,0500000US48405,48405,G4804050
SAN JACINTO,Rural,Non-Border,0500000US48407,48407,G4804070
SAN PATRICIO,Urban,Non-Border,0500000US48409,48409,G4804090
SAN SABA,Rural,Non-Border,0500000US48411,48411,G4804110
SCHLEICHER,Rural,Non-Border,0500000US48413,48413,G4804130
SCURRY,Rural,Non-Border,0500000US48415,48415,G4804150
SHACKELFORD,Rural,Non-Border,0500000US48417,48417,G4804170
SHELBY,Rural,Non-Border,0500000US48419,48419,G4804190
SHERMAN,Rural,Non-Border,0500000US48421,48421,G4804210
SMITH,Urban,Non-Border,0500000US48423,48423,G4804230
SOMERVELL,Urban,Non-Border,0500000US48425,48425,G4804250
STARR,Rural,Border,0500000US48427,48427,G4804270
STEPHENS,Rural,Non-Border,0500000US48429,48429,G4804290
STERLING,Rural,Non-Border,0500000US48431,48431,G4804310
STONEWALL,Rural,Non-Border,0500000US48433,48433,G4804330
SUTTON,Rural,Border,0500000US48435,48435,G4804350
SWISHER,Rural,Non-Border,0500000US48437,48437,G4804370
TARRANT,Urban,Non-Border,0500000US48439,48439,G4804390
TAYLOR,Urban,Non-Border,0500000US48441,48441,G4804410
TERRELL,Rural,Border,0500000US48443,48443,G4804430
TERRY,Rural,Non-Border,0500000US48445,48445,G4804450
THROCKMORTON,Rural,Non-Border,0500000US48447,48447,G4804470
TITUS,Rural,Non-Border,0500000US48449,48449,G4804490
TOM GREEN,Urban,Non-Border,0500000US48451,48451,G4804510
TRAVIS,Urban,Non-Border,0500000US48453,48453,G4804530
TRINITY,Rural,Non-Border,0500000US48455,48455,G4804550
TYLER,Rural,Non-Border,0500000US48457,48457,G4804570
UPSHUR,Urban,Non-Border,0500000US48459,48459,G4804590
UPTON,Rural,Non-Border,0500000US48461,48461,G4804610
UVALDE,Rural,Border,0500000US48463,48463,G4804630
