county,births_2010,deaths_2010,rate_2010,geo,births_2011,deaths_2011,rate_2011,births_2012,deaths_2012,rate_2012,births_2013,deaths_2013,rate_2013,births_2014,deaths_2014,rate_2014
KENEDY,3,0,- ,0500000US48261,3,0,-,6,0,- ,5,0,- ,5,0,-
KENT,7,0,- ,0500000US48263,5,0,-,9,0,- ,12,0,- ,11,0,-
KERR,519,0,- ,0500000US48265,474,0,-,494,0,- ,496,0,- ,545,1,1.8
KIMBLE,39,0,- ,0500000US48267,40,0,-,43,0,- ,41,0,- ,46,0,-
KING,3,0,- ,0500000US48269,6,0,-,1,0,- ,0,0,- ,1,0,-
KINNEY,30,0,- ,0500000US48271,38,0,-,35,0,- ,33,0,- ,25,0,-
KLEBERG,480,0,- ,0500000US48273,473,1,2.1,481,0,- ,498,0,- ,479,1,2.1
KNOX,48,0,- ,0500000US48275,48,0,-,53,0,- ,47,0,- ,69,0,-
LAMAR,657,0,- ,0500000US48277,667,0,-,647,0,- ,652,1,1.5,722,0,-
LAMB,219,0,- ,0500000US48279,217,0,-,179,0,- ,196,0,- ,200,1,5.0
LAMPASAS,244,0,- ,0500000US48281,227,0,-,216,0,- ,254,0,- ,248,0,-
LA SALLE,91,0,- ,0500000US48283,95,0,-,103,0,- ,99,0,- ,104,0,-
LAVACA,203,0,- ,0500000US48285,213,0,-,237,0,- ,198,1,5.1,242,0,-
LEE,208,0,- ,0500000US48287,179,0,-,197,0,- ,182,0,- ,225,0,-
LEON,209,0,- ,0500000US48289,195,1,5.1,238,0,- ,196,0,- ,205,0,-
LIBERTY,1064,0,- ,0500000US48291,985,0,-,1052,1,1,1078,0,- ,1082,1,0.9
LIMESTONE,302,0,- ,0500000US48293,312,0,-,321,1,3.1,275,0,- ,342,0,-
LIPSCOMB,61,0,- ,0500000US48295,44,0,-,35,0,- ,52,0,- ,43,0,-
LIVE OAK,115,0,- ,0500000US48297,123,0,-,130,0,- ,116,0,- ,138,0,-
LLANO,158,0,- ,0500000US48299,141,0,-,161,0,- ,162,0,- ,161,0,-
LOVING,0,0,- ,0500000US48301,0,0,-,0,0,- ,0,0,- ,0,0,-
LUBBOCK,4102,1,0.2,0500000US48303,3881,0,-,3927,0,- ,4127,1,0.2,4237,1,0.2
LYNN,71,0,- ,0500000US48305,80,0,-,80,0,- ,80,0,- ,64,0,-
MCCULLOCH,105,0,- ,0500000US48307,107,1,9.3,,,,,,,83,0,-
MCLENNAN,3470,1,0.3,0500000US48309,3442,2,0.6,,,,,,,3618,1,0.3
MCMULLEN,6,0,- ,0500000US48311,10,0,-,,,,,,,,,
MADISON,165,0,- ,0500000US48313,142,0,-,160,0,- ,150,1,6.7,166,0,-
MARION,99,0,- ,0500000US48315,91,0,-,110,0,- ,105,0,- ,87,0,-
MARTIN,83,0,- ,0500000US48317,75,0,-,87,0,- ,99,1,10.1,119,0,-
MASON,31,0,- ,0500000US48319,40,0,-,41,0,- ,38,0,- ,28,0,-
MATAGORDA,538,1,1.9,0500000US48321,531,0,-,498,1,2,522,0,- ,572,0,-
MAVERICK,1009,0,- ,0500000US48323,1042,0,-,1101,0,- ,1093,1,0.9,1171,1,0.9
MEDINA,545,0,- ,0500000US48325,498,0,-,503,1,2,528,1,1.9,602,0,-
MENARD,12,0,- ,0500000US48327,14,0,-,21,0,- ,24,0,- ,23,0,-
MIDLAND,2264,1,0.4,0500000US48329,2309,0,-,2510,0,- ,2702,1,0.4,2826,0,-
MILAM,300,0,- ,0500000US48331,306,0,-,312,0,- ,302,1,3.3,332,1,3.0
MILLS,52,0,- ,0500000US48333,41,0,-,38,0,- ,49,0,- ,58,0,-
MITCHELL,100,0,- ,0500000US48335,107,0,-,102,0,- ,96,0,- ,93,0,-
MONTAGUE,269,0,- ,0500000US48337,216,0,-,233,0,- ,222,0,- ,220,0,-
MONTGOMERY,6399,1,0.2,0500000US48339,6358,4,0.6,6382,1,0.2,6624,2,0.3,6971,2,0.3
MOORE,396,1,2.5,0500000US48341,401,1,2.5,414,0,- ,439,0,- ,421,0,-
MORRIS,154,0,- ,0500000US48343,161,0,-,165,0,- ,157,0,- ,143,0,-
MOTLEY,11,0,- ,0500000US48345,7,0,-,11,0,- ,9,0,- ,4,0,-
NACOGDOCHES,943,0,- ,0500000US48347,913,0,-,897,0,- ,881,0,- ,886,0,-
NAVARRO,676,0,- ,0500000US48349,672,0,-,706,0,- ,676,1,1.5,768,2,2.6
NEWTON,143,0,- ,0500000US48351,150,0,-,138,1,7.2,143,0,- ,147,0,-
NOLAN,199,0,- ,0500000US48353,186,0,-,190,0,- ,220,0,- ,232,0,-
NUECES,4716,1,0.2,0500000US48355,4635,0,-,4810,2,0.4,4949,2,0.4,5170,3,0.6
OCHILTREE,161,0,- ,0500000US48357,184,0,-,168,0,- ,181,0,- ,207,0,-
OLDHAM,18,0,- ,0500000US48359,20,0,-,18,0,- ,31,0,- ,22,0,-
ORANGE,1032,1,1,0500000US48361,1019,0,-,1103,0,- ,1156,1,0.9,1184,0,-
PALO PINTO,363,0,- ,0500000US48363,368,1,2.7,378,0,- ,377,0,- ,361,1,2.8
PANOLA,253,0,- ,0500000US48365,338,0,-,279,0,- ,305,1,3.3,293,0,-
PARKER,1307,0,- ,0500000US48367,1297,0,-,1345,1,0.7,1285,3,2.3,1422,1,0.7
PARMER,137,0,- ,0500000US48369,167,0,-,150,0,- ,157,0,- ,144,0,-
PECOS,218,0,- ,0500000US48371,230,0,-,207,0,- ,240,0,- ,227,0,-
POLK,494,0,- ,0500000US48373,478,0,-,495,0,- ,523,0,- ,476,0,-
POTTER,2086,0,- ,0500000US48375,2026,0,-,2101,0,- ,2072,0,- ,2071,1,0.5
PRESIDIO,135,0,- ,0500000US48377,109,0,-,106,0,- ,131,0,- ,143,0,-
RAINS,102,0,- ,0500000US48379,100,0,-,112,0,- ,92,0,- ,87,0,-
RANDALL,1551,1,0.6,0500000US48381,1649,0,-,1618,0,- ,1690,1,0.6,1762,0,-
REAGAN,52,0,- ,0500000US48383,50,0,-,51,0,- ,82,0,- ,47,0,-
REAL,37,0,- ,0500000US48385,34,0,-,31,0,- ,32,1,31.3,36,0,-
RED RIVER,139,1,7.2,0500000US48387,124,0,-,130,1,7.7,157,0,- ,127,0,-
REEVES,165,0,- ,0500000US48389,155,0,-,164,0,- ,194,0,- ,201,0,-
REFUGIO,86,0,- ,0500000US48391,94,0,-,87,0,- ,77,0,- ,93,0,-
ROBERTS,14,0,- ,0500000US48393,12,0,-,8,0,- ,9,0,- ,9,0,-
ROBERTSON,205,0,- ,0500000US48395,215,0,-,194,0,- ,207,0,- ,235,0,-
ROCKWALL,941,0,- ,0500000US48397,972,1,1,966,0,- ,975,0,- ,985,0,-
