county,births_2010,deaths_2010,rate_2010,geo,births_2011,deaths_2011,rate_2011,births_2012,deaths_2012,rate_2012,births_2013,deaths_2013,rate_2013,births_2014,deaths_2014,rate_2014,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014,births_2010_2014,deaths_2010_2014,rate_2010_2014,race_female_total_2010_2014,race_female_white_2010_2014,race_female_white_perc_2010_2014,race_female_black_2010_2014,race_female_black_perc_2010_2014,race_female_hispanic_2010_2014,race_female_hispanic_perc_2010_2014,race_female_other_2010_2014,race_female_other_perc_2010_2014,prenatal_percent_2010_2014,Border Status,geo_two,GISJOIN
FAYETTE,240,0,- ,0500000US48149,251,0,-,218,0,- ,245,0,- ,243,0,-,12473,9269,902,2218,84,12860,9467,859,2350,184,12975,9511,866,2409,189,12561,9118,823,2435,185,12473,9269,902,2218,84,1197,0,0,63342,46634,73.62,4352,6.87,11630,18.36,726,1.15,70.8,Non-Border,48149,G4801490
FISHER,46,0,- ,0500000US48151,37,0,-,32,0,- ,29,0,- ,51,0,-,2016,1441,71,492,12,1998,1412,69,491,26,1999,1406,70,497,26,1954,1364,65,501,24,2016,1441,71,492,12,195,0,0,9983,7064,70.76,346,3.47,2473,24.77,100,1.00,71,Non-Border,48151,G4801510
FLOYD,96,0,- ,0500000US48153,81,0,-,90,0,- ,81,0,- ,67,0,-,3270,1445,116,1694,15,3266,1416,101,1721,28,3280,1400,101,1749,30,3163,1335,105,1695,28,3270,1445,116,1694,15,415,0,0,16249,7041,43.33,539,3.32,8553,52.64,116,0.71,57,Non-Border,48153,G4801530
FOARD,13,0,- ,0500000US48155,13,0,-,18,0,- ,11,0,- ,7,0,-,699,572,30,93,4,704,573,28,98,5,706,572,28,101,5,674,535,33,101,5,699,572,30,93,4,62,0,0,3482,2824,81.10,149,4.28,486,13.96,23,0.66,71.2,Non-Border,48155,G4801550
FORT BEND,7840,3,0.4,0500000US48157,7718,1,0.1,8136,3,0.4,8532,4,0.5,9314,2,0.2,298007,108519,66866,69684,52938,309523,107933,67991,73649,59950,317979,110544,69748,75968,61719,332137,111261,73102,81287,66487,298007,108519,66866,69684,52938,41540,13,31.30,1555653,546776,35.15,344573,22.15,370272,23.80,294032,18.90,67,Non-Border,48157,G4801570
FRANKLIN,108,0,- ,0500000US48159,114,0,-,95,0,- ,117,0,- ,92,0,-,5390,4470,238,612,70,5396,4404,205,630,157,5406,4401,206,640,159,5298,4256,206,679,157,5390,4470,238,612,70,526,0,0,26880,22001,81.85,1093,4.07,3173,11.80,613,2.28,65.1,Non-Border,48159,G4801590
FREESTONE,213,0,- ,0500000US48161,238,1,4.2,235,0,- ,214,0,- ,204,0,-,9379,6771,1434,1103,71,9468,6744,1434,1148,142,9542,6771,1441,1187,143,9504,6717,1434,1202,151,9379,6771,1434,1103,71,1104,1,90.58,47272,33774,71.45,7177,15.18,5743,12.15,578,1.22,57.6,Non-Border,48161,G4801610
FRIO,245,0,- ,0500000US48163,235,0,-,256,0,- ,263,0,- ,273,1,3.7,7185,1319,35,5771,60,7364,1316,30,5927,91,7514,1330,30,6060,94,7573,1351,34,6105,83,7185,1319,35,5771,60,1272,1,78.62,36821,6635,18.02,164,0.45,29634,80.48,388,1.05,54.4,Border,48163,G4801630
GAINES,345,0,- ,0500000US48165,364,0,-,348,0,- ,394,0,- ,407,0,-,8728,5432,136,3119,41,8902,5462,133,3201,106,9021,5515,134,3264,108,9386,5776,138,3358,114,8728,5432,136,3119,41,1858,0,0,44765,27617,61.69,677,1.51,16061,35.88,410,0.92,48,Non-Border,48165,G4801650
GALVESTON,3945,1,0.3,0500000US48167,3897,1,0.3,3895,2,0.5,3960,0,- ,4133,1,0.2,147075,87947,21407,32265,5456,149412,87444,20794,33458,7716,151714,88552,21047,34239,7876,153659,88465,20965,35707,8522,147075,87947,21407,32265,5456,19830,5,25.21,748935,440355,58.80,105620,14.10,167934,22.42,35026,4.68,67,Non-Border,48167,G4801670
GARZA,79,0,- ,0500000US48169,68,0,-,50,0,- ,65,0,- ,63,0,-,2369,1310,132,902,25,2399,1312,123,922,42,2404,1302,126,933,43,2406,1295,120,951,40,2369,1310,132,902,25,325,0,0,11947,6529,54.65,633,5.30,4610,38.59,175,1.46,55.8,Non-Border,48169,G4801690
GILLESPIE,261,0,- ,0500000US48171,233,0,-,245,0,- ,241,0,- ,256,1,3.9,12869,10358,29,2369,113,13044,10364,26,2471,183,13205,10423,26,2569,187,13306,10502,21,2588,195,12869,10358,29,2369,113,1236,1,80.91,65293,52005,79.65,131,0.20,12366,18.94,791,1.21,61,Non-Border,48171,G4801710
GLASSCOCK,12,0,- ,0500000US48173,16,0,-,12,0,- ,13,0,- ,16,0,-,577,389,8,177,3,584,395,7,180,2,586,396,7,181,2,591,398,6,183,4,577,389,8,177,3,69,0,0,2915,1967,67.48,36,1.23,898,30.81,14,0.48,77.6,Non-Border,48173,G4801730
GOLIAD,72,0,- ,0500000US48175,57,0,-,68,0,- ,61,0,- ,76,0,-,3614,2200,165,1229,20,3659,2208,169,1241,41,3711,2233,167,1270,41,3747,2230,158,1313,46,3614,2200,165,1229,20,334,0,0,18345,11071,60.35,824,4.49,6282,34.24,168,0.92,74.5,Non-Border,48175,G4801750
GONZALES,292,0,- ,0500000US48177,278,1,3.6,271,0,- ,281,0,- ,320,1,3.1,9848,4587,675,4505,81,9974,4533,649,4652,140,10029,4519,646,4723,141,10026,4406,654,4807,159,9848,4587,675,4505,81,1442,2,138.70,49725,22632,45.51,3299,6.63,23192,46.64,602,1.21,48,Non-Border,48177,G4801770
GRAY,318,0,- ,0500000US48179,327,0,-,346,0,- ,343,1,2.9,340,0,-,10832,7977,329,2394,132,10917,7821,283,2517,296,10983,7821,284,2581,297,11034,7690,296,2743,305,10832,7977,329,2394,132,1674,1,59.74,54598,39286,71.96,1521,2.79,12629,23.13,1162,2.13,63,Non-Border,48179,G4801790
GRAYSON,1523,0,- ,0500000US48181,1476,0,-,1500,0,- ,1509,1,0.7,1562,1,0.6,61960,49801,4011,6633,1515,62350,48928,3625,6978,2819,62572,48916,3649,7150,2857,62948,48786,3585,7575,3002,61960,49801,4011,6633,1515,7570,2,26.42,311790,246232,78.97,18881,6.06,34969,11.22,11708,3.76,59,Non-Border,48181,G4801810
GREGG,1940,1,0.5,0500000US48183,1910,1,0.5,1939,0,- ,1876,0,- ,1962,0,-,62262,38731,13216,9283,1032,62900,38236,12869,9857,1938,63364,38273,12990,10127,1974,63539,37696,12948,10807,2088,62262,38731,13216,9283,1032,9627,2,20.77,314327,191667,60.98,65239,20.76,49357,15.70,8064,2.57,56,Non-Border,48183,G4801830
GRIMES,324,1,3.1,0500000US48185,288,0,-,292,0,- ,326,0,- ,338,0,-,12117,7711,1856,2466,84,12308,7685,1818,2569,236,12437,7742,1820,2634,241,12432,7609,1834,2742,247,12117,7711,1856,2466,84,1568,1,63.78,61411,38458,62.62,9184,14.95,12877,20.97,892,1.45,61.6,Non-Border,48185,G4801850
GUADALUPE,1683,0,- ,0500000US48187,1619,0,-,1763,0,- ,1728,0,- ,1786,0,-,66771,37112,4357,23685,1617,69057,37426,4132,24761,2738,70730,38218,4223,25484,2805,73183,39346,4374,26488,2975,66771,37112,4357,23685,1617,8579,0,0,346512,189214,54.61,21443,6.19,124103,35.81,11752,3.39,64,Non-Border,48187,G4801870
HALE,619,0,- ,0500000US48189,561,0,-,537,0,- ,515,0,- ,464,0,-,17536,6823,717,9833,163,17709,6706,670,10052,281,17719,6629,669,10142,279,17171,6307,660,9924,280,17536,6823,717,9833,163,2696,0,0,87671,33288,37.97,3433,3.92,49784,56.79,1166,1.33,61.2,Non-Border,48189,G4801890
HALL,32,0,- ,0500000US48191,40,0,-,33,0,- ,31,0,- ,34,0,-,1696,1049,106,529,12,1729,1047,107,551,24,1741,1043,109,564,25,1680,1002,105,555,18,1696,1049,106,529,12,170,0,0,8542,5190,60.76,533,6.24,2728,31.94,91,1.07,58.1,Non-Border,48191,G4801910
HAMILTON,86,0,- ,0500000US48193,99,0,-,96,0,- ,81,0,- ,84,0,-,4322,3866,13,406,37,4329,3854,13,413,49,4358,3870,13,427,48,4251,3755,11,426,59,4322,3866,13,406,37,446,0,0,21582,19211,89.01,63,0.29,2078,9.63,230,1.07,63.8,Non-Border,48193,G4801930
HANSFORD,85,0,- ,0500000US48195,78,0,-,76,0,- ,82,0,- ,91,0,-,2810,1617,15,1160,18,2805,1579,14,1179,33,2816,1570,14,1199,33,2735,1504,12,1189,30,2810,1617,15,1160,18,412,0,0,13976,7887,56.43,70,0.50,5887,42.12,132,0.94,56,Non-Border,48195,G4801950
HARDEMAN,46,0,- ,0500000US48197,41,1,24.4,40,0,- ,39,0,- ,44,0,-,2088,1542,105,429,12,2049,1487,94,432,36,2063,1490,94,441,38,2004,1424,89,452,39,2088,1542,105,429,12,210,1,476.19,10292,7485,72.73,487,4.73,2183,21.21,137,1.33,55.3,Non-Border,48197,G4801970
HARDIN,720,1,1.4,0500000US48199,655,1,1.5,700,0,- ,712,1,1.4,692,0,-,27693,24547,1752,1130,264,28117,24688,1724,1195,510,28277,24810,1742,1210,515,28898,25240,1786,1317,555,27693,24547,1752,1130,264,3479,3,86.23,140678,123832,88.03,8756,6.22,5982,4.25,2108,1.50,72.8,Non-Border,48199,G4801990
HARRIS,68166,20,0.3,0500000US48201,65956,20,0.3,67354,24,0.4,68292,25,0.4,71395,21,0.3,2055054,692024,410933,812700,139397,2095946,675841,407618,844652,167835,2129930,681317,413180,864454,170979,2165229,666304,418276,899104,181545,2055054,692024,410933,812700,139397,341163,110,32.24,10501213,3407510,32.45,2060940,19.63,4233610,40.32,799153,7.61,61,Non-Border,48201,G4802010
HARRISON,868,0,- ,0500000US48203,884,0,-,823,0,- ,846,0,- ,851,1,1.2,33407,21832,7855,3363,357,33798,21784,7666,3588,760,34210,21993,7732,3694,791,33833,21486,7593,3941,813,33407,21832,7855,3363,357,4272,1,23.41,168655,108927,64.59,38701,22.95,17949,10.64,3078,1.83,59,Non-Border,48203,G4802030
HARTLEY,54,0,- ,0500000US48205,53,0,-,64,0,- ,69,0,- ,60,0,-,2362,1883,6,442,31,2361,1858,4,452,47,2390,1873,4,465,48,2374,1846,6,475,47,2362,1883,6,442,31,300,0,0,11849,9343,78.85,26,0.22,2276,19.21,204,1.72,79,Non-Border,48205,G4802050
HASKELL,46,0,- ,0500000US48207,54,0,-,45,0,- ,45,0,- ,50,0,-,2795,2030,79,664,22,2799,1998,68,680,53,2809,1992,70,694,53,2742,1935,72,690,45,2795,2030,79,664,22,240,0,0,13940,9985,71.63,368,2.64,3392,24.33,195,1.40,57,Non-Border,48207,G4802070
HAYS,2106,0,- ,0500000US48209,2057,0,-,2050,0,- ,2131,0,- ,2367,1,0.4,78852,47043,2555,27805,1449,82202,47901,2343,29400,2558,83638,48543,2379,30105,2611,88514,50782,2490,32397,2845,78852,47043,2555,27805,1449,10711,1,9.34,412058,241312,58.56,12322,2.99,147512,35.80,10912,2.65,71,Non-Border,48209,G4802090
HEMPHILL,69,0,- ,0500000US48211,69,0,-,67,0,- ,65,0,- ,66,0,-,1879,1357,2,499,21,1897,1350,2,509,36,1921,1357,2,525,37,1967,1379,2,548,38,1879,1357,2,499,21,336,0,0,9543,6800,71.26,10,0.10,2580,27.04,153,1.60,63,Non-Border,48211,G4802110
HENDERSON,934,0,- ,0500000US48213,921,0,-,886,0,- ,877,0,- ,887,0,-,40064,32950,2576,4100,438,40365,32703,2452,4294,916,40535,32740,2467,4396,932,40699,32599,2471,4620,1009,40064,32950,2576,4100,438,4505,0,0,201727,163942,81.27,12542,6.22,21510,10.66,3733,1.85,57,Non-Border,48213,G4802130
HIDALGO,16398,3,0.2,0500000US48215,16101,3,0.2,16301,4,0.2,16059,2,0.1,16325,2,0.1,397825,30355,1022,362088,4360,409575,30286,932,373281,5076,416328,30175,948,380073,5132,419004,30267,971,382345,5421,397825,30355,1022,362088,4360,81184,14,17.24,2040557,151438,7.42,4895,0.24,1859875,91.15,24349,1.19,66,Border,48215,G4802150
HILL,437,0,- ,0500000US48217,439,0,-,413,0,- ,387,0,- ,413,0,-,17881,13392,1247,3062,180,18129,13391,1179,3202,357,18219,13394,1187,3274,364,17834,13045,1160,3278,351,17881,13392,1247,3062,180,2089,0,0,89944,66614,74.06,6020,6.69,15878,17.65,1432,1.59,62,Non-Border,48217,G4802170
HOCKLEY,346,0,- ,0500000US48219,313,1,3.2,368,1,2.7,313,0,- ,310,0,-,11638,6076,428,5042,92,11661,5970,407,5126,158,11708,5954,409,5187,158,11858,5954,437,5282,185,11638,6076,428,5042,92,1650,2,121.21,58503,30030,51.33,2109,3.60,25679,43.89,685,1.17,58.6,Non-Border,48219,G4802190
HOOD,553,0,- ,0500000US48221,541,0,-,570,2,3.5,604,0,- ,578,0,-,26001,23074,125,2435,367,26442,23179,84,2562,617,26589,23264,85,2618,622,26939,23476,85,2734,644,26001,23074,125,2435,367,2846,2,70.27,131972,116067,87.95,504,0.38,12784,9.69,2617,1.98,67,Non-Border,48221,G4802210
HOPKINS,509,0,- ,0500000US48223,485,0,-,458,0,- ,428,0,- ,471,1,2.1,17740,13686,1366,2462,226,17876,13563,1266,2577,470,18091,13680,1277,2657,477,17880,13362,1270,2749,499,17740,13686,1366,2462,226,2351,1,42.54,89327,67977,76.10,6545,7.33,12907,14.45,1898,2.12,73,Non-Border,48223,G4802230
HOUSTON,250,0,- ,0500000US48225,212,0,-,254,2,7.9,237,0,- ,207,0,-,10963,7287,2716,813,147,10960,7211,2669,835,245,10998,7210,2684,855,249,10806,7056,2608,883,259,10963,7287,2716,813,147,1160,2,172.41,54690,36051,65.92,13393,24.49,4199,7.68,1047,1.91,62,Non-Border,48225,G4802250
HOWARD,454,1,2.2,0500000US48227,390,0,-,460,1,2.2,446,0,- ,518,0,-,15292,8826,627,5594,245,15342,8718,575,5683,366,15500,8761,575,5792,372,15735,8840,592,5906,397,15292,8826,627,5594,245,2268,2,88.18,77161,43971,56.99,2996,3.88,28569,37.03,1625,2.11,62.6,Non-Border,48227,G4802270
HUDSPETH,51,0,- ,0500000US48229,55,0,-,44,0,- ,40,0,- ,38,0,-,1726,301,12,1398,15,1741,288,10,1415,28,1749,282,10,1429,28,1696,283,7,1380,26,1726,301,12,1398,15,228,0,0,8638,1455,16.84,51,0.59,7020,81.27,112,1.30,52,Border,48229,G4802290
HUNT,1095,1,0.9,0500000US48231,1073,1,0.9,1060,0,- ,1073,1,0.9,1144,1,0.9,43429,33173,3828,5517,911,43964,32814,3705,5821,1624,44143,32844,3735,5923,1641,44865,32958,3787,6350,1770,43429,33173,3828,5517,911,5445,4,73.46,219830,164962,75.04,18883,8.59,29128,13.25,6857,3.12,56,Non-Border,48231,G4802310
HUTCHINSON,264,0,- ,0500000US48233,317,0,-,311,0,- ,303,0,- ,307,0,-,11073,8431,278,2141,223,11086,8266,223,2199,398,11125,8262,221,2240,402,10834,7984,226,2221,403,11073,8431,278,2141,223,1502,0,0,55191,41374,74.97,1226,2.22,10942,19.83,1649,2.99,66,Non-Border,48233,G4802330
IRION,15,0,- ,0500000US48235,18,0,-,16,0,- ,19,0,- ,14,0,-,792,574,5,200,13,806,583,3,206,14,827,598,3,211,15,856,609,5,224,18,792,574,5,200,13,82,0,0,4073,2938,72.13,21,0.52,1041,25.56,73,1.79,58,Non-Border,48235,G4802350
JACK,106,1,9.4,0500000US48237,105,0,-,89,0,- ,97,0,- ,99,0,-,4014,3433,42,502,37,4050,3423,33,520,74,4054,3413,33,532,76,4021,3382,31,544,64,4014,3433,42,502,37,496,1,201.61,20153,17084,84.77,181,0.90,2600,12.90,288,1.43,69,Non-Border,48237,G4802370
JACKSON,193,0,- ,0500000US48239,179,0,-,198,1,5.1,191,0,- ,202,0,-,7128,4564,511,2002,51,7137,4493,501,2041,102,7194,4511,505,2075,103,7330,4554,517,2156,103,7128,4564,511,2002,51,963,1,103.84,35917,22686,63.16,2545,7.09,10276,28.61,410,1.14,77,Non-Border,48239,G4802390
JASPER,480,1,2.1,0500000US48241,468,0,-,430,2,4.7,452,0,- ,395,0,-,18167,13877,3198,874,218,18247,13806,3083,902,456,18328,13851,3097,918,462,17967,13525,3034,935,473,18167,13877,3198,874,218,2225,3,134.83,90876,68936,75.86,15610,17.18,4503,4.96,1827,2.01,65.3,Non-Border,48241,G4802410
JEFF DAVIS,20,0,- ,0500000US48243,23,0,-,11,0,- ,10,0,- ,16,0,-,1155,749,7,392,7,1177,750,4,398,25,1199,763,4,406,26,1113,702,3,383,25,1155,749,7,392,7,80,0,0,5799,3713,64.03,25,0.43,1971,33.99,90,1.55,62.5,Border,48243,G4802430
JEFFERSON,3554,0,- ,0500000US48245,3436,1,0.3,3430,2,0.6,3534,1,0.3,3633,2,0.6,123327,56636,43534,18511,4646,123611,55246,42870,19381,6114,124095,55072,43083,19750,6190,123331,53206,42831,20825,6469,123327,56636,43534,18511,4646,17587,6,34.12,617691,276796,44.81,215852,34.94,96978,15.70,28065,4.54,67,Non-Border,48245,G4802450
JIM HOGG,88,0,- ,0500000US48247,93,0,-,93,0,- ,94,0,- ,93,0,-,2684,168,3,2500,13,2693,160,2,2508,23,2723,160,2,2537,24,2642,154,1,2464,23,2684,168,3,2500,13,461,0,0,13426,810,6.03,11,0.08,12509,93.17,96,0.72,79,Border,48247,G4802470
JIM WELLS,674,0,- ,0500000US48249,626,0,-,619,1,1.6,657,0,- ,730,1,1.4,20731,4117,63,16405,146,21114,4100,67,16757,190,21448,4135,69,17049,195,21160,3963,67,16931,199,20731,4117,63,16405,146,3306,2,60.50,105184,20432,19.43,329,0.31,83547,79.43,876,0.83,66,Non-Border,48249,G4802490
JOHNSON,1978,0,- ,0500000US48251,1924,4,2.1,1944,0,- ,2009,2,1.0,2022,0,-,75415,59246,1982,12918,1269,76612,58957,1766,13636,2253,77783,59697,1785,14007,2294,78702,59360,1904,14987,2451,75415,59246,1982,12918,1269,9877,6,60.75,383927,296506,77.23,9419,2.45,68466,17.83,9536,2.48,66,Non-Border,48251,G4802510
JONES,169,0,- ,0500000US48253,163,0,-,185,1,5.4,181,0,- ,185,0,-,7819,5802,321,1610,86,7876,5726,293,1676,181,7914,5740,296,1695,183,7560,5510,289,1577,184,7819,5802,321,1610,86,883,1,113.25,38988,28580,73.30,1520,3.90,8168,20.95,720,1.85,63.6,Non-Border,48253,G4802530
KARNES,145,0,- ,0500000US48255,148,0,-,166,0,- ,174,0,- ,191,0,-,5982,2747,101,3075,59,6064,2770,98,3126,70,6357,2885,104,3294,74,6100,2752,95,3176,77,5982,2747,101,3075,59,824,0,0,30485,13901,45.60,499,1.64,15746,51.65,339,1.11,63.9,Non-Border,48255,G4802550
KAUFMAN,1442,0,- ,0500000US48257,1367,0,-,1453,0,- ,1500,1,0.7,1527,0,-,52539,37239,5838,8573,889,53517,37192,5680,9052,1593,54310,37639,5756,9298,1617,55336,37800,5884,9940,1712,52539,37239,5838,8573,889,7289,1,13.72,268241,187109,69.75,28996,10.81,45436,16.94,6700,2.50,61.7,Non-Border,48257,G4802570
KENDALL,338,0,- ,0500000US48259,324,0,-,341,0,- ,316,0,- ,361,0,-,17111,13475,69,3349,218,17711,13739,61,3534,377,18152,14026,67,3673,386,19438,15021,62,3948,407,17111,13475,69,3349,218,1680,0,0,89523,69736,77.90,328,0.37,17853,19.94,1606,1.79,70,Non-Border,48259,G4802590
KENEDY,3,0,- ,0500000US48261,3,0,-,6,0,- ,5,0,- ,5,0,-,204,46,2,152,4,213,49,1,157,6,221,51,1,162,7,201,50,1,146,4,204,46,2,152,4,22,0,0,1043,242,23.20,7,0.67,769,73.73,25,2.40,--,Border,48261,G4802610
KENT,7,0,- ,0500000US48263,5,0,-,9,0,- ,12,0,- ,11,0,-,416,353,4,56,3,418,352,6,54,6,432,360,7,57,8,402,340,3,54,5,416,353,4,56,3,44,0,0,2084,1758,84.36,24,1.15,277,13.29,25,1.20,61,Non-Border,48263,G4802630
KERR,519,0,- ,0500000US48265,474,0,-,494,0,- ,496,0,- ,545,1,1.8,25557,18940,352,5896,369,25685,18721,300,6042,622,25903,18785,299,6189,630,26166,18913,307,6293,653,25557,18940,352,5896,369,2528,1,39.56,128868,94299,73.17,1610,1.25,30316,23.52,2643,2.05,48.9,Non-Border,48265,G4802650
KIMBLE,39,0,- ,0500000US48267,40,0,-,43,0,- ,41,0,- ,46,0,-,2326,1773,4,527,22,2338,1771,4,532,31,2370,1793,4,541,32,2350,1774,4,542,30,2326,1773,4,527,22,209,0,0,11710,8884,75.87,20,0.17,2669,22.79,137,1.17,54,Non-Border,48267,G4802670
KING,3,0,- ,0500000US48269,6,0,-,1,0,- ,0,0,- ,1,0,-,145,130,0,15,0,142,125,0,13,4,149,130,0,14,5,148,126,0,18,4,145,130,0,15,0,11,0,0,729,641,87.93,0,0.00,75,10.29,13,1.78,--,Non-Border,48269,G4802690
KINNEY,30,0,- ,0500000US48271,38,0,-,35,0,- ,33,0,- ,25,0,-,1643,757,18,851,17,1671,753,16,876,26,1691,762,16,886,27,1668,741,18,881,28,1643,757,18,851,17,161,0,0,8316,3770,45.33,86,1.03,4345,52.25,115,1.38,61,Border,48271,G4802710
KLEBERG,480,0,- ,0500000US48273,473,1,2.1,481,0,- ,498,0,- ,479,1,2.1,15724,3581,474,11312,357,15789,3504,455,11372,458,15870,3516,452,11443,459,15654,3403,463,11329,459,15724,3581,474,11312,357,2411,2,82.95,78761,17585,22.33,2318,2.94,56768,72.08,2090,2.65,65.4,Non-Border,48273,G4802730
KNOX,48,0,- ,0500000US48275,48,0,-,53,0,- ,47,0,- ,69,0,-,1884,1208,124,542,10,1851,1173,111,542,25,2461,1545,148,733,35,1927,1196,120,587,24,1884,1208,124,542,10,265,0,0,10007,6330,63.26,627,6.27,2946,29.44,104,1.04,68.1,Non-Border,48275,G4802750
LAMAR,657,0,- ,0500000US48277,667,0,-,647,0,- ,652,1,1.5,722,0,-,25749,19884,3767,1562,536,25915,19517,3613,1642,1143,26045,19561,3645,1681,1158,25885,19261,3641,1770,1213,25749,19884,3767,1562,536,3345,1,29.90,129343,98107,75.85,18433,14.25,8217,6.35,4586,3.55,63.8,Non-Border,48277,G4802770
LAMB,219,0,- ,0500000US48279,217,0,-,179,0,- ,196,0,- ,200,1,5.0,7013,3134,288,3542,49,7061,3054,276,3626,105,7080,3029,277,3668,106,6863,2882,270,3615,96,7013,3134,288,3542,49,1011,1,98.91,35030,15233,43.49,1399,3.99,17993,51.36,405,1.16,55,Non-Border,48279,G4802790
LAMPASAS,244,0,- ,0500000US48281,227,0,-,216,0,- ,254,0,- ,248,0,-,9972,7700,325,1684,263,10090,7575,288,1755,472,10196,7638,290,1789,479,10359,7672,301,1886,500,9972,7700,325,1684,263,1189,0,0,50589,38285,75.68,1529,3.02,8798,17.39,1977,3.91,68.2,Non-Border,48281,G4802810
LA SALLE,91,0,- ,0500000US48283,95,0,-,103,0,- ,99,0,- ,104,0,-,2797,438,1,2345,13,2873,439,1,2410,23,2971,448,1,2496,26,2982,444,1,2518,19,2797,438,1,2345,13,492,0,0,14420,2207,15.31,5,0.03,12114,84.01,94,0.65,63,Border,48283,G4802830
LAVACA,203,0,- ,0500000US48285,213,0,-,237,0,- ,198,1,5.1,242,0,-,9847,7608,657,1510,72,9971,7618,646,1574,133,10087,7684,652,1617,134,9904,7474,653,1637,140,9847,7608,657,1510,72,1093,1,91.49,49656,37992,76.51,3265,6.58,7848,15.80,551,1.11,71.8,Non-Border,48285,G4802850
LEE,208,0,- ,0500000US48287,179,0,-,197,0,- ,182,0,- ,225,0,-,8202,5485,897,1758,62,8233,5442,833,1800,158,8338,5483,844,1850,161,8399,5507,839,1883,170,8202,5485,897,1758,62,991,0,0,41374,27402,66.23,4310,10.42,9049,21.87,613,1.48,68,Non-Border,48287,G4802870
LEON,209,0,- ,0500000US48289,195,1,5.1,238,0,- ,196,0,- ,205,0,-,8416,6634,638,1055,89,8567,6679,616,1105,167,8712,6779,619,1141,173,8492,6570,589,1169,164,8416,6634,638,1055,89,1043,1,95.88,42603,33296,78.15,3100,7.28,5525,12.97,682,1.60,61.7,Non-Border,48289,G4802890
LIBERTY,1064,0,- ,0500000US48291,985,0,-,1052,1,1,1078,0,- ,1082,1,0.9,38453,27024,4470,6536,423,38573,26568,4278,6823,904,39049,26804,4310,7014,921,40130,27206,4399,7546,979,38453,27024,4470,6536,423,5261,2,38.02,194658,134626,69.16,21927,11.26,34455,17.70,3650,1.88,50.7,Non-Border,48291,G4802910
LIMESTONE,302,0,- ,0500000US48293,312,0,-,321,1,3.1,275,0,- ,342,0,-,11262,7158,2097,1921,86,11402,7146,2019,2003,234,11530,7192,2037,2062,239,11171,6923,1969,2042,237,11262,7158,2097,1921,86,1552,1,64.43,56627,35577,62.83,10219,18.05,9949,17.57,882,1.56,54,Non-Border,48293,G4802930
LIPSCOMB,61,0,- ,0500000US48295,44,0,-,35,0,- ,52,0,- ,43,0,-,1640,1136,5,479,20,1650,1112,5,490,43,1682,1123,5,510,44,1703,1128,3,524,48,1640,1136,5,479,20,235,0,0,8315,5635,67.77,23,0.28,2482,29.85,175,2.10,50,Non-Border,48295,G4802950
LIVE OAK,115,0,- ,0500000US48297,123,0,-,130,0,- ,116,0,- ,138,0,-,5336,3343,28,1917,48,5421,3341,21,1975,84,5549,3397,21,2045,86,5456,3311,20,2038,87,5336,3343,28,1917,48,622,0,0,27098,16735,61.76,118,0.44,9892,36.50,353,1.30,65,Non-Border,48297,G4802970
LLANO,158,0,- ,0500000US48299,141,0,-,161,0,- ,162,0,- ,161,0,-,9972,9010,51,806,105,10077,9010,41,829,197,10230,9131,42,857,200,10184,9087,37,857,203,9972,9010,51,806,105,783,0,0,50435,45248,89.72,222,0.44,4155,8.24,810,1.61,68,Non-Border,48299,G4802990
LOVING,0,0,- ,0500000US48301,0,0,-,0,0,- ,0,0,- ,0,0,-,36,26,0,9,1,36,25,0,10,1,35,24,0,10,1,36,24,0,11,1,36,26,0,9,1,0,0,0,179,125,69.83,0,0.00,49,27.37,5,2.79,,Non-Border,48301,G4803010
LUBBOCK,4102,1,0.2,0500000US48303,3881,0,-,3927,0,- ,4127,1,0.2,4237,1,0.2,141045,82426,10577,44388,3654,143068,81810,10187,45838,5233,145307,82670,10359,46936,5342,147093,82228,10509,48601,5755,141045,82426,10577,44388,3654,20274,3,14.80,717558,411560,57.36,52209,7.28,230151,32.07,23638,3.29,65,Non-Border,48303,G4803030
LYNN,71,0,- ,0500000US48305,80,0,-,80,0,- ,80,0,- ,64,0,-,2968,1560,51,1336,21,2965,1534,46,1346,39,2982,1541,47,1355,39,2894,1464,50,1343,37,2968,1560,51,1336,21,375,0,0,14777,7659,51.83,245,1.66,6716,45.45,157,1.06,61.7,Non-Border,48305,G4803050
MCCULLOCH,105,0,- ,0500000US48307,107,1,9.3,,,,,,,83,0,-,4226,2914,69,1213,30,4224,2879,60,1236,49,,,,,,4222,2843,56,1269,54,4226,2914,69,1213,30,295,1,338.98,16898,11550,68.35,254,1.50,4931,29.18,163,0.96,66.2,Non-Border,48307,G4803070
