county,births_2010,deaths_2010,rate_2010,geo,births_2011,deaths_2011,rate_2011,births_2012,deaths_2012,rate_2012,births_2013,deaths_2013,rate_2013,births_2014,deaths_2014,rate_2014,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014,births_2010_2014,deaths_2010_2014,rate_2010_2014,race_female_total_2010_2014,race_female_white_2010_2014,race_female_white_perc_2010_2014,race_female_black_2010_2014,race_female_black_perc_2010_2014,race_female_hispanic_2010_2014,race_female_hispanic_perc_2010_2014,race_female_other_2010_2014,race_female_other_perc_2010_2014,prenatal_percent_2010_2014,Border Status,geo_two,GISJOIN
BLANCO,96,0,- ,0500000US48031,100,0,-,90,0,- ,67,0,- ,102,0,-,5197,4221,23,880,73,5271,4240,20,907,104,5336,4281,20,930,105,5218,4178,19,921,100,5197,4221,23,880,73,455,0,0,26219,21141,80.63,105,0.40,4518,17.23,455,1.74,59,Non-Border,48031,G4800310
BORDEN,5,0,- ,0500000US48033,4,0,-,6,0,- ,10,0,- ,6,0,-,306,261,0,42,3,310,264,0,39,7,310,263,0,40,7,312,263,0,45,4,306,261,0,42,3,31,0,0,1544,1312,84.97,0,0.00,208,13.47,24,1.55,68,Non-Border,48033,G4800330
BOSQUE,199,0,- ,0500000US48035,175,0,-,185,0,- ,200,0,- ,167,0,-,9159,7561,158,1371,69,9204,7500,120,1423,161,9271,7524,122,1460,165,9231,7447,124,1489,171,9159,7561,158,1371,69,926,0,0,46024,37593,81.68,682,1.48,7114,15.46,635,1.38,59,Non-Border,48035,G4800350
BOWIE,1174,0,- ,0500000US48037,1222,1,0.8,1256,0,- ,1184,1,0.8,1217,1,0.8,45807,31469,11367,2170,801,46117,31127,11162,2288,1540,46364,31161,11301,2346,1556,46509,30955,11435,2452,1667,45807,31469,11367,2170,801,6053,3,49.56,230604,156181,67.73,56632,24.56,11426,4.95,6365,2.76,57,Non-Border,48037,G4800370
BRAZORIA,4898,1,0.2,0500000US48039,4377,3,0.7,4610,1,0.2,4675,5,1.1,4783,2,0.4,154166,84133,18353,41797,9883,157691,83231,18253,43544,12663,159970,84082,18497,44467,12924,163589,83163,19752,46677,13997,154166,84133,18353,41797,9883,23343,12,51.41,789582,418742,53.03,93208,11.80,218282,27.65,59350,7.52,66,Non-Border,48039,G4800390
BRAZOS,2711,1,0.4,0500000US48041,2564,0,-,2596,1,0.4,2635,0,- ,2829,0,-,96221,58010,11292,21876,5043,97864,57569,11014,22813,6468,99414,58274,11181,23362,6597,100146,57308,11296,24580,6962,96221,58010,11292,21876,5043,13335,2,15.00,489866,289171,59.03,56075,11.45,114507,23.38,30113,6.15,66,Non-Border,48041,G4800410
BREWSTER,129,0,- ,0500000US48043,108,0,-,114,0,- ,115,0,- ,104,0,-,4596,2533,19,1979,65,4633,2501,20,1996,116,4651,2496,20,2018,117,4593,2466,14,1997,116,4596,2533,19,1979,65,570,0,0,23069,12529,54.31,92,0.40,9969,43.21,479,2.08,70,Border,48043,G4800430
BRISCOE,14,0,- ,0500000US48045,22,0,-,9,0,- ,12,0,- ,11,0,-,822,599,23,200,0,834,591,22,209,12,839,590,22,215,12,763,545,17,191,10,822,599,23,200,0,68,0,0,4080,2924,71.67,107,2.62,1015,24.88,34,0.83,54,Non-Border,48045,G4800450
BROOKS,124,0,- ,0500000US48047,150,0,-,112,0,- ,135,0,- ,116,0,-,3644,301,8,3317,18,3658,295,10,3330,23,3675,292,10,3349,24,3652,297,5,3329,21,3644,301,8,3317,18,637,0,0,18273,1486,8.13,41,0.22,16642,91.07,104,0.57,52.4,Border,48047,G4800470
BROWN,410,2,4.9,0500000US48049,425,0,-,422,0,- ,418,0,- ,425,0,-,19268,14691,674,3689,214,19366,14526,596,3796,448,19582,14647,604,3875,456,19557,14488,613,3987,469,19268,14691,674,3689,214,2100,2,95.24,97041,73043,75.27,3161,3.26,19036,19.62,1801,1.86,76,Non-Border,48049,G4800490
