geo,geo_two,county
0500000US48145,48145,Falls
0500000US48145,48145,FALLS
0500000US48145,48145,Falls County
0500000US48145,48145,"Falls County, Texas"
0500000US48147,48147,Fannin
0500000US48147,48147,FANNIN
0500000US48147,48147,Fannin County
0500000US48147,48147,"Fannin County, Texas"
0500000US48149,48149,Fayette
0500000US48149,48149,FAYETTE
0500000US48149,48149,Fayette County
0500000US48149,48149,"Fayette County, Texas"
0500000US48151,48151,Fisher
0500000US48151,48151,FISHER
0500000US48151,48151,Fisher County
0500000US48151,48151,"Fisher County, Texas"
0500000US48153,48153,Floyd
0500000US48153,48153,FLOYD
0500000US48153,48153,Floyd County
0500000US48153,48153,"Floyd County, Texas"
0500000US48155,48155,Foard
0500000US48155,48155,FOARD
0500000US48155,48155,Foard County
0500000US48155,48155,"Foard County, Texas"
0500000US48157,48157,Fort Bend
0500000US48157,48157,FORT BEND
0500000US48157,48157,Fort Bend County
0500000US48157,48157,"Fort Bend County, Texas"
0500000US48157,48157,FORTBEND
0500000US48159,48159,Franklin
0500000US48159,48159,FRANKLIN
0500000US48159,48159,Franklin County
0500000US48159,48159,"Franklin County, Texas"
0500000US48161,48161,Freestone
0500000US48161,48161,FREESTONE
0500000US48161,48161,Freestone County
0500000US48161,48161,"Freestone County, Texas"
0500000US48163,48163,Frio
0500000US48163,48163,FRIO
0500000US48163,48163,Frio County
0500000US48163,48163,"Frio County, Texas"
0500000US48165,48165,Gaines
0500000US48165,48165,GAINES
0500000US48165,48165,Gaines County
0500000US48165,48165,"Gaines County, Texas"
0500000US48167,48167,Galveston
0500000US48167,48167,GALVESTON
0500000US48167,48167,Galveston County
0500000US48167,48167,"Galveston County, Texas"
0500000US48169,48169,Garza
0500000US48169,48169,GARZA
0500000US48169,48169,Garza County
0500000US48169,48169,"Garza County, Texas"
0500000US48171,48171,Gillespie
0500000US48171,48171,GILLESPIE
0500000US48171,48171,Gillespie County
0500000US48171,48171,"Gillespie County, Texas"
0500000US48173,48173,Glasscock
0500000US48173,48173,GLASSCOCK
0500000US48173,48173,Glasscock County
0500000US48173,48173,"Glasscock County, Texas"
0500000US48175,48175,Goliad
0500000US48175,48175,GOLIAD
0500000US48175,48175,Goliad County
0500000US48175,48175,"Goliad County, Texas"
0500000US48177,48177,Gonzales
0500000US48177,48177,GONZALES
0500000US48177,48177,Gonzales County
0500000US48177,48177,"Gonzales County, Texas"
0500000US48179,48179,Gray
0500000US48179,48179,GRAY
0500000US48179,48179,Gray County
0500000US48179,48179,"Gray County, Texas"
0500000US48181,48181,Grayson
0500000US48181,48181,GRAYSON
0500000US48181,48181,Grayson County
0500000US48181,48181,"Grayson County, Texas"
0500000US48183,48183,Gregg
0500000US48183,48183,GREGG
0500000US48183,48183,Gregg County
0500000US48183,48183,"Gregg County, Texas"
0500000US48185,48185,Grimes
0500000US48185,48185,GRIMES
0500000US48185,48185,Grimes County
0500000US48185,48185,"Grimes County, Texas"
0500000US48187,48187,Guadalupe
0500000US48187,48187,GUADALUPE
0500000US48187,48187,Guadalupe County
0500000US48187,48187,"Guadalupe County, Texas"
0500000US48189,48189,Hale
0500000US48189,48189,HALE
0500000US48189,48189,Hale County
0500000US48189,48189,"Hale County, Texas"
0500000US48191,48191,Hall
0500000US48191,48191,HALL
0500000US48191,48191,Hall County
0500000US48191,48191,"Hall County, Texas"
0500000US48193,48193,Hamilton
0500000US48193,48193,HAMILTON
0500000US48193,48193,Hamilton County
0500000US48193,48193,"Hamilton County, Texas"
0500000US48195,48195,Hansford
0500000US48195,48195,HANSFORD
0500000US48195,48195,Hansford County
0500000US48195,48195,"Hansford County, Texas"
0500000US48197,48197,Hardeman
0500000US48197,48197,HARDEMAN
0500000US48197,48197,Hardeman County
0500000US48197,48197,"Hardeman County, Texas"
0500000US48199,48199,Hardin
0500000US48199,48199,HARDIN
0500000US48199,48199,Hardin County
0500000US48199,48199,"Hardin County, Texas"
0500000US48201,48201,Harris
0500000US48201,48201,HARRIS
0500000US48201,48201,Harris County
0500000US48201,48201,"Harris County, Texas"
0500000US48203,48203,Harrison
0500000US48203,48203,HARRISON
0500000US48203,48203,Harrison County
0500000US48203,48203,"Harrison County, Texas"
0500000US48205,48205,Hartley
0500000US48205,48205,HARTLEY
0500000US48205,48205,Hartley County
0500000US48205,48205,"Hartley County, Texas"
0500000US48207,48207,Haskell
0500000US48207,48207,HASKELL
0500000US48207,48207,Haskell County
0500000US48207,48207,"Haskell County, Texas"
0500000US48209,48209,Hays
0500000US48209,48209,HAYS
0500000US48209,48209,Hays County
0500000US48209,48209,"Hays County, Texas"
0500000US48211,48211,Hemphill
0500000US48211,48211,HEMPHILL
0500000US48211,48211,Hemphill County
0500000US48211,48211,"Hemphill County, Texas"
0500000US48213,48213,Henderson
0500000US48213,48213,HENDERSON
0500000US48213,48213,Henderson County
0500000US48213,48213,"Henderson County, Texas"
0500000US48215,48215,Hidalgo
0500000US48215,48215,HIDALGO
0500000US48215,48215,Hidalgo County
0500000US48215,48215,"Hidalgo County, Texas"
0500000US48217,48217,Hill
0500000US48217,48217,HILL
0500000US48217,48217,Hill County
0500000US48217,48217,"Hill County, Texas"
0500000US48219,48219,Hockley
0500000US48219,48219,HOCKLEY
0500000US48219,48219,Hockley County
0500000US48219,48219,"Hockley County, Texas"
0500000US48221,48221,Hood
0500000US48221,48221,HOOD
0500000US48221,48221,Hood County
0500000US48221,48221,"Hood County, Texas"
0500000US48223,48223,Hopkins
0500000US48223,48223,HOPKINS
0500000US48223,48223,Hopkins County
0500000US48223,48223,"Hopkins County, Texas"
0500000US48225,48225,Houston
0500000US48225,48225,HOUSTON
0500000US48225,48225,Houston County
