geo,county,Border Status,births_2010_2014,deaths_2010_2014,prenatal_eligible_2010_2014,prenatal_sum_2010_2014,race_female_total_2010_2014,race_female_white_2010_2014,race_female_black_2010_2014,race_female_hispanic_2010_2014,race_female_other_2010_2014
0500000US48153,FLOYD,Non-Border,415,0,405,231,16249,7041,539,8553,116
0500000US48155,FOARD,Non-Border,62,0,59,42,3482,2824,149,486,23
0500000US48157,FORT BEND,Non-Border,41540,13,39009,26136,1555653,546776,344573,370272,294032
0500000US48159,FRANKLIN,Non-Border,526,0,516,336,26880,22001,1093,3173,613
0500000US48161,FREESTONE,Non-Border,1104,1,1049,604,47272,33774,7177,5743,578
0500000US48163,FRIO,Border,1272,1,1107,602,36821,6635,164,29634,388
0500000US48165,GAINES,Non-Border,1858,0,1771,850,44765,27617,677,16061,410
0500000US48167,GALVESTON,Non-Border,19830,5,18407,12333,748935,440355,105620,167934,35026
0500000US48169,GARZA,Non-Border,325,0,308,172,11947,6529,633,4610,175
0500000US48171,GILLESPIE,Non-Border,1236,1,1200,732,65293,52005,131,12366,791
0500000US48173,GLASSCOCK,Non-Border,69,0,58,45,2915,1967,36,898,14
0500000US48175,GOLIAD,Non-Border,334,0,306,228,18345,11071,824,6282,168
0500000US48177,GONZALES,Non-Border,1442,2,1388,666,49725,22632,3299,23192,602
0500000US48179,GRAY,Non-Border,1674,1,1629,1026,54598,39286,1521,12629,1162
0500000US48181,GRAYSON,Non-Border,7570,2,7347,4335,311790,246232,18881,34969,11708
0500000US48183,GREGG,Non-Border,9627,2,8677,4859,314327,191667,65239,49357,8064
0500000US48185,GRIMES,Non-Border,1568,1,1232,759,61411,38458,9184,12877,892
0500000US48187,GUADALUPE,Non-Border,8579,0,7780,4979,346512,189214,21443,124103,11752
0500000US48189,HALE,Non-Border,2696,0,2636,1613,87671,33288,3433,49784,1166
0500000US48191,HALL,Non-Border,170,0,167,97,8542,5190,533,2728,91
0500000US48193,HAMILTON,Non-Border,446,0,423,270,21582,19211,63,2078,230
0500000US48195,HANSFORD,Non-Border,412,0,402,225,13976,7887,70,5887,132
0500000US48197,HARDEMAN,Non-Border,210,1,197,109,10292,7485,487,2183,137
0500000US48199,HARDIN,Non-Border,3479,3,3327,2422,140678,123832,8756,5982,2108
0500000US48201,HARRIS,Non-Border,341163,110,304925,186004,10501213,3407510,2060940,4233610,799153
0500000US48203,HARRISON,Non-Border,4272,1,3905,2304,168655,108927,38701,17949,3078
0500000US48205,HARTLEY,Non-Border,300,0,294,232,11849,9343,26,2276,204
0500000US48207,HASKELL,Non-Border,240,0,239,136,13940,9985,368,3392,195
0500000US48209,HAYS,Non-Border,10711,1,10466,7431,412058,241312,12322,147512,10912
0500000US48211,HEMPHILL,Non-Border,336,0,324,204,9543,6800,10,2580,153
0500000US48213,HENDERSON,Non-Border,4505,0,4179,2382,201727,163942,12542,21510,3733
0500000US48215,HIDALGO,Border,81184,14,50738,33487,2040557,151438,4895,1859875,24349
0500000US48217,HILL,Non-Border,2089,0,2015,1249,89944,66614,6020,15878,1432
0500000US48219,HOCKLEY,Non-Border,1650,2,1608,942,58503,30030,2109,25679,685
0500000US48221,HOOD,Non-Border,2846,2,2769,1855,131972,116067,504,12784,2617
0500000US48223,HOPKINS,Non-Border,2351,1,2304,1682,89327,67977,6545,12907,1898
0500000US48225,HOUSTON,Non-Border,1160,2,1094,678,54690,36051,13393,4199,1047
0500000US48227,HOWARD,Non-Border,2268,2,2145,1343,77161,43971,2996,28569,1625
0500000US48229,HUDSPETH,Border,228,0,204,106,8638,1455,51,7020,112
0500000US48231,HUNT,Non-Border,5445,4,5241,2935,219830,164962,18883,29128,6857
0500000US48233,HUTCHINSON,Non-Border,1502,0,1476,974,55191,41374,1226,10942,1649
0500000US48235,IRION,Non-Border,82,0,79,46,4073,2938,21,1041,73
0500000US48237,JACK,Non-Border,496,1,487,336,20153,17084,181,2600,288
0500000US48239,JACKSON,Non-Border,963,1,908,699,35917,22686,2545,10276,410
0500000US48241,JASPER,Non-Border,2225,3,2129,1390,90876,68936,15610,4503,1827
0500000US48243,JEFF DAVIS,Border,80,0,72,45,5799,3713,25,1971,90
0500000US48245,JEFFERSON,Non-Border,17587,6,14613,9791,617691,276796,215852,96978,28065
0500000US48247,JIM HOGG,Border,461,0,376,297,13426,810,11,12509,96
0500000US48249,JIM WELLS,Non-Border,3306,2,2255,1488,105184,20432,329,83547,876
0500000US48251,JOHNSON,Non-Border,9877,6,9424,6220,383927,296506,9419,68466,9536
0500000US48253,JONES,Non-Border,883,1,855,544,38988,28580,1520,8168,720
0500000US48255,KARNES,Non-Border,824,0,737,471,30485,13901,499,15746,339
0500000US48257,KAUFMAN,Non-Border,7289,1,6997,4317,268241,187109,28996,45436,6700
0500000US48259,KENDALL,Non-Border,1680,0,1491,1044,89523,69736,328,17853,1606
0500000US48261,KENEDY,Border,22,0,-,12,1043,242,7,769,25
0500000US48263,KENT,Non-Border,44,0,44,27,2084,1758,24,277,25
0500000US48265,KERR,Non-Border,2528,1,2423,1185,128868,94299,1610,30316,2643
0500000US48267,KIMBLE,Non-Border,209,0,206,111,11710,8884,20,2669,137
0500000US48269,KING,Non-Border,11,0,-,9,729,641,0,75,13
0500000US48271,KINNEY,Border,161,0,141,86,8316,3770,86,4345,115
0500000US48273,KLEBERG,Non-Border,2411,2,2214,1448,78761,17585,2318,56768,2090
0500000US48275,KNOX,Non-Border,265,0,260,177,10007,6330,627,2946,104
0500000US48277,LAMAR,Non-Border,3345,1,3251,2074,129343,98107,18433,8217,4586
0500000US48279,LAMB,Non-Border,1011,1,973,535,35030,15233,1399,17993,405
0500000US48281,LAMPASAS,Non-Border,1189,0,1056,720,50589,38285,1529,8798,1977
0500000US48283,LA SALLE,Border,492,0,432,272,14420,2207,5,12114,94
0500000US48285,LAVACA,Non-Border,1093,1,1043,749,49656,37992,3265,7848,551
0500000US48287,LEE,Non-Border,991,0,931,633,41374,27402,4310,9049,613
0500000US48289,LEON,Non-Border,1043,1,911,562,42603,33296,3100,5525,682
0500000US48291,LIBERTY,Non-Border,5261,2,5004,2537,194658,134626,21927,34455,3650
0500000US48293,LIMESTONE,Non-Border,1552,1,1437,776,56627,35577,10219,9949,882
0500000US48295,LIPSCOMB,Non-Border,235,0,206,103,8315,5635,23,2482,175
