county,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012
Washington ,17403,11506,3081,2369,447
Webb ,134583,3788,152,129689,954
Wharton ,21018,10033,2950,7788,247
Wheeler ,2844,2011,70,702,61
Wichita ,64213,44185,6122,10545,3361
Wilbarger ,6802,4309,500,1787,206
Willacy ,10144,992,40,9047,65
Williamson ,228764,144144,13536,53696,17388
Wilson ,22832,13276,318,8851,387
Winkler ,3589,1512,67,1953,57
Wise ,30188,24035,186,5243,724
Wood ,21488,18308,975,1756,449
Yoakum ,4053,1570,29,2395,59
Young ,9549,7764,102,1497,186
Zapata ,7235,395,4,6792,44
Zavala ,6082,331,13,5720,18
"* 2012 population data for Texas produced by the Texas State Data Center from the Census 2012 Summary Files, accessed January 2017",,,,,
Updated on 1/13/2017 to reflect accurate county population totals,,,,,
2012 Annual Report List of Tables and References,,,,,
Annual Reports for Other Years,,,,,
Center for Health Statistics,,,,,
End of Worksheet,,,,,
,,,,,
,,,,,
,,,,,
