Geographic Area,Total Number,Total Percent,White Number,White Percent,Black Number,Black Percent,Hispanic Number,Hispanic Percent
PARMER,79,53,28,66.7,0,-,51,47.7
PECOS,109,54.2,29,65.9,0,-,80,51
POLK,275,57.4,202,59.1,28,58.3,45,50.6
POTTER,"1,233",58.8,579,61.5,101,45.3,553,59.3
PRESIDIO,50,47.6,4,*,0,-,46,46.5
RAINS,76,68.5,64,69.6,1,*,11,*
RANDALL,"1,192",73.9,925,77.1,30,56.6,237,65.8
REAGAN,28,54.9,11,*,0,-,17,47.2
REAL,16,51.6,11,52.4,0,-,5,*
RED RIVER,72,56.7,61,69.3,9,32.1,2,*
REEVES,106,65,12,52.2,0,-,94,67.1
REFUGIO,55,67.9,26,72.2,0,-,29,64.4
ROBERTS,6,*,6,*,0,-,0,-
ROBERTSON,94,57.7,55,67.9,13,41.9,26,51
ROCKWALL,633,66.8,510,72.9,20,45.5,103,50.7
RUNNELS,62,63.3,40,70.2,1,*,21,52.5
RUSK,378,55.2,248,60.6,52,53.6,78,43.6
SABINE,49,62.8,41,63.1,4,*,4,*
SAN AUGUSTINE,62,55.9,36,59,11,36.7,15,*
SAN JACINTO,144,53.1,101,50,12,54.5,31,66
SAN PATRICIO,547,63.9,231,73.3,0,-,316,59
SAN SABA,43,58.9,28,71.8,0,-,15,44.1
SCHLEICHER,21,55.3,7,*,0,-,14,50
SCURRY,122,45.5,66,53.2,4,*,52,38.5
SHACKELFORD,26,63.4,20,60.6,0,-,6,*
SHELBY,201,55.2,121,59.6,17,34,63,56.8
SHERMAN,25,71.4,13,*,0,-,12,*
SMITH,"1,456",54.3,935,62.1,194,44.1,327,44.5
SOMERVELL,61,64.9,46,70.8,1,*,14,50
STARR,411,53.6,5,*,0,-,406,53.4
STEPHENS,75,76.5,58,79.5,1,*,16,66.7
STERLING,8,*,6,*,0,-,2,*
STONEWALL,7,*,6,*,0,-,1,*
SUTTON,26,48.1,13,*,0,-,13,37.1
SWISHER,55,57.9,20,60.6,1,*,34,57.6
TARRANT,"15,079",55.1,"9,074",68.7,"2,133",48.9,"3,872",39.4
TAYLOR,"1,465",71.7,998,75.7,88,57.9,379,66
TERRELL,8,*,4,*,0,-,4,*
TERRY,97,49.2,41,55.4,1,*,55,45.1
