Geographic Area,Total Number,Total Percent,White Number,White Percent,Black Number,Black Percent,Hispanic Number,Hispanic Percent
JASPER,288,65.2,229,69.6,39,56.5,20,45.5
JEFF DAVIS,6,*,4,*,0,-,2,*
JEFFERSON,"1,969",65.5,827,74.4,699,64.1,443,55.3
JIM HOGG,64,81,4,*,0,-,60,81.1
JIM WELLS,311,58.1,53,63.9,1,*,257,57.2
JOHNSON,"1,236",63.8,993,69.9,31,73.8,212,44.7
JONES,109,60.2,81,68.1,3,*,25,43.1
KARNES,87,55.1,31,64.6,0,-,56,51.4
KAUFMAN,902,61.9,634,66.5,88,56.1,180,51.7
KENDALL,202,66.2,155,76.4,0,-,47,46.1
KENEDY,3,*,0,-,0,-,3,*
KENT,9,*,7,*,0,-,2,*
KERR,215,44.1,140,49.3,1,*,74,37.8
KIMBLE,21,52.5,15,51.7,0,-,6,*
KING,0,-,0,-,0,-,0,-
KINNEY,20,62.5,5,*,0,-,15,57.7
KLEBERG,306,64,80,70.8,5,*,221,62.3
KNOX,34,73.9,17,73.9,1,*,16,76.2
LAMAR,417,64.4,340,69.1,51,55.4,26,40.6
LAMB,101,52.1,39,66.1,0,-,62,48.8
LAMPASAS,166,72.8,116,73.9,4,*,46,68.7
LA SALLE,55,57.9,8,*,0,-,47,54.7
LAVACA,123,65.1,87,76.3,2,*,34,52.3
LEE,113,64.2,59,64.8,5,*,49,63.6
LEON,108,59,83,64.8,5,*,20,44.4
LIBERTY,564,53.6,398,57.6,36,51.4,130,44.7
LIMESTONE,135,50.8,83,57.6,11,45.8,41,41.8
LIPSCOMB,19,42.2,11,52.4,0,-,8,33.3
LIVE OAK,72,64.3,39,68.4,0,-,33,60
LLANO,101,68.2,84,69.4,0,-,17,65.4
LOVING,0,-,0,-,0,-,0,-
LUBBOCK,"2,612",63.5,"1,489",69.7,173,51.5,950,57.8
LYNN,49,61.3,20,71.4,0,-,29,55.8
MCCULLOCH,58,69.9,39,75,0,-,19,61.3
MCLENNAN,"2,068",62.2,"1,117",68.5,286,52.6,665,57.9
MCMULLEN,8,*,6,*,0,-,2,*
MADISON,87,64,52,73.2,13,59.1,22,51.2
MARION,52,55.3,34,54,13,54.2,5,*
MARTIN,47,47.5,19,48.7,0,-,28,46.7
MASON,18,48.6,13,52,0,-,5,*
MATAGORDA,282,56.6,126,66,18,42.9,138,52.1
MAVERICK,855,79.2,22,68.8,1,*,832,79.5
MEDINA,331,66.6,147,73.5,0,-,184,62
MENARD,16,66.7,8,*,1,*,7,*
MIDLAND,"1,803",67,927,73.9,77,57.9,799,61.3
MILAM,130,58.3,91,72.8,5,*,34,43
MILLS,31,63.3,28,70,0,-,3,*
MITCHELL,48,51.1,29,63,1,*,18,39.1
MONTAGUE,134,62,119,65.4,1,*,14,42.4
MONTGOMERY,"4,022",61.6,"2,927",66.4,134,49.3,961,52.1
MOORE,226,52.2,86,51.5,5,*,135,52.5
MORRIS,90,57.3,65,65.7,17,44.7,8,*
MOTLEY,7,*,7,*,0,-,0,-
NACOGDOCHES,480,55.1,286,64.4,80,47.3,114,44.2
NAVARRO,333,49.9,180,56.3,50,49.5,103,41.7
NEWTON,84,60.9,67,60.9,16,66.7,1,*
NOLAN,149,68.3,79,76.7,10,*,60,60
NUECES,"3,002",63.8,924,67.6,80,58.8,"1,998",62.4
OCHILTREE,85,49.1,43,66.2,1,*,41,38.3
OLDHAM,24,77.4,22,81.5,0,-,2,*
ORANGE,637,65.8,532,67.8,56,54.4,49,61.3
PALO PINTO,262,70.4,192,74.7,3,*,67,60.9
PANOLA,155,53.8,122,62.2,17,37.8,16,34
PARKER,887,69.2,794,73.1,4,*,89,47.6
PARMER,69,49.3,29,59.2,0,-,40,44
PECOS,161,69.4,42,75,2,*,117,67.2
POLK,274,53.2,204,54.3,15,36.6,55,56.1
POTTER,"1,187",57.5,580,63,120,51.1,487,53.7
PRESIDIO,55,42,8,*,0,-,47,41.2
RAINS,57,63.3,49,63.6,1,*,7,*
RANDALL,"1,251",74.3,952,76.7,32,58.2,267,69
REAGAN,48,58.5,19,82.6,1,*,28,48.3
REAL,15,46.9,9,42.9,0,-,6,*
RED RIVER,98,63.6,80,70.8,11,47.8,7,*
REEVES,147,76.2,20,95.2,2,*,125,73.5
REFUGIO,44,62.9,12,*,4,*,28,62.2
ROBERTS,6,*,6,*,0,-,0,-
ROBERTSON,95,52.2,47,57.3,16,30.8,32,66.7
ROCKWALL,647,67.2,505,71.2,27,65.9,115,54
RUNNELS,52,54.2,33,56.9,1,*,18,48.6
RUSK,363,59,237,63.2,51,60.7,75,48.1
SABINE,48,51.6,38,48.1,4,*,6,*
SAN AUGUSTINE,56,57.7,32,58.2,15,55.6,9,*
SAN JACINTO,154,55.8,122,58.7,12,38.7,20,54.1
SAN PATRICIO,525,57.1,198,66,10,*,317,52.1
SAN SABA,37,69.8,18,69.2,0,-,19,70.4
SCHLEICHER,23,56.1,11,*,0,-,12,42.9
SCURRY,105,43.8,54,53.5,2,*,49,36.8
SHACKELFORD,24,70.6,24,80,0,-,0,-
SHELBY,193,54.7,124,61.7,19,33.3,50,52.6
SHERMAN,24,58.5,9,*,0,-,15,55.6
SMITH,"1,359",45.3,887,55.7,199,38.1,273,30.7
SOMERVELL,69,75.8,46,76.7,0,-,23,74.2
STARR,417,56.1,2,*,0,-,415,56.2
STEPHENS,77,68.8,50,70.4,2,*,25,64.1
STERLING,10,*,4,*,0,-,6,*
STONEWALL,9,*,9,*,0,-,0,-
SUTTON,33,56.9,11,*,1,*,21,55.3
SWISHER,73,66.4,33,84.6,4,*,36,54.5
TARRANT,"15,667",57.2,"9,092",69.5,"2,246",51.3,"4,329",43.6
TAYLOR,"1,342",67.3,928,72.3,94,62.3,320,57.1
TERRELL,2,*,1,*,0,-,1,*
TERRY,87,42.9,32,45.7,1,*,54,41.5
THROCKMORTON,14,*,13,*,0,-,1,*
TITUS,296,59.9,126,80.3,27,60,143,49
TOM GREEN,"1,004",64.6,577,70.7,23,57.5,404,58
TRAVIS,"11,545",73.9,"6,441",85.9,806,68.7,"4,298",61.8
TRINITY,81,68.1,68,74.7,9,*,4,*
TYLER,132,61.4,116,61.4,12,*,4,*
UPSHUR,245,50.2,214,54.3,16,42.1,15,26.8
UPTON,43,74.1,23,74.2,0,-,20,74.1
UVALDE,276,66.5,61,65.6,1,*,214,66.7
VAL VERDE,310,35.4,76,55.5,3,*,231,31.6
VAN ZANDT,325,56.1,285,59.4,5,*,35,41.7
VICTORIA,877,73,415,81.4,38,58.5,424,67.6
WALKER,387,62.2,218,63,66,55,103,66
WALLER,405,71.2,170,79.8,53,66.3,182,65.9
WARD,167,87.4,73,92.4,9,*,85,82.5
WASHINGTON,199,54.7,123,65.1,35,44.3,41,42.7
WEBB,"3,968",75.1,142,88.8,4,*,"3,822",74.6
WHARTON,278,53.8,130,72.6,38,50,110,42
WHEELER,46,63,29,69,0,-,17,54.8
WICHITA,"1,319",75.1,893,78.3,127,69,299,69.1
WILBARGER,123,77.8,81,87.1,2,*,40,67.8
WILLACY,196,64.7,5,*,0,-,191,65.9
WILLIAMSON,"4,646",79.6,"3,288",83.9,224,71.6,"1,134",70.6
WILSON,321,65.4,209,70.6,3,*,109,57.7
WINKLER,102,78.5,33,82.5,2,*,67,76.1
WISE,465,60.2,374,65.4,1,*,90,45.2
WOOD,233,58.4,197,59.9,8,*,28,46.7
YOAKUM,115,60.2,35,66,1,*,79,58.1
YOUNG,159,71,129,75.9,0,-,30,56.6
ZAPATA,208,80.6,5,*,0,-,203,80.6
ZAVALA,139,69.2,8,*,0,-,131,68.6
