Geographic Area,Total Number,Total Percent,White Number,White Percent,Black Number,Black Percent,Hispanic Number,Hispanic Percent
GRAYSON,878,57.9,708,63.5,45,46.4,125,41.1
GREGG,940,49.9,547,56.3,144,40.4,249,44.8
GRIMES,132,56.4,96,64,10,35.7,26,46.4
GUADALUPE,888,60.3,490,68.4,50,66.7,348,51
HALE,342,55.7,119,71.7,12,46.2,211,50
HALL,20,62.5,8,*,1,*,11,*
HAMILTON,44,53,37,55.2,0,-,7,*
HANSFORD,46,54.1,24,68.6,0,-,22,44
HARDEMAN,20,43.5,10,45.5,3,*,7,*
HARDIN,530,76,474,77.8,31,59.6,25,69.4
HARRIS,"35,703",55.6,"13,458",68.6,"5,831",50.4,"16,414",49.8
HARRISON,446,54.5,290,62.2,81,48.2,75,40.5
HARTLEY,37,68.5,32,78,0,-,5,*
HASKELL,23,50,12,46.2,0,-,11,*
HAYS,"1,451",69.7,772,76.1,38,69.1,641,63.2
HEMPHILL,35,51.5,22,57.9,0,-,13,43.3
HENDERSON,443,51.1,348,53.9,24,43.6,71,42.8
HIDALGO,"5,814",58.6,204,75.8,11,*,"5,599",58.1
HILL,269,62,181,66.5,21,60,67,52.8
HOCKLEY,207,60.5,80,66.7,2,*,125,58.1
HOOD,364,66.2,305,69.6,1,*,58,52.3
HOPKINS,351,69.9,248,74.3,22,59.5,81,61.8
HOUSTON,140,56.9,85,68,35,47.9,20,41.7
HOWARD,280,61.9,150,66.4,7,*,123,57.5
HUDSPETH,21,43.8,2,*,0,-,19,46.3
HUNT,546,50.3,420,55.4,54,45,72,34.6
HUTCHINSON,166,63.4,125,67.6,1,*,40,54.8
IRION,7,*,5,*,0,-,2,*
JACK,73,68.9,59,72,0,-,14,58.3
JACKSON,144,75,84,81.6,9,*,51,69.9
JASPER,302,64.7,233,68.9,47,53.4,22,53.7
JEFF DAVIS,11,*,3,*,0,-,8,*
JEFFERSON,"2,064",68.7,895,75.8,744,66.4,425,60.3
JIM HOGG,57,67.1,4,*,0,-,53,67.1
JIM WELLS,342,52.1,76,66.1,1,*,265,49.3
JOHNSON,"1,204",61.1,957,65.6,25,59.5,222,47.3
JONES,102,60.7,73,65.8,5,*,24,48
KARNES,88,62,23,69.7,3,*,62,61.4
KAUFMAN,863,60.8,593,64,91,62.3,179,51.7
KENDALL,179,68.1,123,75.9,1,*,55,55
KENEDY,1,*,0,-,0,-,1,*
KENT,3,*,3,*,0,-,0,-
KERR,252,50.3,177,59.4,5,*,70,36.1
KIMBLE,25,64.1,20,74.1,0,-,5,*
KING,2,*,2,*,0,-,0,-
KINNEY,15,51.7,4,*,0,-,11,47.8
KLEBERG,296,63,71,74.7,12,*,213,59
KNOX,34,70.8,17,70.8,3,*,14,66.7
LA SALLE,58,68.2,11,*,0,-,47,68.1
LAMAR,401,62,305,66.2,61,52.6,35,50
LAMB,115,52.8,41,68.3,3,*,71,46.7
LAMPASAS,138,61.6,90,64.3,1,*,47,58.8
LAVACA,141,70.1,91,76.5,11,*,39,61.9
LEE,132,68,77,77,12,57.1,43,58.9
LEON,103,56,77,59.7,3,*,23,47.9
LIBERTY,493,47,333,48.3,41,42.7,119,45.2
LIMESTONE,148,51.4,92,60.1,23,44.2,33,39.8
LIPSCOMB,32,54.2,24,64.9,0,-,8,36.4
LIVE OAK,67,60.4,32,65.3,1,*,34,56.7
LLANO,102,65.4,74,64.3,1,*,27,67.5
LOVING,0,-,0,-,0,-,0,-
LUBBOCK,"2,538",62.4,"1,419",70.8,163,54,956,54.2
LYNN,41,57.7,15,55.6,1,*,25,59.5
MADISON,72,58.5,41,57.7,14,58.3,17,60.7
MARION,51,54.8,37,62.7,11,37.9,3,*
MARTIN,53,63.9,28,71.8,0,-,25,56.8
MASON,18,60,14,58.3,0,-,4,*
MATAGORDA,240,46.2,108,57.4,28,42.4,104,39.2
MAVERICK,816,82.7,19,76,0,-,797,82.9
MCCULLOCH,67,63.8,47,75.8,1,*,19,45.2
MCLENNAN,"2,058",62.5,"1,114",68.4,301,58.1,643,56.1
MCMULLEN,5,*,4,*,0,-,1,*
MEDINA,341,71.6,154,78.6,0,-,187,67.5
MENARD,5,*,4,*,0,-,1,*
MIDLAND,"1,333",59.1,686,68.6,60,47.6,587,51.9
MILAM,123,59.1,75,67.6,7,*,41,50
MILLS,31,62,20,58.8,0,-,11,*
MITCHELL,55,55.6,29,52.7,0,-,26,60.5
MONTAGUE,148,57.8,133,61.6,0,-,15,37.5
MONTGOMERY,"3,864",61.5,"2,735",65.6,131,48.2,998,54.2
MOORE,177,45.2,65,45.1,1,*,111,45.3
MORRIS,89,58.9,62,65.3,16,48.5,11,47.8
MOTLEY,4,*,4,*,0,-,0,-
NACOGDOCHES,580,62.8,297,68.4,111,49.3,172,64.9
NAVARRO,305,45.8,170,51.4,29,34.5,106,42.2
NEWTON,67,51.5,49,59,18,38.3,0,-
NOLAN,115,58.4,68,66.7,9,*,38,46.9
NUECES,"2,994",64.7,912,72.4,77,58.8,"2,005",62
OCHILTREE,92,57.9,47,73.4,0,-,45,47.4
OLDHAM,13,*,13,*,0,-,0,-
ORANGE,617,68.9,524,70.8,45,53.6,48,67.6
PALO PINTO,234,65.9,176,71,2,*,56,56.6
PANOLA,130,55.6,96,60.4,23,51.1,11,36.7
PARKER,834,64.5,733,68.6,10,*,91,42.7
PARMER,71,52.2,22,62.9,0,-,49,48.5
PECOS,133,62.7,25,61,1,*,107,63.3
POLK,285,58.9,210,61.8,23,51.1,52,52.5
POTTER,"1,023",49.2,546,57.9,93,39.2,384,42.6
PRESIDIO,53,39.6,7,*,1,*,45,38.8
RAINS,61,59.8,52,61.2,1,*,8,*
RANDALL,"1,071",69.2,844,72.9,20,46.5,207,59.7
REAGAN,22,42.3,10,*,0,-,12,35.3
REAL,18,48.6,13,54.2,0,-,5,*
RED RIVER,95,69.3,74,76.3,13,56.5,8,*
REEVES,113,69.3,16,76.2,0,-,97,68.3
REFUGIO,50,61,18,64.3,0,-,32,60.4
ROBERTS,10,*,10,*,0,-,0,-
ROBERTSON,77,53.5,37,62.7,16,51.6,24,44.4
ROCKWALL,640,69.2,509,72.9,25,62.5,106,56.7
RUNNELS,74,57.4,50,70.4,1,*,23,41.1
RUSK,343,52.7,244,61.3,41,43.2,58,36.7
SABINE,49,59,44,57.9,3,*,2,*
SAN AUGUSTINE,54,57.4,31,63.3,17,50,6,*
SAN JACINTO,136,48.1,109,49.8,10,40,17,43.6
SAN PATRICIO,573,64.3,222,73.3,3,*,348,60.1
SAN SABA,34,58.6,23,79.3,0,-,11,37.9
SCHLEICHER,28,70,15,71.4,0,-,13,*
SCURRY,129,46.1,69,57.5,2,*,58,38.7
SHACKELFORD,17,63,15,68.2,0,-,2,*
SHELBY,180,53.9,103,62.8,33,45.2,44,45.4
SHERMAN,13,43.3,5,*,1,*,7,*
SMITH,"1,188",50,834,60.4,155,38.1,199,33.7
SOMERVELL,65,67,51,78.5,0,-,14,43.8
STARR,369,44.7,3,*,0,-,366,44.5
STEPHENS,63,57.3,47,65.3,2,*,14,40
STERLING,9,*,7,*,0,-,2,*
STONEWALL,10,*,8,*,0,-,2,*
SUTTON,16,38.1,8,*,0,-,8,28.6
SWISHER,58,51.3,25,75.8,1,*,32,42.7
TARRANT,"14,413",52.1,"8,566",65.2,"2,041",46.8,"3,806",37.4
TAYLOR,"1,310",66.4,908,70.2,98,60.9,304,58.5
TERRELL,8,*,3,*,0,-,5,*
TERRY,80,45.5,32,54.2,4,*,44,40.4
THROCKMORTON,15,*,14,*,0,-,1,*
TITUS,299,59.2,117,70.1,24,54.5,158,53.7
TOM GREEN,963,62.3,585,71.7,27,52.9,351,51.8
TRAVIS,"10,461",66.8,"5,834",82.8,773,64.2,"3,854",51.9
TRINITY,115,65.3,85,68.5,11,*,19,59.4
TYLER,136,61.3,115,63.5,14,51.9,7,*
UPSHUR,261,52.7,213,53.7,25,56.8,23,42.6
UPTON,31,81.6,18,85.7,0,-,13,*
UVALDE,230,56.9,60,65.9,1,*,169,54.2
VAL VERDE,334,37.8,73,54.1,7,*,254,34.4
VAN ZANDT,279,53.4,242,57.1,7,*,30,37.5
VICTORIA,856,66.3,381,74,47,63.5,428,61
WALKER,418,68.9,238,70.4,78,65,102,68.5
WALLER,349,60.1,132,66.3,67,54.5,150,57.9
WARD,105,77.2,49,80.3,9,*,47,74.6
WASHINGTON,223,57.5,131,68.6,48,51.1,44,42.7
WEBB,"3,911",72,140,90.9,1,*,"3,770",71.4
WHARTON,284,54.9,127,71.3,30,43.5,127,47
WHEELER,42,55.3,29,65.9,0,-,13,43.3
WICHITA,"1,354",75.9,977,80.1,129,66.2,248,67
WILBARGER,125,69.1,75,74.3,8,*,42,62.7
WILLACY,193,54.8,5,*,0,-,188,55.8
WILLIAMSON,"4,658",78,"3,262",82.7,215,69.4,"1,181",68.7
WILSON,255,70.8,141,77,0,-,114,65.5
WINKLER,65,63.1,25,67.6,1,*,39,60
WISE,445,58.1,358,64,3,*,84,41.6
WOOD,225,56.4,201,61.3,4,*,20,31.7
YOAKUM,72,57.6,25,64.1,1,*,46,54.8
YOUNG,155,68.3,126,76.4,1,*,28,45.9
ZAPATA,245,74,9,*,0,-,236,73.8
ZAVALA,107,53.5,5,*,0,-,102,54.5
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
