Geographic Area,Total Number,Total Percent,White Number,White Percent,Black Number,Black Percent,Hispanic Number,Hispanic Percent
EL PASO,"8,428",65.7,"1,406",71.5,284,71.7,"6,738",64.3
ERATH,322,61.5,248,68.1,2,*,72,45.9
FALLS,93,53.1,38,60.3,25,48.1,30,50
FANNIN,186,57.9,166,63.4,5,*,15,31.9
FAYETTE,171,71,108,80,8,*,55,60.4
FISHER,41,80.4,29,76.3,0,-,12,*
FLOYD,43,66.2,10,*,0,-,33,62.3
FOARD,5,*,4,*,0,-,1,*
FORT BEND,"5,777",65,"3,457",72.2,935,52.9,"1,385",59.3
FRANKLIN,52,56.5,46,63.9,1,*,5,*
FREESTONE,97,51.1,71,62.3,13,40.6,13,29.5
FRIO,106,41.1,20,46.5,1,*,85,40.1
GAINES,186,47.4,117,50.9,1,*,68,42.2
GALVESTON,"2,440",59.9,"1,505",61.2,292,54.5,643,59.8
GARZA,31,49.2,16,51.6,2,*,13,48.1
GILLESPIE,143,56.7,101,68.7,1,*,41,39.8
GLASSCOCK,11,*,8,*,0,-,3,*
GOLIAD,51,67.1,35,83.3,2,*,14,45.2
GONZALES,141,44.3,63,58.3,10,*,68,34.9
GRAY,198,58.6,125,64.1,2,*,71,51.8
GRAYSON,920,59.7,716,63.9,51,58.6,153,45.9
GREGG,"1,086",55.9,616,62.5,208,49.3,262,48.9
GRIMES,181,58.8,109,68.1,15,35.7,57,53.8
GUADALUPE,"1,078",63.1,603,69.7,55,71.4,420,54.8
HALE,290,62.8,94,71.2,9,*,187,59.4
HALL,18,54.5,7,*,2,*,9,*
HAMILTON,54,67.5,47,72.3,0,-,7,*
HANSFORD,56,64.4,32,88.9,0,-,24,48
HARDEMAN,30,68.2,21,77.8,1,*,8,*
HARDIN,443,66.9,407,67.8,16,51.6,20,64.5
HARRIS,"38,750",57.9,"14,923",66.6,"6,219",52.4,"17,608",53.9
HARRISON,460,56,290,62.1,79,50,91,46.2
HARTLEY,50,83.3,36,85.7,0,-,14,*
HASKELL,23,46,15,51.7,0,-,8,*
HAYS,"1,600",67.9,922,77,32,59.3,646,58.5
HEMPHILL,47,75.8,32,84.2,0,-,15,62.5
HENDERSON,494,56.7,392,60.8,28,50,74,43.3
HIDALGO,"6,369",59.2,240,70.6,11,*,"6,118",58.8
HILL,265,64.8,175,69.7,15,46.9,75,59.5
HOCKLEY,179,58.3,84,66.1,9,*,86,50.9
HOOD,360,62.7,318,67.5,2,*,40,39.6
HOPKINS,313,66.7,236,70,13,54.2,64,59.3
HOUSTON,94,51.1,64,55.7,22,52.4,8,29.6
HOWARD,273,54,169,63.1,3,*,101,44.3
HUDSPETH,18,52.9,0,-,0,-,18,54.5
HUNT,628,55.7,470,61.2,54,50.9,104,41.1
HUTCHINSON,193,62.9,153,68,6,*,34,48.6
IRION,5,*,5,*,0,-,0,-
JACK,57,58.2,48,64.9,1,*,8,34.8
JACKSON,141,70.1,86,80.4,9,*,46,60.5
JASPER,232,61.1,170,63,40,52.6,22,64.7
JEFF DAVIS,9,*,5,*,0,-,4,*
JEFFERSON,"1,804",59.4,794,69.2,639,57.1,371,48.1
JIM HOGG,57,75,5,*,0,-,52,75.4
JIM WELLS,289,52.2,47,54,0,-,242,52
JOHNSON,"1,302",64.7,"1,005",68.3,32,69.6,265,53.6
JONES,114,61.6,79,63.2,4,*,31,59.6
KARNES,106,57.6,41,70.7,1,*,64,52.9
KAUFMAN,891,59.3,611,64.2,96,55.8,184,48.7
KENDALL,242,70.3,180,76.9,1,*,61,56
KENEDY,4,*,2,*,0,-,2,*
KENT,7,*,7,*,0,-,0,-
KERR,248,46.2,148,47.1,4,*,96,45.1
KIMBLE,19,41.3,16,45.7,0,-,3,*
KING,0,-,0,-,0,-,0,-
KINNEY,14,60.9,4,*,0,-,10,*
KLEBERG,265,56.6,72,69.9,8,*,185,52.9
KNOX,40,58,24,75,2,*,14,40
LAMAR,416,58.1,328,62.6,58,47.5,30,42.9
LAMB,108,54.5,36,62.1,3,*,69,52.7
LAMPASAS,158,67.8,124,72.9,5,*,29,53.7
LA SALLE,44,48.9,11,*,0,-,33,45.2
LAVACA,164,68,128,80,11,*,25,38.5
LEE,133,61.6,60,57.1,13,56.5,60,68.2
LEON,116,60.4,94,70.1,4,*,18,36
LIBERTY,497,47.1,343,51.2,36,43.9,118,38.9
LIMESTONE,176,55.2,104,65.4,22,53.7,50,42
LIPSCOMB,20,58.8,12,*,0,-,8,*
LIVE OAK,73,55.3,35,63.6,0,-,38,50
LLANO,100,64.9,85,66.4,1,*,14,58.3
LOVING,0,-,0,-,0,-,0,-
LUBBOCK,"2,783",65.9,"1,529",73.1,190,56.4,"1,064",59.3
LYNN,37,57.8,22,68.8,0,-,15,50
MCCULLOCH,58,70.7,39,79.6,1,*,18,56.3
MCLENNAN,"2,161",64.6,"1,234",72.2,251,54.2,676,57.7
MCMULLEN,4,*,4,*,0,-,0,-
MADISON,95,61.7,65,83.3,13,46.4,17,35.4
MARION,45,52.3,32,50,11,*,2,*
MARTIN,64,53.8,34,54.8,0,-,30,52.6
MASON,15,55.6,9,*,0,-,6,*
MATAGORDA,304,54.7,129,69,20,33.9,155,50
MAVERICK,881,75.8,38,86.4,0,-,843,75.3
MEDINA,367,65.4,175,72,1,*,191,60.8
MENARD,15,65.2,8,*,0,-,7,*
MIDLAND,"1,772",62.9,910,73,69,45.4,793,55.9
MILAM,166,65.4,103,73.6,12,57.1,51,54.8
MILLS,37,66.1,29,70.7,0,-,8,*
MITCHELL,65,70.7,36,70.6,0,-,29,72.5
MONTAGUE,136,62.7,117,65,0,-,19,51.4
MONTGOMERY,"4,274",62.9,"3,020",67.7,171,55.5,"1,083",53.5
MOORE,213,50.8,90,56.6,1,*,122,47.5
MORRIS,75,52.8,53,59.6,13,44.8,9,37.5
MOTLEY,1,*,1,*,0,-,0,-
NACOGDOCHES,508,57.8,282,63.2,82,49.4,144,53.9
NAVARRO,371,48.6,228,58.8,48,47.5,95,34.7
NEWTON,84,62.7,69,63.9,11,50,4,*
NOLAN,160,69.9,82,68.3,9,*,69,71.1
NUECES,"2,775",55.3,839,62,60,49.2,"1,876",52.9
OCHILTREE,87,47.5,40,62.5,0,-,47,39.5
OLDHAM,18,81.8,17,*,0,-,1,*
ORANGE,611,62.9,525,64.3,39,52,47,58
PALO PINTO,259,71.7,204,78.5,5,*,50,52.6
PANOLA,152,55.3,124,62.3,16,43.2,12,30.8
PARKER,"1,037",73,920,76.9,7,*,110,50.9
PARMER,63,53.4,23,63.9,1,*,39,48.1
PECOS,121,55.3,31,62,1,*,89,53.3
POLK,276,59.5,220,62.5,11,45.8,45,51.1
POTTER,"1,194",57.8,522,60.9,116,50.4,556,56.9
PRESIDIO,71,51.1,8,*,1,*,62,49.2
RAINS,48,55.8,45,58.4,0,-,3,*
RANDALL,"1,269",72.1,950,76.2,41,57.7,278,63
REAGAN,26,55.3,4,*,1,*,21,58.3
REAL,19,52.8,13,54.2,0,-,6,*
RED RIVER,67,54,54,59.3,6,*,7,*
REEVES,129,65.2,16,69.6,1,*,112,64.4
REFUGIO,49,53.8,24,50,5,*,20,54.1
ROBERTS,7,*,7,*,0,-,0,-
ROBERTSON,126,56.8,72,62.6,19,39.6,35,59.3
ROCKWALL,631,65.1,494,70.1,24,48,113,52.8
RUNNELS,62,63.3,43,74.1,1,*,18,46.2
RUSK,334,58.6,227,63.8,35,53.8,72,48.3
SABINE,61,74.4,53,74.6,3,*,5,*
SAN AUGUSTINE,52,56.5,41,67.2,10,47.6,1,*
SAN JACINTO,149,54.2,108,54.5,16,57.1,25,51
SAN PATRICIO,520,51,198,55.3,6,*,316,48.6
SAN SABA,46,70.8,21,67.7,0,-,25,73.5
SCHLEICHER,23,57.5,6,*,0,-,17,53.1
SCURRY,146,56.4,83,63.4,4,*,59,48.8
SHACKELFORD,11,47.8,8,*,0,-,3,*
SHELBY,200,60.1,108,59.7,28,53.8,64,64
SHERMAN,21,55.3,9,*,0,-,12,48
SMITH,"1,540",50.1,"1,024",61.7,192,39.8,324,34.7
SOMERVELL,51,60,32,60.4,0,-,19,61.3
STARR,391,52.6,4,*,0,-,387,52.4
STEPHENS,62,64.6,39,63.9,0,-,23,65.7
STERLING,13,*,8,*,0,-,5,*
STONEWALL,10,*,7,*,0,-,3,*
SUTTON,32,60.4,18,78.3,0,-,14,46.7
SWISHER,53,55.8,14,66.7,5,*,34,51.5
TARRANT,"16,187",57.7,"9,043",68.6,"2,509",52.3,"4,635",46
TAYLOR,"1,378",65.2,963,68.8,79,54.1,336,58.9
TERRELL,12,*,6,*,0,-,6,*
TERRY,100,48.1,40,53.3,1,*,59,45.4
THROCKMORTON,10,*,10,*,0,-,0,-
TITUS,234,43.7,111,57.2,17,39.5,106,35.5
TOM GREEN,"1,089",65.8,630,72,22,47.8,437,59.5
TRAVIS,"11,893",73,"6,628",83.4,864,66.2,"4,401",62.5
TRINITY,88,58.3,72,60,4,*,12,*
TYLER,132,62.6,114,64.8,12,50,6,*
UPSHUR,284,58.2,235,58.6,20,58.8,29,54.7
UPTON,29,59.2,14,*,0,-,15,50
UVALDE,252,62.7,63,67,0,-,189,61.6
VAL VERDE,325,37.8,75,53.2,3,*,247,34.9
VAN ZANDT,315,57,265,60.8,4,*,46,46.5
VICTORIA,951,73,431,81.8,33,68.8,487,67
WALKER,430,65.4,253,69.7,91,63.2,86,57.3
WALLER,415,64.8,192,73.3,40,54.8,183,60
WARD,126,67.7,49,73.1,7,*,70,63.6
WASHINGTON,236,60.7,155,72.4,41,56.9,40,38.8
WEBB,"3,391",68.5,85,82.5,1,*,"3,305",68.2
WHARTON,340,62.4,137,75.3,43,61.4,160,54.6
WHEELER,50,52.6,28,53.8,1,*,21,52.5
WICHITA,"1,371",76.1,973,79.5,114,68.7,284,68.9
WILBARGER,97,64.2,63,74.1,6,*,28,53.8
WILLACY,180,63.2,9,*,0,-,171,62.4
WILLIAMSON,"5,000",80.8,"3,475",84.3,269,70.6,"1,256",74.6
WILSON,271,56.8,177,63.9,2,*,92,47.2
WINKLER,88,65.7,34,72.3,2,*,52,61.2
WISE,427,57.1,346,63.5,4,*,77,39.3
WOOD,217,52.4,182,55.3,4,*,31,43.7
YOAKUM,70,48.3,14,51.9,1,*,55,47.8
YOUNG,157,68.3,121,72.9,0,-,36,57.1
ZAPATA,178,66.7,2,*,0,-,176,66.7
ZAVALA,126,64.9,11,*,0,-,115,63.9
