Geographic Area,Total Number,Total Percent,White Number,White Percent,Black Number,Black Percent,Hispanic Number,Hispanic Percent
GALVESTON,"2,516",65.1,"1,522",67.3,273,55.2,721,65.1
GARZA,40,58.8,18,66.7,2,*,20,52.6
GILLESPIE,144,62.3,92,71.9,0,-,52,50.5
GLASSCOCK,7,*,7,*,0,-,0,-
GOLIAD,37,64.9,21,67.7,1,*,15,65.2
GONZALES,119,43.3,41,53.9,4,*,74,40
GRAY,210,65,134,66.3,8,*,68,60.7
GRAYSON,808,54.9,637,60.5,52,51,119,37.4
GREGG,"1,033",54.8,601,61.9,207,52,225,43.6
GRIMES,135,65.2,85,69.1,12,*,38,58.5
GUADALUPE,884,61,515,69.3,33,53.2,336,52.1
HALE,344,61.4,87,66.4,16,69.6,241,59.4
HALL,21,52.5,12,*,4,*,5,*
HAMILTON,60,63.2,52,68.4,0,-,8,*
HANSFORD,42,54.5,24,70.6,0,-,18,41.9
HARDEMAN,19,48.7,13,52,0,-,6,*
HARDIN,473,74.1,410,74.3,36,72,27,75
HARRIS,"36,202",58.2,"13,503",68.9,"5,897",52.6,"16,802",53.5
HARRISON,526,61,352,65.7,83,51.6,91,55.2
HARTLEY,42,79.2,32,86.5,0,-,10,*
HASKELL,33,61.1,21,60,1,*,11,*
HAYS,"1,428",69.8,798,78,33,57.9,597,61.8
HEMPHILL,40,58.8,32,80,0,-,8,28.6
HENDERSON,492,56.2,376,59,26,46.4,90,49.5
HIDALGO,"7,478",66.4,286,81,17,81,"7,175",65.9
HILL,239,55.6,162,62.8,8,28.6,69,47.9
HOCKLEY,186,59.6,74,64.3,4,*,108,57.8
HOOD,360,66.8,317,70.4,2,*,41,48.2
HOPKINS,350,72.6,253,78.6,20,54.1,77,62.6
HOUSTON,130,61.9,79,67.5,33,58.9,18,48.6
HOWARD,226,58.4,120,67,2,*,104,52
HUDSPETH,32,61.5,2,*,0,-,30,61.2
HUNT,595,56.9,445,61.4,55,52.4,95,44
HUTCHINSON,213,67.2,160,74.1,0,-,53,55.2
IRION,11,*,8,*,0,-,3,*
JACK,72,68.6,55,68.8,0,-,17,68
JACKSON,140,78.2,78,84.8,8,*,54,73
JASPER,298,65.1,238,69,48,60,12,36.4
JEFF DAVIS,11,50,8,*,0,-,3,*
JEFFERSON,"2,052",69.9,875,76.9,702,67.3,475,63
JIM HOGG,58,65.2,2,*,0,-,56,67.5
JIM WELLS,294,49.7,60,66.7,0,-,234,46.8
JOHNSON,"1,260",65.9,975,70.3,24,70.6,261,53.3
JONES,98,60.9,74,64.3,4,*,20,51.3
KARNES,94,65.7,31,70.5,2,*,61,62.9
KAUFMAN,798,59.6,530,62.7,77,51.3,191,55.4
KENDALL,199,68.6,143,79,1,*,55,50.9
KENEDY,1,*,1,*,0,-,0,-
KENT,3,*,1,*,0,-,2,*
KERR,244,52.2,164,59.6,5,*,75,40.8
KIMBLE,22,56.4,17,63,0,-,5,*
KING,6,*,6,*,0,-,0,-
KINNEY,20,52.6,8,*,0,-,12,50
KLEBERG,291,64.8,80,74.8,5,*,206,62
KNOX,35,72.9,19,79.2,0,-,16,66.7
LA SALLE,61,67.8,4,*,0,-,57,67.1
LAMAR,433,65.5,335,69.8,72,65.5,26,36.6
LAMB,105,48.8,45,60,1,*,59,42.8
LAMPASAS,128,65.3,95,68.8,1,*,32,56.1
LAVACA,155,73.8,111,82.8,11,*,33,55.9
LEE,124,69.7,71,80.7,6,*,47,58.8
LEON,103,59.5,85,64.9,5,*,13,43.3
LIBERTY,462,47.7,303,48.8,45,52.9,114,43.3
LIMESTONE,141,49.1,90,58.8,20,45.5,31,34.4
LIPSCOMB,20,46.5,15,71.4,0,-,5,22.7
LIVE OAK,73,60.3,29,63,0,-,44,58.7
LLANO,89,64,70,68,3,*,16,48.5
LOVING,0,-,0,-,0,-,0,-
LUBBOCK,"2,448",63.3,"1,407",71.2,148,50.3,893,55.9
LYNN,48,60,25,67.6,2,*,21,51.2
MADISON,62,57.4,42,65.6,5,*,15,50
MARION,52,57.1,42,61.8,7,*,3,*
MARTIN,39,52.7,20,60.6,0,-,19,46.3
MASON,27,69.2,22,73.3,0,-,5,*
MATAGORDA,263,51.8,98,52.1,23,52.3,142,51.4
MAVERICK,837,81.3,18,62.1,0,-,819,81.8
MCCULLOCH,67,62.6,42,65.6,1,*,24,58.5
MCLENNAN,"1,944",59.5,"1,080",64.9,230,51.1,634,55
MCMULLEN,6,*,3,*,0,-,3,*
MEDINA,312,70.9,139,79.9,3,*,170,64.6
MENARD,11,*,7,*,0,-,4,*
MIDLAND,"1,307",56.7,694,67.2,63,52.9,550,47.7
MILAM,105,58.7,76,70.4,3,*,26,41.9
MILLS,26,68.4,18,64.3,0,-,8,*
MITCHELL,64,59.8,42,68.9,1,*,21,50
MONTAGUE,123,58.9,103,59.5,1,*,19,54.3
MONTGOMERY,"4,011",63.8,"2,887",67.8,143,53,981,55.7
MOORE,198,50.3,80,51.3,3,*,115,49.6
MORRIS,108,67.1,68,65.4,27,71.1,13,*
MOTLEY,4,*,3,*,0,-,1,*
NACOGDOCHES,582,64.2,305,67.6,89,52.7,188,65.7
NAVARRO,304,45.6,179,57.9,33,33.3,92,35.7
NEWTON,92,63.4,74,66.7,15,53.6,3,*
NOLAN,127,69,75,75,7,*,45,61.6
NUECES,"2,962",67,896,70.7,89,63.1,"1,977",65.6
OCHILTREE,98,53.6,52,74.3,0,-,46,40.7
OLDHAM,16,*,15,*,0,-,1,*
ORANGE,670,71.9,570,74.4,57,58.2,43,63.2
PALO PINTO,241,65.7,177,69.7,4,*,60,56.1
PANOLA,205,62.9,158,69.6,20,48.8,27,46.6
PARKER,911,70.5,813,74.2,4,*,94,50.3
PARMER,90,54.9,32,80,1,*,57,46.3
PECOS,132,57.6,26,54.2,1,*,105,58.3
POLK,268,57.4,192,57.3,28,65.1,48,53.9
POTTER,"1,168",57.8,569,64.2,100,43.3,499,55.3
PRESIDIO,37,34.3,5,*,0,-,32,33
RAINS,57,58.2,51,61.4,0,-,6,*
RANDALL,"1,257",76.3,974,77.9,27,61.4,256,72.5
REAGAN,23,46,10,*,1,*,12,36.4
REAL,18,54.5,13,56.5,0,-,5,*
RED RIVER,83,67.5,65,75.6,12,*,6,*
REEVES,104,67.1,14,*,1,*,89,65.4
REFUGIO,74,82.2,31,91.2,6,*,37,75.5
ROBERTS,7,*,7,*,0,-,0,-
ROBERTSON,108,60.7,57,64,26,53.1,25,62.5
ROCKWALL,666,69.5,506,72.8,32,61.5,128,60.7
RUNNELS,88,68.8,57,79.2,0,-,31,57.4
RUSK,400,61.8,276,67.8,45,54.2,79,50.3
SABINE,55,61.8,48,65.8,4,*,3,*
SAN AUGUSTINE,73,66.4,47,73.4,12,41.4,14,*
SAN JACINTO,149,58.7,112,58.9,13,54.2,24,60
SAN PATRICIO,531,61.7,214,68.4,4,*,313,58.3
SAN SABA,40,58,26,70.3,0,-,14,43.8
SCHLEICHER,23,69.7,10,*,0,-,13,*
SCURRY,99,40.4,61,51.7,1,*,37,30.1
SHACKELFORD,23,76.7,21,80.8,0,-,2,*
SHELBY,193,58.7,106,57.9,29,49.2,58,66.7
SHERMAN,33,67.3,22,84.6,0,-,11,47.8
SMITH,"1,409",57.3,970,67.5,186,43.8,253,42.3
SOMERVELL,39,56.5,33,60,1,*,5,*
STARR,505,57.3,4,*,0,-,501,57.3
STEPHENS,59,60.8,43,67.2,0,-,16,48.5
STERLING,5,*,4,*,0,-,1,*
STONEWALL,8,*,7,*,0,-,1,*
SUTTON,27,48.2,10,*,0,-,17,44.7
SWISHER,68,53.5,30,66.7,2,*,36,48
TARRANT,"15,041",55.5,"8,772",67.3,"2,161",50.5,"4,108",42
TAYLOR,"1,437",71.1,"1,017",77.3,95,56.5,325,60.6
TERRELL,7,*,4,*,0,-,3,*
TERRY,103,54.2,33,60,0,-,70,53
THROCKMORTON,8,*,8,*,0,-,0,-
TITUS,311,63.1,117,72.2,28,70,166,57
TOM GREEN,905,59.4,569,68.8,34,57.6,302,47.4
TRAVIS,"10,641",68.9,"5,946",82.8,757,63.6,"3,938",55.7
TRINITY,91,65.9,72,66.7,7,*,12,*
TYLER,130,63.1,117,64.6,7,*,6,*
UPSHUR,266,56.6,226,60.1,16,41,24,43.6
UPTON,32,61.5,16,66.7,0,-,16,57.1
UVALDE,239,61.8,52,66.7,4,*,183,60
VAL VERDE,296,34.7,57,42.9,5,*,234,33
VAN ZANDT,286,57.3,256,61.7,3,*,27,35.1
VICTORIA,813,67.5,376,77.2,21,40.4,416,62.5
WALKER,423,71.2,255,74.8,80,66.7,88,66.2
WALLER,290,55.8,134,71.3,41,40.2,115,50
WARD,101,62,44,56.4,9,*,48,66.7
WASHINGTON,231,58.6,141,74.2,43,53.1,47,38.2
WEBB,"4,355",81.7,127,87.6,1,*,"4,227",81.5
WHARTON,300,56.9,137,74.9,36,52.2,127,46.2
WHEELER,38,63.3,26,61.9,1,*,11,*
WICHITA,"1,403",76.5,"1,000",81,139,67.1,264,67.3
WILBARGER,122,70.9,80,75.5,8,*,34,65.4
WILLACY,173,59.2,8,*,0,-,165,59.1
WILLIAMSON,"4,658",79.3,"3,254",83.2,224,71.3,"1,180",71.4
WILSON,298,71.3,172,74.8,4,*,122,66.7
WINKLER,68,63.6,19,67.9,1,*,48,61.5
WISE,423,61.8,334,66.4,2,*,87,49.4
WOOD,234,64.1,203,67.9,5,*,26,44.1
YOAKUM,81,60.9,24,61.5,1,*,56,60.2
YOUNG,154,71,124,77.5,2,*,28,50.9
ZAPATA,244,85,6,*,0,-,238,85.3
ZAVALA,125,64.8,5,*,0,-,120,65.2
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
