county,white_percent,white_number,black_percent,black_number,hispanic_percent,hispanic_number,other_percent,other_number
McLennan,69.4,"5,400",54.4,"1,343",57.5,"3,253",65.3,324
McMullen,*,15,--,0,*,**,*,**
Madison,68.8,238,48.3,56,47.5,96,*,**
Marion,58,189,49.5,52,*,13,*,12
Martin,56.8,108,*,**,49.2,131,*,**
Mason,68.8,86,--,0,44.8,30,*,**
Matagorda,64.2,568,47.6,111,53,734,64.8,35
Maverick,80,88,*,**,77.6,"4,124",82.9,58
Medina,73.9,732,*,**,62.7,921,68.2,30
Menard,71.2,37,*,**,65.1,28,*,**
Midland Cnty,72.3,"4,007",50.4,355,54.1,"3,553",51.3,271
Milam,72.2,444,52.5,52,51.5,212,*,13
Mills,69.4,102,--,0,56,28,*,**
Mitchell,65.9,168,*,**,55.9,114,*,**
Montague,65.3,579,*,**,51.4,94,*,15
Montgomery,69.4,"14,046",56.2,801,56.1,"5,457",59.8,"1,027"
Moore,69.5,335,*,15,51.3,660,27.7,81
Morris,61.9,297,55,93,49.1,55,*,10
Motley,*,18,--,0,*,**,--,0
Nacogdoches Cnty,68.8,"1,391",47.7,420,55.9,740,48.5,83
Navarro,62.6,956,44.1,222,37.5,485,21.3,27
Newton,63.9,318,58.4,73,*,**,79.4,27
Nolan,72.9,382,62.3,33,62.7,272,*,**
Nueces,67.7,"4,096",57,387,60.6,"9,867",64.7,388
Ochiltree,68.3,213,*,**,39.7,219,*,**
Oldham,75.2,79,--,0,*,**,*,**
Orange Cnty,69.7,"2,667",54.4,270,62.1,239,59,95
Palo Pinto,72.5,901,*,17,57.4,299,62.2,23
Panola,63.6,597,48.5,100,38.3,80,77.1,54
Parker,74.9,"4,218",66,35,51.4,514,62.8,81
Parmer,70.9,134,*,**,43.9,221,*,**
Pecos,66.7,142,*,**,57.2,481,*,12
Polk,60,"1,011",50.7,107,51.8,247,44.6,45
Potter,67.2,"2,367",48.7,555,55.4,"2,554",40.7,372
Presidio,57.1,32,*,**,42.8,226,--,0
Rains,65.8,265,*,**,51.5,34,*,**
Randall,77,"4,454",56.6,163,67.1,"1,303",65.9,226
Reagan,69.5,57,*,**,49.5,105,*,**
Real,54.3,63,--,0,50.9,28,*,**
Red River,69.2,306,44.3,47,41.3,31,*,**
Reeves,71.7,76,*,**,67.7,530,*,13
Refugio,68.2,120,*,17,65,145,*,**
Roberts,77.5,31,--,0,*,**,--,0
Robertson,66.9,313,39.8,86,58.4,146,*,**
Rockwall Cnty,72,"2,392",56.4,137,54.3,566,67.1,159
Runnels,72.1,217,*,**,50.5,108,*,**
Rusk,65.3,"1,223",55.8,234,48,386,57.4,35
Sabine,61.3,225,*,18,72.4,21,*,**
San Augustine,66.3,189,44.1,56,61.4,43,*,**
San Jacinto,55.6,551,49.6,61,54.6,118,*,**
San Patricio,64.3,990,47.9,23,54,"1,620",78.3,54
San Saba,68.8,117,--,0,56,89,*,**
Schleicher,78.2,43,--,0,51.3,61,*,**
Scurry,58,324,*,13,39.8,251,*,**
Shackelford,66.9,97,*,**,*,14,*,**
Shelby,61.6,520,44,122,58.2,291,52.5,63
Sherman Cnty,79.3,65,0,0,52.7,58,*,**
Smith,63.6,"4,666",44,"1,058",39.7,"1,601",50,240
Somervell,69.8,199,*,**,56.7,68,*,**
Starr,*,13,*,**,53.1,"2,229",*,**
Stephens,71.5,236,*,**,61.3,103,*,11
Sterling,79.5,31,--,0,*,17,--,0
Stonewall,67.3,37,--,0,*,**,*,**
Sutton,67.4,60,*,**,47.8,85,*,**
Swisher,68,134,*,16,50.5,156,*,**
Tarrant,71,"39,695",51.2,"11,619",44,"21,893",57.2,"5,577"
Taylor Cnty,73.3,"4,567",53.9,439,59,"1,671",59,227
Terrell Cnty,*,17,--,0,*,20,--,0
Terry,53.4,171,*,**,45.1,287,*,**
Throckmorton,72.6,45,--,0,*,**,*,**
Titus,70.8,562,57.5,119,46.8,684,47.5,28
Tom Green,72.2,"2,910",54.9,118,56.6,"1,982",57.6,106
Travis,84.9,"26,155",66.9,"4,070",60.7,"21,358",79.8,"5,752"
Trinity,64.9,323,50,31,50,47,*,**
Tyler Cnty,62.2,566,50.5,46,59.2,29,*,19
Upshur,59.7,"1,091",51.2,87,44.6,132,51.9,27
Upton,69.6,87,--,0,60.1,86,*,**
Uvalde Cnty,68.2,290,*,**,62.8,965,*,12
Val Verde,51.6,316,*,18,33,"1,195",43.1,25
